,Measure,ListenHereNew,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,293.74896240234375,468.5240783691406,2094.62158203125,552.5267944335938,731.410400390625,3005.343017578125,809.0896606445312,497.3730773925781,2533.202880859375,1396.5048828125,4019.831298828125,641.6550903320312
1,2,Eb7,Eb,2.0,395.5476379394531,1928.8157958984375,1019.793212890625,2917.248291015625,607.259521484375,320.8065185546875,371.1588439941406,1694.22216796875,803.3460083007812,462.1973876953125,1939.9749755859375,470.6403503417969
2,3,Bb7,Bb,4.0,442.1758117675781,1438.9481201171875,2171.809326171875,604.2031860351562,705.4580078125,3007.7880859375,744.86865234375,293.7189636230469,1423.5693359375,966.1329956054688,2437.071533203125,434.9547119140625
3,4,Eb7,Eb,6.0,357.7937927246094,1891.2181396484375,1025.4317626953125,3142.632568359375,636.8773803710938,264.9348449707031,284.6169738769531,1525.7247314453125,352.8919982910156,355.6285705566406,1925.15869140625,439.9455261230469
4,5,Bb7,Bb,8.0,253.15110778808594,474.9717712402344,2185.35498046875,611.68994140625,766.3383178710938,3005.967529296875,778.431396484375,341.2295227050781,1371.4638671875,1134.3741455078125,3794.412109375,611.7325439453125
5,6,Eb7,Eb,10.0,360.7154541015625,1910.07080078125,1028.009521484375,3142.7236328125,636.567626953125,266.36376953125,284.7546081542969,1526.05322265625,353.5115051269531,356.5711669921875,1928.19873046875,440.8150329589844
6,7,Bb7,Bb,12.0,253.1212615966797,805.07421875,4787.53857421875,1013.4747924804688,789.1848754882812,3026.5146484375,796.43896484375,323.2967529296875,1421.6429443359375,916.70947265625,2144.5869140625,392.3743591308594
7,8,Eb7,Eb,14.0,360.0015869140625,1909.5506591796875,1025.5938720703125,3141.8310546875,637.3640747070312,266.6149597167969,284.9263610839844,1527.32373046875,353.8712158203125,353.8868713378906,1911.4676513671875,438.3248291015625
8,9,Bb7,Bb,16.0,250.49072265625,805.8081665039062,4791.5009765625,1013.2356567382812,787.24853515625,3015.647216796875,795.266357421875,323.1488952636719,1421.2109375,900.9760131835938,2046.3424072265625,380.7441711425781
9,10,Eb7,Eb,18.0,360.2389831542969,1909.6142578125,1025.951904296875,3142.493408203125,637.6839599609375,267.0089111328125,285.0119323730469,1527.3251953125,354.5413818359375,353.3992614746094,1905.1591796875,438.1092834472656
10,11,Bb7,Bb,20.0,253.12242126464844,805.0751342773438,4787.54345703125,1013.477783203125,789.1858520507812,3026.5205078125,796.4401245117188,323.2936096191406,1421.6282958984375,916.7111206054688,2144.593505859375,392.37939453125
11,12,Eb7,Eb,22.0,359.9997863769531,1909.5457763671875,1025.5947265625,3141.826416015625,637.36376953125,266.6158447265625,284.9257507324219,1527.3184814453125,353.87255859375,353.8882141113281,1911.4710693359375,438.3246765136719
12,13,Bb7,Bb,24.0,237.5899658203125,443.9067077636719,2091.01025390625,569.7085571289062,688.818603515625,3134.0,794.95556640625,299.1564025878906,1408.3167724609375,1308.162841796875,5306.45703125,889.911865234375
13,14,Eb7,Eb,26.0,360.5103759765625,1909.955078125,1027.9498291015625,3142.373046875,637.3328857421875,266.8269958496094,284.9775695800781,1525.5633544921875,353.4253234863281,356.9915771484375,1930.0946044921875,441.2389221191406
14,15,Bb7,Bb,28.0,236.32635498046875,578.9948120117188,2972.847412109375,732.5234375,732.6677856445312,3038.737060546875,792.1279907226562,309.0596618652344,1421.0125732421875,1111.0263671875,2329.278076171875,410.8454895019531
15,16,Eb7,Eb,30.0,360.3392028808594,1909.97412109375,1027.2987060546875,3142.416015625,637.2647094726562,265.8838806152344,284.6620178222656,1525.9244384765625,353.277587890625,354.3332214355469,1909.5068359375,437.1069641113281
16,17,Bb7,Bb,32.0,234.4855194091797,577.7887573242188,2970.443115234375,732.2887573242188,730.754150390625,3019.906005859375,787.286376953125,308.6297912597656,1421.45849609375,1051.2646484375,1927.08642578125,349.580810546875
17,18,Eb7,Eb,34.0,360.5065612792969,1909.95458984375,1027.8814697265625,3142.433349609375,637.3364868164062,266.77972412109375,284.9700622558594,1525.6202392578125,353.4405822753906,356.424560546875,1925.4298095703125,440.5333251953125
18,19,Bb7,Bb,36.0,687.17626953125,1730.8834228515625,9185.8837890625,2255.77197265625,2368.0390625,11192.3671875,2587.414306640625,895.1847534179688,4235.10205078125,4117.30810546875,13821.4013671875,2122.5888671875
