,Measure,LittleBsPoem,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,1027.6759033203125,246.87416076660156,150.4765167236328,432.9660949707031,1903.3096923828125,360.0716552734375,191.86451721191406,975.5433959960938,522.833984375,1358.00439453125,319.4326171875,343.273681640625
1,2,Gmin7,G,1.5,153.34707641601562,221.76048278808594,673.9212036132812,215.66937255859375,501.4842224121094,1843.0478515625,673.5027465820312,1053.560302734375,299.28289794921875,691.9630737304688,1250.1495361328125,251.81756591796875
2,3,Amin7,A,3.0,1034.5997314453125,249.5138702392578,226.38926696777344,429.4584655761719,1934.1234130859375,512.5584716796875,209.9151611328125,964.674560546875,530.4261474609375,1375.77099609375,329.6189270019531,357.0948791503906
3,4,Dmin7,D,4.5,1016.8318481445312,448.3217468261719,1132.97802734375,305.56768798828125,640.630615234375,2311.221435546875,540.3046875,146.50218200683594,193.63539123535156,971.551513671875,243.25376892089844,194.6264190673828
4,5,Gmin7,G,6.0,121.16368865966797,210.84307861328125,681.1897583007812,195.4268341064453,393.1771240234375,1702.66259765625,682.2484741210938,1363.1058349609375,357.5647277832031,533.2360229492188,1203.012939453125,248.84156799316406
5,6,Fmin7,F,7.5,1262.8779296875,313.29937744140625,507.288818359375,1651.3280029296875,814.61083984375,982.7603149414062,268.8583679199219,688.0140991210938,1094.2027587890625,265.3832092285156,132.66949462890625,323.7305603027344
6,7,Gmin7,G,9.0,186.6910858154297,228.16754150390625,675.8035278320312,284.98095703125,379.41015625,1704.5426025390625,738.5444946289062,1374.232421875,364.73974609375,506.5689392089844,1200.4722900390625,252.6798553466797
7,8,Emin7,E,10.5,76.87714385986328,66.30789184570312,289.1580505371094,182.94305419921875,593.4246215820312,170.9346466064453,93.1102294921875,377.9437255859375,96.77239990234375,45.73741149902344,63.507110595703125,309.89141845703125
8,8,A7,A,11.25,10.261805534362793,14.651152610778809,45.03938293457031,33.74716567993164,153.3953094482422,55.22509765625,12.616817474365234,54.30482864379883,18.290681838989258,10.565932273864746,13.309097290039062,42.94487380981445
9,9,Dmin7,D,12.0,1401.2335205078125,886.02978515625,1459.251953125,490.6454772949219,1431.5203857421875,2610.707763671875,640.0009765625,464.9901123046875,306.4433898925781,1012.5859375,225.66761779785156,261.8359375
10,10,Ebmin7,Eb,13.5,69.23717498779297,355.0816955566406,227.9488525390625,528.9544067382812,123.05680084228516,221.2964324951172,686.7625122070312,138.55633544921875,32.51162338256836,68.13673400878906,331.6969909667969,66.34494018554688
11,10,Ab,Ab,14.25,21.739545822143555,89.75897979736328,64.56783294677734,145.28248596191406,39.35121536254883,36.03172302246094,93.7282943725586,19.55372428894043,4.303873062133789,10.068392753601074,32.233211517333984,11.632031440734863
12,11,Dbmaj7,Db,15.0,2727.598876953125,1648.0589599609375,381.3833923339844,770.4268188476562,698.6044311523438,2527.429443359375,511.4660949707031,254.9818115234375,818.2002563476562,235.60154724121094,155.8433380126953,421.1650695800781
13,12,Dmin7,D,16.5,367.653564453125,176.32994079589844,330.388427734375,115.42218780517578,209.2904052734375,660.5466918945312,173.4685821533203,41.980628967285156,62.021484375,284.1683654785156,68.15509796142578,66.96012878417969
14,12,G7,G,17.25,106.3685302734375,35.239253997802734,67.01383972167969,21.304533004760742,38.83808898925781,178.3323974609375,30.560956954956055,5.816967010498047,8.699487686157227,47.13755798339844,14.889556884765625,26.41796112060547
15,13,Cmaj7,C,18.0,1438.6580810546875,389.3337707519531,423.7598876953125,608.4440307617188,2579.60888671875,1254.7606201171875,415.9819030761719,1214.8311767578125,317.9167175292969,156.0626678466797,233.13929748535156,1389.72509765625
16,14,C#min7,C#,19.5,553.5464477539062,1042.623291015625,314.0263366699219,554.0107421875,2299.164306640625,662.0484008789062,154.24171447753906,185.40110778808594,856.5226440429688,186.88983154296875,222.6488037109375,1243.6865234375
17,15,Amaj7,A,21.0,64.93717193603516,138.61038208007812,62.676143646240234,111.25711822509766,194.17893981933594,65.9734878540039,27.27704429626465,85.895263671875,458.048583984375,163.23635864257812,36.179100036621094,18.84214210510254
18,15,Bmin7,B,21.5,72.50643920898438,135.0684814453125,195.53428649902344,106.13623046875,173.7255859375,102.63784790039062,308.1163330078125,90.4594497680664,135.3035888671875,432.4358825683594,119.31600952148438,146.70933532714844
19,15,C#min7,C#,22.0,113.78789520263672,141.3703155517578,110.41924285888672,104.31875610351562,224.3281707763672,93.85345458984375,167.85447692871094,58.08072280883789,136.6761016845703,139.9300079345703,62.14777755737305,231.64039611816406
20,16,Dmin7,D,22.5,256.7185363769531,126.10912322998047,176.14820861816406,85.4596176147461,218.7477264404297,282.95855712890625,135.5369110107422,74.9634017944336,60.95136642456055,101.9229736328125,42.73329544067383,80.17311096191406
21,16,Emin7,E,23.0,109.7071533203125,143.60728454589844,465.6745300292969,135.55653381347656,266.63909912109375,146.07339477539062,75.26815032958984,153.80319213867188,48.12059020996094,85.80040740966797,36.877437591552734,106.57718658447266
22,16,Gmin7,G,23.5,1196.3612060546875,1021.8027954101562,2497.999267578125,1361.4615478515625,5183.31787109375,8064.5390625,2809.834228515625,5775.3125,1335.96875,2127.490478515625,4684.32080078125,1912.9586181640625
