,Measure,Love For Sale,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,90.85225677490234,196.20294189453125,1179.2060546875,1529.0362548828125,304.9466857910156,224.61328125,185.5320281982422,659.478515625,169.840576171875,881.060791015625,5695.470703125,880.0693359375
1,2,Ebmaj7,Eb,2.0,152.2505340576172,428.6632995605469,2693.77587890625,3278.6123046875,591.9548950195312,167.83212280273438,286.9554138183594,1527.0572509765625,316.49462890625,385.3602294921875,1851.87548828125,397.1650085449219
2,3,Bbmin7,Bb,4.0,589.5431518554688,1774.1634521484375,395.375732421875,302.9090881347656,791.3076782226562,3743.400146484375,650.1312866210938,350.5830993652344,1366.6279296875,743.9888305664062,1943.6572265625,406.3251037597656
3,4,Bbmin(maj7),Bb,6.0,436.6324768066406,1764.5714111328125,392.9298095703125,236.9558563232422,657.4284057617188,3062.96875,514.323974609375,158.48777770996094,479.0536804199219,1822.8663330078125,2045.09423828125,372.9859313964844
4,5,Ebmaj7,Eb,8.0,170.35421752929688,480.2613830566406,2695.328125,3393.551025390625,628.6931762695312,255.9619598388672,296.86187744140625,1496.1712646484375,322.2040100097656,458.1593933105469,2239.988525390625,461.6888122558594
5,6,Ebmaj7,Eb,10.0,162.82815551757812,447.858154296875,2723.418212890625,3345.759765625,627.9613647460938,369.2996520996094,335.0503234863281,1511.2430419921875,336.6876525878906,715.7896118164062,4206.287109375,776.294921875
6,7,Bbmin,Bb,12.0,472.0416259765625,1786.6221923828125,378.2034912109375,217.7420196533203,731.758544921875,3644.87890625,543.7354125976562,198.71795654296875,296.1617736816406,585.9427490234375,1883.6575927734375,365.8566589355469
7,8,Bbmin,Bb,14.0,408.466064453125,1694.8822021484375,360.7698059082031,184.16912841796875,589.6657104492188,3041.56640625,468.0794677734375,75.57330322265625,259.42657470703125,548.3291625976562,1873.4010009765625,344.6630554199219
8,9,Ebmaj7,Eb,16.0,175.5240020751953,484.5169982910156,2709.349365234375,3393.298583984375,636.1643676757812,321.5479431152344,314.32196044921875,1483.6839599609375,325.2342224121094,796.205322265625,4751.15673828125,826.349853515625
9,10,Ebmin7,Eb,18.0,127.54962921142578,630.8029174804688,332.6385803222656,890.0330200195312,184.79444885253906,314.2626037597656,1058.923095703125,218.09619140625,59.93891525268555,205.75660705566406,1279.310546875,227.917724609375
10,10,D7,D,19.0,703.1774291992188,318.2537536621094,631.7903442382812,397.8717956542969,137.10874938964844,279.3207702636719,1252.431640625,244.80723571777344,89.15705108642578,424.36328125,114.19542694091797,125.07636260986328
11,11,Db7,Db,20.0,983.123779296875,1692.9608154296875,565.9929809570312,422.9465026855469,808.16015625,3849.170166015625,1113.0162353515625,585.366943359375,3256.5400390625,639.1434326171875,377.2478942871094,2033.4146728515625
12,12,Dbmin7,Db,22.0,241.95115661621094,492.14404296875,151.5786895751953,361.5273742675781,1022.70849609375,317.6030578613281,115.29996490478516,244.9127655029297,1447.5504150390625,251.41993713378906,111.93639373779297,542.7734985351562
13,12,Gb7,Gb,23.0,96.32193756103516,417.4344177246094,86.53165435791016,141.8312530517578,654.7576293945312,310.0395812988281,375.464111328125,60.85987854003906,80.61234283447266,120.7441635131836,352.6271667480469,135.43357849121094
14,13,Cdim7,C,24.0,1940.8466796875,685.5414428710938,733.3967895507812,3189.494140625,1263.4354248046875,1212.3502197265625,4081.8017578125,903.2080078125,322.8868103027344,1451.3853759765625,398.4090881347656,468.8429260253906
