,Measure,MamBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,1516.6351318359375,4065.077392578125,14864.7841796875,4803.22216796875,5888.1875,25170.638671875,7407.70458984375,17175.865234375,11403.8671875,8111.513671875,32346.234375,5025.93017578125
1,5,Bb13,Bb,8.0,16107.4755859375,4646.18896484375,8995.537109375,23100.298828125,11549.55078125,20109.857421875,6677.02490234375,14694.8134765625,11998.9052734375,5455.31591796875,12690.6015625,6071.248046875
2,9,Eb9,Eb,16.0,2390.139892578125,9671.7294921875,5834.224609375,7311.0625,4402.65673828125,18874.126953125,4641.08349609375,7687.56640625,2235.091064453125,3195.447998046875,11259.4140625,2275.444091796875
3,12,D9,D,22.0,2.7026751041412354,5.351089954376221,1.9015265703201294,3.5785510540008545,9.080876350402832,63.02665710449219,12.04305648803711,0.56475430727005,0.5009909272193909,3.8787143230438232,21.357223510742188,5.0759968757629395
4,13,Db9,Db,24.0,4699.83447265625,4682.02587890625,6194.52685546875,28031.15625,11862.6591796875,11940.2919921875,5801.052734375,5194.98583984375,14604.1064453125,4055.9921875,4028.0458984375,15456.92578125
5,17,B9,B,32.0,1980.8720703125,7971.52294921875,3015.5263671875,9979.380859375,1768.4093017578125,2249.131103515625,11787.328125,2196.6025390625,1340.8953857421875,3788.309326171875,1993.3807373046875,5472.77734375
6,19,F7,F,36.0,6179.19482421875,1370.427734375,2003.1527099609375,10116.7646484375,5019.7822265625,5419.63818359375,1707.9635009765625,1138.21044921875,1200.8319091796875,4418.9306640625,1327.1400146484375,2645.486083984375
7,21,Bb7,Bb,40.0,2069.866455078125,5640.05029296875,19444.345703125,7457.52197265625,8704.0986328125,33543.375,9635.9111328125,21967.78125,14812.5302734375,10628.8271484375,42953.62890625,6729.37939453125
8,26,Bb,Bb,50.0,10340.400390625,7921.98828125,42501.6875,7948.55419921875,4352.79833984375,20319.490234375,4632.93505859375,3342.140625,15630.6650390625,12259.5322265625,55317.30078125,9655.4638671875
9,30,Bb7,Bb,58.0,1234.0511474609375,2653.8037109375,13639.1962890625,3019.170654296875,4568.72314453125,23861.9296875,5051.50830078125,1567.4991455078125,8210.6650390625,5129.0595703125,12001.13671875,1991.6990966796875
10,34,Eb7,Eb,66.0,968.9036254882812,5302.3818359375,2721.4814453125,9171.443359375,1671.2957763671875,498.4276123046875,748.4911499023438,4369.29541015625,900.8603515625,906.5634765625,5202.77001953125,1140.754150390625
11,36,Bb7,Bb,70.0,559.5234375,1144.834228515625,5674.7109375,1390.9080810546875,1792.0784912109375,9102.44921875,2096.033203125,714.9302368164062,3632.45703125,2280.046142578125,5229.03515625,873.8012084960938
12,38,Cmin7,C,74.0,1678.2763671875,418.3139343261719,822.133056640625,3183.435546875,1011.8670043945312,258.7731628417969,293.77947998046875,1488.3232421875,305.849853515625,364.6465759277344,1930.9227294921875,726.7128295898438
13,39,F7,F,76.0,2018.83984375,449.5406799316406,679.3872680664062,3262.02734375,1706.3675537109375,1468.0269775390625,314.9660949707031,388.32763671875,516.7384643554688,1675.0767822265625,416.0852966308594,470.399658203125
14,40,Dmin7,D,78.0,602.7100219726562,245.911865234375,566.76904296875,171.46287536621094,295.2247314453125,1093.1756591796875,275.74078369140625,67.25736236572266,85.09938049316406,409.426513671875,90.65039825439453,108.71575927734375
15,40,G7,G,79.0,195.42942810058594,133.8426055908203,397.8077087402344,204.6727294921875,249.9608154296875,1003.864990234375,423.6677551269531,473.1031494140625,126.17838287353516,144.29006958007812,152.21922302246094,556.3245849609375
16,41,Cmin7,C,80.0,461.3768310546875,139.90673828125,376.6186828613281,993.5379028320312,348.827880859375,301.4353942871094,132.53216552734375,468.0094299316406,106.58816528320312,122.05652618408203,579.4580078125,276.6633605957031
17,41,F7,F,81.0,3960.611572265625,850.8565063476562,1378.0670166015625,6761.07666015625,3286.025146484375,3173.808349609375,655.4337158203125,942.83447265625,915.4142456054688,2918.511962890625,904.5078125,1036.0396728515625
