,Measure,Mating Call,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F,F,0.0,51645.25,12987.8935546875,2502.116943359375,1503.25439453125,5589.54443359375,27088.419921875,6565.541015625,16659.361328125,4310.99267578125,8501.3642578125,2173.966796875,7507.1171875
1,5,F,F,8.0,32016.9765625,5741.80224609375,1248.9652099609375,1536.0198974609375,8159.16845703125,43967.76953125,7361.26806640625,7064.939453125,3320.358154296875,13968.6181640625,9857.6240234375,5781.841796875
2,11,Cmin7,C,20.0,679.5416870117188,173.5483856201172,314.7828674316406,962.2555541992188,320.3401184082031,82.38304901123047,109.866943359375,573.2394409179688,129.06903076171875,117.93529510498047,577.8215942382812,236.34521484375
3,11,Db9,Db,21.0,268.7260437011719,201.09539794921875,274.89068603515625,948.56640625,330.15740966796875,445.7874450683594,169.3645782470703,238.3184356689453,561.8138427734375,172.22186279296875,194.39093017578125,614.8421020507812
4,12,Cmin7,C,22.0,447.7286376953125,133.26358032226562,317.6441650390625,1139.3056640625,339.56695556640625,136.96841430664062,106.26117706298828,453.7422180175781,107.68783569335938,121.61656951904297,581.2440795898438,284.5061950683594
5,12,Db9,Db,23.0,91.94733428955078,36.00442123413086,68.14087677001953,254.29905700683594,57.72393798828125,44.16892623901367,45.84250259399414,155.0713653564453,62.63414001464844,67.07626342773438,263.32574462890625,98.50212860107422
6,13,Cmin7,C,24.0,609.9115600585938,205.60137939453125,459.7766418457031,1283.4541015625,378.2846984863281,186.5409393310547,286.0867004394531,1548.8587646484375,289.7786560058594,129.4340362548828,601.3665161132812,440.9144287109375
7,13,Db9,Db,25.0,285.6739501953125,207.06385803222656,291.7613220214844,965.557373046875,328.8808898925781,440.8941955566406,246.24595642089844,813.7344360351562,651.4821166992188,175.20526123046875,191.06768798828125,613.4229125976562
8,14,Cmin9,C,26.0,26.117523193359375,12.660521507263184,33.8645133972168,192.69068908691406,51.69036865234375,64.79313659667969,21.344863891601562,35.01555252075195,17.684534072875977,8.62701416015625,27.695655822753906,95.78570556640625
9,14,Db7,Db,27.0,212.5223388671875,91.8350601196289,263.3021545410156,379.5829162597656,88.24248504638672,25.5505313873291,39.42161178588867,191.51202392578125,32.8869514465332,26.764137268066406,141.46348571777344,73.79745483398438
10,15,Gmin7,G,28.0,941.8624877929688,1131.6187744140625,1456.4788818359375,541.6077270507812,900.1788940429688,3565.408935546875,1188.0093994140625,1777.2757568359375,1455.59033203125,5892.97314453125,2905.391357421875,1175.45556640625
11,16,C7,C,30.0,1731.0145263671875,379.7932434082031,336.5604248046875,832.6764526367188,3805.072021484375,767.9414672851562,288.144287109375,1472.0887451171875,411.6759948730469,354.2561340332031,1678.1148681640625,751.8900756835938
12,17,Fmaj7,F,32.0,2091.267333984375,562.6917114257812,1157.7098388671875,899.379638671875,3898.575439453125,1696.9544677734375,353.7574462890625,394.4941711425781,656.7023315429688,1747.61572265625,406.6235656738281,591.6500854492188
13,18,Dmin7,D,34.0,579.2520751953125,246.43714904785156,594.081787109375,182.64149475097656,304.9284362792969,1090.6064453125,276.5177307128906,67.47626495361328,85.7557144165039,413.0225524902344,90.2389907836914,108.61727905273438
14,18,G7,G,35.0,217.1060028076172,132.3824005126953,389.2879943847656,196.7934112548828,262.86663818359375,1007.263427734375,416.2226867675781,470.171875,127.86258697509766,143.4608154296875,149.57803344726562,561.1765747070312
15,19,Fmaj7,F,36.0,1053.5029296875,195.05284118652344,215.06695556640625,175.69102478027344,804.072998046875,906.3281860351562,208.2459259033203,137.3137664794922,145.70091247558594,195.2348175048828,116.18697357177734,600.462158203125
16,20,Bmin7,B,38.0,191.6302032470703,41.61374282836914,50.58170700073242,50.42255783081055,249.224365234375,186.78045654296875,25.472848892211914,9.109894752502441,7.921361446380615,18.741668701171875,10.451029777526855,57.35055923461914
17,21,Bbmin7,Bb,40.0,720.2083129882812,1846.8875732421875,1188.0968017578125,1030.2061767578125,824.0054321289062,3434.239013671875,1796.6568603515625,490.8937072753906,1353.9617919921875,1025.0311279296875,2209.005126953125,1081.3521728515625
18,22,Eb7,Eb,42.0,405.9024658203125,2165.780517578125,1048.6640625,3118.063720703125,781.840087890625,352.6407165527344,339.6144714355469,1524.9964599609375,916.5154418945312,4519.6640625,3995.215576171875,648.304931640625
19,23,Amaj7,A,44.0,437.128173828125,1657.0986328125,505.322021484375,1474.0283203125,2908.1259765625,754.6021118164062,214.61289978027344,396.8187561035156,1676.1099853515625,1714.7073974609375,382.3492431640625,197.93714904785156
20,24,Db9,Db,46.0,547.126708984375,642.287109375,978.4649047851562,3096.9345703125,996.4221801757812,1643.2720947265625,947.4699096679688,3846.539794921875,2303.703369140625,513.3492431640625,591.1784057617188,2025.76953125
21,25,Dmin7,D,48.0,1881.5718994140625,776.31787109375,2161.487060546875,631.472900390625,922.709716796875,3724.3271484375,1425.4417724609375,4496.7421875,994.8280639648438,1301.3646240234375,285.3647155761719,420.4953308105469
22,26,G7,G,50.0,1089.1146240234375,448.5657043457031,1119.640625,622.6368408203125,750.25537109375,3779.061279296875,1445.28515625,1818.3714599609375,1239.3026123046875,1003.611328125,4718.87255859375,2628.506103515625
23,27,Cmaj7,C,52.0,2071.2744140625,413.2465515136719,431.8940734863281,798.8984375,3720.14453125,805.4199829101562,774.47900390625,4713.49853515625,858.6549682617188,174.3291473388672,365.5059814453125,2333.83837890625
24,28,Cmaj9,C,54.0,2157.361572265625,770.8997192382812,2754.7294921875,1141.69140625,3674.596435546875,694.0924682617188,348.2507019042969,1489.60693359375,381.8836364746094,215.86395263671875,401.4064025878906,2453.257080078125
25,29,Abmaj,Ab,56.0,1838.27197265625,432.0535888671875,609.9647827148438,2642.3427734375,777.2157592773438,122.66281127929688,174.51258850097656,999.2015991210938,4178.74853515625,725.2984008789062,169.99623107910156,429.8285827636719
26,30,Db9,Db,58.0,673.1967163085938,671.0218505859375,953.9298706054688,3010.303466796875,938.1536254882812,1526.3685302734375,901.6253051757812,3813.248291015625,2918.240966796875,583.429443359375,570.3931274414062,2040.6849365234375
27,31,Gbmaj7,Gb,60.0,596.0120239257812,2042.56982421875,415.494384765625,269.8644104003906,831.7587890625,4192.35888671875,2015.8505859375,395.9944152832031,355.2234802246094,644.1051635742188,2100.950439453125,505.9216613769531
28,32,B7,B,62.0,378.1888427734375,405.0560302734375,741.5908203125,3512.947998046875,647.3777465820312,780.190185546875,3675.427001953125,659.6737670898438,327.3691101074219,1390.5140380859375,734.2476196289062,1860.7359619140625
29,33,Cmin7,C,64.0,1816.8560791015625,477.9128112792969,817.9586791992188,3134.491943359375,941.784423828125,307.9100036621094,686.9966430664062,1538.171875,339.294921875,403.9087829589844,2022.6661376953125,802.3435668945312
30,34,F7,F,66.0,2170.2568359375,474.6874694824219,656.9090576171875,3290.625,1654.53515625,1602.43798828125,393.2094421386719,480.4215087890625,665.85595703125,1817.46484375,573.8292236328125,521.174072265625
31,35,Dmin7,D,68.0,2238.96240234375,782.022705078125,1933.7606201171875,682.9758911132812,921.607177734375,3731.509765625,863.06494140625,655.258544921875,3146.910888671875,1661.5751953125,261.22674560546875,387.2049255371094
32,36,G7,G,70.0,2223.222412109375,1099.221435546875,3354.2958984375,1807.69384765625,2062.826904296875,10587.7412109375,4473.71923828125,12007.14453125,2094.413330078125,1025.8306884765625,2431.514892578125,5819.20166015625
33,38,Cmin7,C,74.0,693.110595703125,177.6014404296875,307.4236755371094,963.1520385742188,323.417724609375,92.19043731689453,113.6104965209961,576.5736694335938,130.16444396972656,118.96722412109375,578.8917846679688,237.6554412841797
34,38,Db9,Db,75.0,267.5082702636719,203.1614532470703,280.0536193847656,950.2129516601562,329.5704650878906,438.75537109375,166.27902221679688,236.4022216796875,563.1731567382812,174.3910369873047,195.34619140625,616.4097290039062
35,39,Cmin7,C,76.0,448.0670471191406,133.45970153808594,323.73980712890625,1140.773681640625,340.9783935546875,141.98487854003906,105.82587432861328,453.3258056640625,107.89434051513672,122.51859283447266,581.4893188476562,283.5406188964844
36,39,Db9,Db,77.0,92.0162582397461,36.31996536254883,68.79761505126953,256.05029296875,58.2403450012207,45.207061767578125,46.45170593261719,155.6383819580078,62.554630279541016,67.14099884033203,263.6293029785156,98.61971282958984
37,40,Cmin7,C,78.0,609.6915893554688,206.452880859375,465.0272521972656,1283.6358642578125,379.5502014160156,193.2393035888672,287.10662841796875,1549.7535400390625,289.3448791503906,129.01524353027344,601.2068481445312,440.826904296875
38,40,Db9,Db,79.0,285.6744689941406,206.31858825683594,289.8188781738281,965.3666381835938,328.6932678222656,438.4515075683594,245.44097900390625,810.743408203125,651.1290893554688,175.5872039794922,191.28802490234375,613.7713623046875
39,41,Cmin9,C,80.0,25.99969482421875,12.55224895477295,33.857662200927734,192.58750915527344,51.90019226074219,66.17583465576172,21.73577117919922,35.425682067871094,17.75612449645996,8.758522987365723,27.837562561035156,95.60437774658203
40,41,Db7,Db,81.0,212.78363037109375,91.7959976196289,261.0107727050781,378.9352111816406,88.43505859375,25.7997989654541,39.61685562133789,191.54669189453125,32.85129165649414,26.756040573120117,141.34164428710938,73.89347839355469
