,Measure,MelodyForC,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,2155.609130859375,425.1505432128906,241.75567626953125,820.4224243164062,3767.772705078125,690.6006469726562,556.1544189453125,1528.07080078125,357.2708435058594,161.3558349609375,498.4883117675781,3294.898193359375
1,2,Bbmaj7,Bb,2.0,201.12379455566406,881.3185424804688,4149.5634765625,824.1570434570312,793.4777221679688,2944.1220703125,724.4564819335938,172.6300048828125,318.6343994140625,1743.9267578125,2046.2659912109375,377.3979187011719
2,3,Cmaj7,C,4.0,2280.51318359375,453.2380065917969,270.7476501464844,811.373291015625,3844.845947265625,817.486328125,605.3367309570312,1540.2701416015625,363.2066955566406,196.43702697753906,519.5396728515625,3380.974609375
3,4,Bbmaj7,Bb,6.0,200.85333251953125,883.3845825195312,4153.67431640625,826.98876953125,799.56298828125,2969.027099609375,721.040771484375,171.6862030029297,320.5293273925781,1752.8634033203125,2044.32763671875,376.2344970703125
4,5,Cmaj7,C,8.0,703.0403442382812,166.2831268310547,102.14840698242188,272.4958190917969,1137.0223388671875,263.4333190917969,214.79254150390625,467.4517517089844,108.330322265625,67.35084533691406,161.35345458984375,1004.6514282226562
5,5,Dmin7,D,9.0,57.67417907714844,43.68491744995117,205.6543426513672,70.19043731689453,176.99974060058594,59.70370101928711,31.25885772705078,48.03630447387695,17.395967483520508,84.71381378173828,29.846105575561523,54.67012405395508
6,6,Emin7,E,10.0,317.5906066894531,285.3930358886719,1301.2572021484375,418.4452209472656,1114.1343994140625,579.4841918945312,209.01025390625,513.7216186523438,314.9964599609375,1437.0421142578125,311.5954895019531,593.0537719726562
7,6,Dmin7,D,11.0,536.0802612304688,229.45240783691406,496.1304931640625,157.22378540039062,437.9478454589844,1062.7806396484375,343.2563171386719,119.85284423828125,95.92755889892578,420.8536376953125,130.19796752929688,362.7915954589844
8,7,Cmaj7,C,12.0,1886.6983642578125,448.9747009277344,1019.539794921875,899.798828125,3837.258056640625,1333.1114501953125,423.7716064453125,1499.05908203125,370.5216369628906,234.1481475830078,376.4662780761719,2275.23388671875
9,8,G7,G,14.0,25.665319442749023,9.093253135681152,25.975433349609375,18.99480438232422,73.04713439941406,72.99337005615234,14.798392295837402,14.340507507324219,5.836889743804932,17.685789108276367,6.4584126472473145,25.062253952026367
10,9,C7,C,16.0,91.07115936279297,48.42374038696289,173.69580078125,43.71611404418945,126.03955078125,685.5392456054688,119.67505645751953,66.22087860107422,17.410310745239258,52.88969802856445,62.73366165161133,322.755615234375
11,10,Fmaj7,F,18.0,2166.596923828125,436.4866943359375,237.799072265625,808.6619262695312,3766.276611328125,1955.4783935546875,419.5892333984375,822.0856323242188,752.9933471679688,1737.0074462890625,804.8255004882812,702.1537475585938
12,11,Ebmaj7,Eb,20.0,163.07699584960938,429.6716613769531,2702.439697265625,3403.795166015625,685.92919921875,239.3034210205078,417.1654968261719,2533.155517578125,479.2484436035156,469.5094299316406,1931.1214599609375,414.4269714355469
13,12,Fmaj7,F,22.0,2027.1331787109375,400.0780029296875,213.9214324951172,850.5772094726562,3682.751220703125,1824.1435546875,340.2679748535156,381.7821044921875,669.2999877929688,1719.2357177734375,375.2098693847656,548.4052124023438
14,13,Ebmaj7,Eb,24.0,160.05783081054688,435.6382141113281,2762.865478515625,3452.330322265625,687.5530395507812,226.34095764160156,413.0631103515625,2500.46728515625,471.6238708496094,445.9014587402344,1910.71142578125,411.3482971191406
15,14,Fmaj7,F,26.0,597.1076049804688,131.53445434570312,71.38361358642578,273.4440002441406,1075.7401123046875,545.967529296875,121.24571990966797,125.22937774658203,234.8029022216797,566.8194580078125,139.57667541503906,178.2747344970703
16,14,Gmin7,G,27.0,79.4327163696289,21.33290672302246,21.50042152404785,70.777099609375,173.5534210205078,75.38520050048828,42.824642181396484,235.1329803466797,70.43781280517578,23.11699867248535,9.837064743041992,25.848833084106445
17,15,Amin7,A,28.0,551.2432250976562,219.8435821533203,443.2932434082031,271.302978515625,972.9402465820312,556.5643920898438,229.8456268310547,599.4099731445312,284.43853759765625,601.0449829101562,246.2101593017578,211.94297790527344
18,15,Gmin7,G,29.0,112.45023345947266,125.95972442626953,356.9380187988281,148.6814422607422,594.0115356445312,897.5891723632812,339.83990478515625,619.1818237304688,184.98069763183594,239.9084930419922,598.03955078125,159.5013885498047
19,16,Fmaj7,F,30.0,2057.088623046875,448.9391784667969,398.2046203613281,767.7393188476562,3477.177734375,2190.150390625,666.4816284179688,2224.474365234375,861.4736938476562,1709.38427734375,401.374267578125,546.3460083007812
20,17,Dmin7,D,32.0,605.9893188476562,241.1853485107422,531.6400756835938,166.98301696777344,306.8752136230469,1135.671142578125,289.0454406738281,66.78165435791016,86.48316192626953,414.1383361816406,89.54483795166016,109.5936050415039
21,17,G7,G,33.0,91.7012939453125,39.21623611450195,86.21432495117188,50.31649398803711,84.0348129272461,399.1867370605469,107.17658233642578,120.66544342041016,47.38718795776367,65.57566833496094,25.272438049316406,52.52809524536133
22,18,Cmaj7,C,34.0,2042.9251708984375,472.4219665527344,402.3061828613281,823.0811157226562,4021.299072265625,1753.1551513671875,771.927734375,1783.9815673828125,404.2354431152344,228.5321807861328,473.8321838378906,2790.1953125
23,19,Bbmaj7,Bb,36.0,213.33473205566406,911.954345703125,4265.298828125,845.3330078125,797.2810668945312,2945.421142578125,737.705810546875,175.96722412109375,321.0853576660156,1754.8536376953125,2050.825439453125,376.1842346191406
24,20,Cmaj7,C,38.0,2296.64306640625,455.259521484375,274.0712585449219,806.9541625976562,3840.007568359375,814.6948852539062,605.1585083007812,1539.63525390625,362.7983703613281,196.52882385253906,542.0938110351562,3510.775146484375
25,21,Bbmaj7,Bb,40.0,204.1681671142578,901.0316772460938,4251.58251953125,844.5418090820312,798.40966796875,2965.5439453125,722.9158325195312,171.7894744873047,320.5276184082031,1752.7567138671875,2046.7735595703125,392.81640625
26,22,Cmaj7,C,42.0,703.720458984375,165.2759246826172,105.0981674194336,272.0308837890625,1139.632568359375,263.72296142578125,215.1748809814453,468.0275573730469,108.41876220703125,67.46969604492188,164.2113800048828,1024.0966796875
27,22,Dmin7,D,43.0,56.88605880737305,42.606300354003906,202.61875915527344,70.16961669921875,177.22142028808594,59.841060638427734,31.372053146362305,48.59247970581055,17.480398178100586,84.78191375732422,30.261619567871094,55.034454345703125
28,23,Emin7,E,44.0,317.7198791503906,284.9078369140625,1297.9254150390625,417.5355529785156,1114.2012939453125,579.240966796875,208.8994598388672,513.241455078125,314.6274719238281,1435.7003173828125,310.7467041015625,589.48095703125
29,23,Dmin7,D,45.0,59.90768814086914,22.399412155151367,86.0641860961914,80.6014175415039,173.876708984375,103.3776626586914,122.06531524658203,58.94400405883789,15.765772819519043,13.929055213928223,45.45583724975586,283.19085693359375
30,24,Cmaj7,C,46.0,1266.2977294921875,455.6097106933594,958.4000854492188,852.3173828125,3963.593994140625,1963.49267578125,586.3724365234375,1580.0130615234375,438.0509338378906,597.2353515625,425.2394714355469,2161.286865234375
31,25,Dmin7,D,48.0,631.6151733398438,253.29298400878906,602.2539672851562,174.23358154296875,291.97705078125,1049.2706298828125,267.7063293457031,66.1036148071289,87.52542877197266,415.7868347167969,89.78579711914062,121.40535736083984
32,25,G7,G,49.0,1131.49267578125,669.0311279296875,2240.491943359375,1098.6815185546875,1412.54296875,6739.63623046875,2321.599853515625,3050.5390625,648.8123168945312,818.9573364257812,840.1964721679688,3753.174072265625
