,Measure,MessAround,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,Ab7,Ab,8.0,4971.39990234375,1317.617431640625,1753.6737060546875,8336.958984375,2559.183349609375,1970.3619384765625,10466.4970703125,5130.6591796875,12738.8623046875,2148.8408203125,637.6092529296875,1140.4371337890625
1,7,Eb7,Eb,12.0,1055.4302978515625,5239.42431640625,2711.795654296875,9706.4501953125,1818.20458984375,505.4154357910156,885.474609375,5625.666015625,10252.1494140625,2371.239990234375,5262.08544921875,1184.2318115234375
2,9,Bb7,Bb,16.0,266.093994140625,431.636474609375,2022.89990234375,660.7933349609375,694.2896118164062,3001.392578125,754.618896484375,540.5040283203125,3211.9306640625,1145.6776123046875,1968.9530029296875,371.3919372558594
3,10,Ab7,Ab,18.0,1722.0634765625,449.9684143066406,609.6331787109375,2585.535400390625,849.751220703125,811.8984985351562,3694.558349609375,1165.9974365234375,1617.3228759765625,328.6327209472656,206.83287048339844,398.9304504394531
4,11,Eb7,Eb,20.0,371.9107666015625,1908.4013671875,1019.9135131835938,3237.714599609375,642.243408203125,239.1985321044922,336.6017761230469,1540.5401611328125,342.2949523925781,349.3475646972656,1912.9149169921875,439.55029296875
5,12,Eb7,Eb,22.0,361.7270202636719,1914.6251220703125,1021.932861328125,3089.129150390625,610.3994750976562,198.6791229248047,297.7500915527344,1527.5264892578125,342.763916015625,354.3745422363281,1944.7777099609375,441.7234191894531
6,13,Eb7,Eb,24.0,360.0137023925781,1920.2530517578125,1016.3421020507812,3060.4541015625,606.0624389648438,199.20721435546875,284.4002380371094,1556.25146484375,341.89013671875,351.6042785644531,1930.9561767578125,437.4209899902344
7,14,Eb7,Eb,26.0,401.675048828125,1951.5902099609375,1073.311767578125,3358.6259765625,689.491943359375,191.27976989746094,291.5679016113281,1640.04833984375,362.4667053222656,353.0649108886719,1963.546875,461.5442199707031
8,15,Eb7,Eb,28.0,401.6218566894531,1954.48388671875,1070.2022705078125,3353.307373046875,688.3472290039062,191.52520751953125,291.31158447265625,1631.4169921875,361.7419738769531,353.3572692871094,1962.7911376953125,460.3783264160156
9,16,Eb7,Eb,30.0,399.5106506347656,1955.3876953125,1075.2237548828125,3355.087158203125,688.5185546875,191.22027587890625,290.4050598144531,1632.1444091796875,361.4178161621094,352.6548767089844,1960.296875,459.8988342285156
10,17,Ab7,Ab,32.0,1722.64208984375,478.2702941894531,598.3367309570312,2511.29248046875,822.36279296875,726.2670288085938,3681.08203125,1210.4691162109375,1619.4649658203125,319.8152770996094,187.2576446533203,381.971435546875
11,18,Ab7,Ab,34.0,1759.45263671875,495.04052734375,622.5846557617188,2603.307861328125,865.60791015625,820.9595336914062,4254.03662109375,1332.1409912109375,1616.47509765625,328.3297119140625,268.0773620605469,416.1611022949219
12,19,Eb7,Eb,36.0,396.79833984375,1910.1641845703125,1026.4132080078125,3267.55078125,643.1976928710938,199.4816131591797,330.7610168457031,1538.0758056640625,341.9763488769531,350.6177062988281,1932.4429931640625,446.3327331542969
13,20,Eb7,Eb,38.0,366.5862731933594,1944.6705322265625,1033.7708740234375,3177.522216796875,659.3117065429688,292.5415954589844,978.6587524414062,1677.3046875,346.0962829589844,351.4896240234375,1968.0380859375,457.5787048339844
14,21,Bb7,Bb,40.0,236.29840087890625,447.2886047363281,2050.821533203125,551.4236450195312,695.6377563476562,2983.644775390625,732.2743530273438,291.7214050292969,1358.2025146484375,856.086181640625,1867.03662109375,344.5294494628906
15,22,Ab7,Ab,42.0,1715.8692626953125,451.5050354003906,615.6983032226562,2632.34423828125,856.14453125,799.4032592773438,3663.880615234375,1173.4515380859375,1612.1785888671875,324.8738708496094,191.1356964111328,393.7966613769531
16,23,Eb7,Eb,44.0,372.8140563964844,1912.037109375,1022.1107788085938,3241.695556640625,645.8143310546875,250.7619171142578,406.4486999511719,1559.34130859375,344.1251220703125,351.4062805175781,1927.40771484375,443.808349609375
17,24,Eb7,Eb,46.0,2482.1103515625,12900.3046875,7788.76171875,25032.904296875,4312.73193359375,1560.4490966796875,4006.877197265625,22881.474609375,4147.49755859375,2475.536865234375,14241.671875,3110.264892578125
