,Measure,Montara,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmaj7,F,0.0,598.2240600585938,130.4827117919922,68.26268768310547,237.51820373535156,1038.7108154296875,529.592529296875,113.8238296508789,112.3238525390625,232.974365234375,535.27734375,129.03562927246094,177.57395935058594
1,1,Emin11,E,1.0,298.3438415527344,208.6410675048828,390.4203186035156,387.5133056640625,627.5287475585938,383.0377502441406,1313.4381103515625,688.3046875,226.4133758544922,481.7488098144531,249.33538818359375,712.92578125
2,2,C13,C,2.0,235.9311981201172,195.9032440185547,379.6313781738281,378.6842956542969,735.27587890625,1050.2850341796875,563.8099975585938,613.6323852539062,260.24273681640625,667.1339721679688,687.98974609375,342.6527099609375
3,2,Gmaj6,G,3.0,154.47422790527344,127.52117156982422,409.0799560546875,347.166015625,932.9349975585938,360.3112487792969,282.8090515136719,495.9222412109375,153.09266662597656,155.2946014404297,183.00010681152344,602.6546630859375
4,3,Fmaj7,F,4.0,649.4132690429688,158.55593872070312,123.1490707397461,243.6671142578125,1050.7701416015625,587.4617919921875,161.4159698486328,279.74249267578125,269.4289245605469,553.7823486328125,150.78207397460938,225.1181640625
5,3,Emin7,E,5.0,222.52777099609375,196.59068298339844,900.1123046875,367.5688171386719,949.119384765625,285.0054626464844,140.21022033691406,455.7339172363281,118.9433822631836,82.9835205078125,113.04216766357422,617.7631225585938
6,4,C7,C,6.0,542.5286865234375,142.41343688964844,178.59619140625,277.6551208496094,1093.7952880859375,238.126708984375,116.20294952392578,509.4695739746094,129.6489715576172,137.05833435058594,686.83935546875,307.9819030761719
7,4,Gmaj7,G,7.0,251.28375244140625,149.03453063964844,365.5326843261719,194.15184020996094,212.1773681640625,341.6352233886719,1293.2215576171875,738.14013671875,130.55247497558594,82.4246826171875,174.30885314941406,651.7406616210938
8,5,Fmaj7,F,8.0,627.9491577148438,147.60572814941406,114.73011016845703,258.0486145019531,1052.1212158203125,588.7257690429688,270.220458984375,158.82810974121094,243.7003936767578,544.482421875,144.76638793945312,221.7408447265625
9,5,Emin11,E,9.0,300.8048400878906,206.99871826171875,380.2380065917969,387.3791198730469,631.3641967773438,382.1916809082031,1317.7686767578125,682.7134399414062,224.91590881347656,482.3837585449219,252.91241455078125,714.9230346679688
10,6,C13,C,10.0,235.6891326904297,196.9839630126953,385.2499084472656,380.1731872558594,735.8772583007812,1051.01953125,562.7736206054688,605.1812744140625,259.19281005859375,667.1353149414062,682.6696166992188,339.5979309082031
11,6,Gmaj6,G,11.0,153.3509521484375,126.62044525146484,405.0313415527344,346.9787902832031,932.604248046875,359.886474609375,281.9276123046875,486.0828857421875,151.447021484375,154.77513122558594,186.8782196044922,601.2669677734375
