,Measure,MrMagic,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,491.8670349121094,138.8792266845703,295.1054382324219,953.0703735351562,306.1066589355469,72.91178131103516,91.60491180419922,439.8361511230469,99.00934600830078,114.00775909423828,562.7710571289062,229.62872314453125
1,1,F7,F,1.0,12188.6044921875,2601.716064453125,4142.30029296875,22160.142578125,9868.4482421875,8671.7431640625,1710.76953125,2697.82958984375,2480.919189453125,8124.51318359375,2502.022705078125,2691.68798828125
2,5,Cmin7,C,8.0,491.9029235839844,139.5061492919922,293.8366394042969,950.5231323242188,305.1708679199219,72.91934967041016,92.4496841430664,439.9210205078125,99.13961029052734,114.7654037475586,563.8956909179688,231.39306640625
3,5,F7,F,9.0,24840.162109375,5311.6484375,8543.6767578125,46435.640625,20076.216796875,18118.5,3466.931884765625,5401.68017578125,4808.5986328125,15684.52734375,5014.36376953125,5450.85498046875
4,12,F7,F,22.0,1998.8577880859375,445.3663635253906,674.7313842773438,3317.441650390625,1709.607421875,1384.1009521484375,300.4413146972656,367.4958801269531,516.9286499023438,1675.2435302734375,424.6333923339844,474.0941162109375
5,13,Cmin7,C,24.0,2224.255126953125,537.229736328125,888.0538940429688,3420.55859375,1112.6712646484375,271.1033020019531,321.9969787597656,1745.4832763671875,368.3703308105469,375.7276306152344,1968.26513671875,821.108642578125
6,14,F7,F,26.0,2382.93359375,538.4181518554688,703.228271484375,3501.7822265625,1787.4630126953125,1408.09521484375,332.95477294921875,677.3624267578125,584.4763793945312,1697.8212890625,449.1105041503906,531.6405639648438
7,15,Bb7,Bb,28.0,269.9165954589844,439.8013000488281,2092.9716796875,755.50927734375,752.6738891601562,3123.618896484375,791.939697265625,423.7568054199219,1806.5360107421875,1001.24072265625,1983.9208984375,370.6868896484375
8,16,Cmin7,C,30.0,1727.80859375,423.6737976074219,829.8703002929688,3229.95703125,1048.79443359375,301.82525634765625,293.4563903808594,1469.9820556640625,317.80322265625,394.71630859375,2095.2978515625,779.4741821289062
9,17,Bbmin7,Bb,32.0,177.84217834472656,509.1278991699219,128.90956115722656,102.96875762939453,241.3943328857422,937.795654296875,185.7505645751953,114.11965942382812,562.3499145507812,273.17755126953125,554.6057739257812,134.2685089111328
10,17,Eb7,Eb,33.0,132.64205932617188,553.0479736328125,338.6968688964844,926.301513671875,235.0569610595703,274.092529296875,120.93738555908203,470.8180847167969,141.6887969970703,126.5129165649414,575.7916259765625,145.91661071777344
11,18,Ab,Ab,34.0,521.5903930664062,214.8882598876953,232.6343536376953,818.6041870117188,257.3037414550781,62.14897537231445,75.18416595458984,353.6361999511719,481.6005554199219,110.2650375366211,90.92195892333984,144.16598510742188
12,18,G7,G,35.0,231.57786560058594,152.72364807128906,386.8518981933594,454.4620666503906,307.5704345703125,1125.8526611328125,458.7945556640625,524.9856567382812,139.334228515625,91.18457794189453,139.07122802734375,571.17431640625
13,19,Cmin7,C,36.0,338.0768737792969,147.66075134277344,308.3237609863281,406.2310485839844,222.5235595703125,721.7157592773438,160.78550720214844,235.21624755859375,59.35456848144531,58.65802001953125,253.7996063232422,402.4141540527344
