,Measure,MrMagicII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,491.8670349121094,138.8792266845703,295.1054382324219,953.0703735351562,306.1066589355469,72.91178131103516,91.60491180419922,439.8361511230469,99.00934600830078,114.00775909423828,562.7710571289062,229.62872314453125
1,1,F7,F,1.0,28988.216796875,6207.28759765625,10015.7548828125,54533.14453125,23458.96875,21287.103515625,4050.943603515625,6304.60498046875,5582.64404296875,18190.8359375,5864.396484375,6361.92138671875
2,9,Cmin7,C,16.0,1703.3985595703125,429.7665100097656,852.2763061523438,3398.389404296875,1094.6617431640625,550.467529296875,354.6751403808594,1514.4312744140625,319.04437255859375,405.6138610839844,1962.1612548828125,738.2112426757812
3,10,F7,F,18.0,2048.845947265625,488.516845703125,679.4117431640625,3275.843505859375,1879.0386962890625,1484.1094970703125,308.98516845703125,407.5802917480469,1066.0389404296875,5721.78125,2145.062255859375,688.3085327148438
4,11,Cmin7,C,20.0,1733.3948974609375,433.1462097167969,842.5154418945312,3372.8916015625,1104.071044921875,591.082763671875,361.1355895996094,1536.0718994140625,319.36004638671875,407.6972351074219,1958.57763671875,739.0003051757812
5,12,F7,F,22.0,2050.67919921875,489.7920227050781,680.7056884765625,3278.8408203125,1879.75537109375,1494.26318359375,309.2688903808594,407.5140075683594,1065.7030029296875,5719.146484375,2144.83544921875,688.382568359375
6,13,Cmin7,C,24.0,2293.082763671875,548.048095703125,889.1307983398438,3422.829833984375,1115.9332275390625,271.5905456542969,323.9805603027344,1760.9429931640625,370.7343444824219,376.8156433105469,1966.9503173828125,829.2451782226562
7,14,F7,F,26.0,2379.682373046875,547.4362182617188,767.2738647460938,3572.102294921875,1803.66943359375,1427.2371826171875,346.8302001953125,716.7907104492188,609.773681640625,1726.41796875,461.6094970703125,568.9181518554688
8,15,Bb7,Bb,28.0,243.8743133544922,427.7662658691406,2042.62890625,576.15087890625,718.8546752929688,3138.427978515625,786.2866821289062,363.616455078125,1433.7891845703125,906.355224609375,1945.8062744140625,360.2804870605469
9,16,Cmin7,C,30.0,2799.318115234375,591.88623046875,861.6139526367188,3260.806884765625,1088.9677734375,307.82220458984375,315.6028747558594,1714.1661376953125,377.1672058105469,393.5631408691406,2077.780517578125,921.6810913085938
10,17,Bbmin7,Bb,32.0,176.8253631591797,509.1379089355469,129.16665649414062,102.86114501953125,241.197998046875,938.3749389648438,186.35594177246094,119.050537109375,563.8491821289062,272.441162109375,553.7255859375,133.98887634277344
11,17,Eb7,Eb,33.0,132.6809539794922,553.06689453125,338.74072265625,926.2888793945312,235.05836486816406,274.0977478027344,120.93143463134766,470.7682800292969,141.6862335205078,126.52794647216797,576.2793579101562,146.05990600585938
12,18,Ab,Ab,34.0,519.453857421875,215.13536071777344,243.41419982910156,857.0468139648438,266.20257568359375,62.99709701538086,83.0201644897461,407.009765625,502.8672790527344,116.46256256103516,89.5185546875,145.2144012451172
13,18,G7,G,35.0,128.8606719970703,81.56336975097656,225.9976043701172,313.87982177734375,184.87022399902344,706.7058715820312,217.5067596435547,261.388671875,75.44140625,54.537353515625,92.07013702392578,382.5638427734375
14,19,Cmin7,C,36.0,1811.4251708984375,475.8160400390625,889.99951171875,3336.5390625,1105.54248046875,709.7265625,405.6107482910156,1598.1934814453125,324.9949035644531,376.2291259765625,1998.5955810546875,911.6880493164062
