,Measure,Mustang,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,1689.900390625,361.1982116699219,271.4096984863281,789.4602661132812,3843.638671875,671.677978515625,282.1891174316406,1486.0633544921875,404.7544860839844,339.97100830078125,1697.5745849609375,751.7026977539062
1,2,C7,C,2.0,29046.4375,9086.5048828125,26842.443359375,9882.3857421875,29557.888671875,5726.40283203125,2975.775390625,12089.0576171875,6150.478515625,15892.2373046875,51160.65625,12804.5771484375
2,6,C7,C,10.0,51771.31640625,9818.021484375,4149.98486328125,14407.0830078125,67456.6015625,11547.9912109375,5196.564453125,30343.318359375,19559.27734375,84733.6640625,41338.84765625,15127.9267578125
3,14,F7,F,26.0,22648.96875,4542.353515625,4843.87060546875,25535.037109375,12821.79296875,10454.28125,2096.167724609375,4392.7373046875,6726.853515625,33935.12109375,6676.59814453125,4442.55712890625
4,18,C7,C,34.0,29042.798828125,9103.50390625,26880.828125,9927.7646484375,29812.443359375,5772.23291015625,2975.534912109375,12038.79296875,6146.02734375,15883.8935546875,51064.32421875,12792.515625
5,22,G7,G,42.0,1550.6611328125,992.9878540039062,3443.59765625,1778.5408935546875,2170.326904296875,10920.5537109375,4062.708984375,4711.66455078125,921.59423828125,970.2977905273438,1679.9674072265625,7600.91162109375
6,24,F7,F,46.0,6281.046875,1409.1856689453125,1914.3695068359375,9897.6240234375,5156.3916015625,4029.65234375,790.0300903320312,1197.0494384765625,2670.238525390625,14288.76953125,2587.892822265625,1401.0648193359375
7,26,C7,C,50.0,40832.99609375,12734.1142578125,37504.69921875,14152.3388671875,39423.98046875,7829.41796875,4033.629638671875,15820.4111328125,8437.3076171875,22805.412109375,69871.9609375,17606.796875
8,31,C7,C,60.0,44372.265625,7873.79296875,4181.17626953125,10388.2958984375,56155.74609375,13791.87890625,9477.70703125,49910.73828125,10852.1025390625,5162.0029296875,21082.234375,13432.71484375
9,39,F7,F,76.0,15390.7216796875,3337.283447265625,4770.95556640625,25373.345703125,12392.7490234375,12484.6904296875,2324.514892578125,2760.534423828125,4402.92041015625,21111.806640625,14298.9462890625,4774.04248046875
10,43,C7,C,84.0,15099.8447265625,2865.098876953125,1721.6002197265625,5623.74267578125,30357.658203125,5960.044921875,2966.671875,15904.7880859375,3933.7802734375,2361.002685546875,10905.369140625,5439.76513671875
11,47,G7,G,92.0,1339.5137939453125,923.125244140625,3185.595947265625,1631.4320068359375,2115.76171875,10850.9130859375,3962.982421875,6799.78271484375,1246.73095703125,793.5029296875,1198.8848876953125,5728.03955078125
12,49,F7,F,96.0,5912.98095703125,1299.0848388671875,1920.20458984375,9858.4580078125,4857.71435546875,4287.25927734375,865.1047973632812,1128.75048828125,1481.5677490234375,5534.61328125,1662.9576416015625,1392.0169677734375
13,51,C7,C,100.0,19546.228515625,3729.4541015625,2438.907958984375,7712.171875,39392.90625,8299.5947265625,4320.666015625,23367.861328125,5525.994140625,3049.887451171875,13651.4130859375,6968.51708984375
