,Measure,News For Lulu,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,6,Fmin7,F,10.0,488.3516845703125,131.15599060058594,315.42010498046875,1590.6322021484375,533.0125122070312,1512.4031982421875,424.5065002441406,738.6172485351562,4021.797607421875,1429.4920654296875,4499.96044921875,1015.470947265625
1,10,Gmin7,G,18.0,756.0259399414062,226.545654296875,243.14305114746094,545.8919067382812,1763.1824951171875,469.7041015625,183.0796356201172,686.227783203125,191.1875762939453,164.7421417236328,754.1126098632812,366.8932189941406
2,11,C7(#9),C,20.0,993.7279663085938,262.1089782714844,310.59619140625,1194.19140625,711.4976196289062,783.6934204101562,216.4396209716797,453.0093078613281,780.6923217773438,227.31321716308594,161.31752014160156,253.8376922607422
3,12,Fmin7,F,22.0,814.4960327148438,231.46437072753906,245.60406494140625,935.8810424804688,1834.80419921875,468.5307312011719,204.37693786621094,771.6613159179688,208.3112030029297,175.1067352294922,840.9470825195312,403.8022766113281
4,13,C7(#9),C,24.0,2599.73583984375,470.1467590332031,329.4501037597656,1231.7086181640625,686.4506225585938,672.0325317382812,202.75645446777344,421.3412780761719,770.5156860351562,230.1067657470703,151.3700714111328,485.3522033691406
5,14,Fmin7,F,26.0,196.80149841308594,58.187042236328125,87.3070068359375,435.8211975097656,320.9309387207031,1231.0003662109375,202.59263610839844,122.73444366455078,89.01140594482422,153.29318237304688,68.18732452392578,50.09357833862305
6,16,Bbmin7,Bb,30.0,190.6471405029297,977.65380859375,500.3225402832031,1414.21337890625,324.4710388183594,229.68634033203125,162.7454833984375,679.1182250976562,188.5773468017578,173.7763214111328,846.7594604492188,214.52142333984375
7,17,Eb7,Eb,32.0,1357.0694580078125,841.7465209960938,444.5915222167969,1258.110595703125,463.8373107910156,213.65814208984375,203.8677978515625,1017.7841796875,1046.5120849609375,206.70265197753906,119.9071273803711,317.1331787109375
8,18,Abmaj7,Ab,34.0,776.9755249023438,212.8816375732422,365.9097595214844,1562.3702392578125,446.2259216308594,98.65880584716797,136.6550750732422,669.6652221679688,129.7346649169922,52.193111419677734,84.15469360351562,221.73353576660156
9,19,Cmin,C,36.0,167.97091674804688,68.48944091796875,64.82495880126953,286.7798767089844,149.28509521484375,263.50848388671875,57.06976318359375,31.03602409362793,51.53695297241211,59.68538284301758,53.67374038696289,49.71330642700195
10,19,F7,F,37.0,35.92536163330078,121.22235870361328,29.77537727355957,53.44441604614258,64.87564086914062,305.1725158691406,42.820343017578125,14.24707317352295,59.16065979003906,25.068117141723633,36.72641372680664,12.813090324401855
11,20,Bbmin7,Bb,38.0,203.855712890625,982.7879028320312,499.5791931152344,1436.2396240234375,331.7732849121094,256.2475891113281,170.4492950439453,691.9086303710938,190.9013671875,175.75531005859375,847.4055786132812,216.22117614746094
12,21,Eb7,Eb,40.0,420.2633056640625,881.9970703125,1920.1204833984375,1176.2574462890625,569.3346557617188,1513.7630615234375,792.79443359375,2741.374755859375,3366.611083984375,810.740966796875,957.2984008789062,276.9187927246094
13,22,Gmin7,G,42.0,607.6544189453125,198.4318389892578,241.8682098388672,616.3074951171875,1203.3223876953125,332.2985534667969,172.4098358154297,529.5381469726562,162.65170288085938,252.83985900878906,1385.0950927734375,440.9438171386719
14,22,C7(#9),C,43.0,328.7663269042969,95.16690063476562,139.93490600585938,282.0279846191406,1159.9112548828125,406.05126953125,81.22918701171875,218.55430603027344,53.10659408569336,42.29086685180664,184.70042419433594,109.59105682373047
15,24,Fmin7,F,46.0,497.1518249511719,151.37696838378906,382.0505676269531,1581.8826904296875,674.1233520507812,1765.9395751953125,466.3416442871094,796.2100219726562,4059.049560546875,1425.48193359375,4416.66650390625,1016.421630859375
16,28,Gmin7,G,54.0,755.81103515625,226.4524688720703,243.3736572265625,546.37060546875,1762.32275390625,470.2341003417969,182.9574432373047,685.9041137695312,191.191162109375,164.83981323242188,754.6383666992188,366.9320983886719
