,Measure,NoProblem,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1723.4893798828125,273.4657287597656,50.67746353149414,144.5395965576172,51.123138427734375,32.081058502197266,58.5093994140625,147.92584228515625,34.141807556152344,20.376514434814453,72.1600570678711,253.31919860839844
1,2,Cmin(maj7),C,2.0,323.4242248535156,79.10393524169922,278.8719787597656,696.5763549804688,100.36624908447266,28.637845993041992,477.9127197265625,3469.095703125,532.364990234375,29.467809677124023,102.53699493408203,93.76009368896484
2,3,Cmin,C,4.0,304.4869689941406,83.03783416748047,197.2978973388672,649.3281860351562,106.5606689453125,157.6254425048828,212.6024627685547,1158.4200439453125,208.71527099609375,583.9500122070312,4043.9619140625,729.9080200195312
3,4,Amin7(b5),A,6.0,290.98114013671875,64.16236114501953,109.02706146240234,634.5097045898438,89.71826171875,5.906230926513672,60.03464126586914,407.4427185058594,57.932193756103516,4.30161190032959,8.920232772827148,53.26002883911133
4,5,Fmin7,F,8.0,2122.187744140625,355.1526794433594,77.18697357177734,336.6213073730469,612.6303100585938,131.41598510742188,84.53567504882812,256.7365417480469,71.33165740966797,53.93935775756836,77.61261749267578,338.3534851074219
5,6,Bb7,Bb,10.0,432.2525634765625,99.62311553955078,286.3581237792969,715.31103515625,179.0702362060547,216.0665283203125,462.9787902832031,3205.716552734375,524.8297729492188,32.08003616333008,23.522565841674805,103.59182739257812
6,7,Eb7,Eb,12.0,57.37637710571289,57.57862854003906,281.0237121582031,135.2469940185547,149.76541137695312,864.827392578125,301.4044494628906,1075.0645751953125,280.0620422363281,639.8933715820312,4293.55615234375,629.8671875
7,8,Eb7,Eb,14.0,29.90379524230957,91.08112335205078,145.5692901611328,630.8057861328125,99.2281265258789,71.88795471191406,74.84991455078125,457.4604797363281,70.27603912353516,17.657438278198242,88.906494140625,21.849990844726562
8,9,D7,D,16.0,51.0159797668457,116.29800415039062,314.3158264160156,845.8143920898438,128.00704956054688,66.6679458618164,481.0086669921875,3446.292724609375,538.465576171875,33.31560134887695,120.28540802001953,59.76359558105469
9,10,G7,G,18.0,101.60189056396484,48.40773010253906,186.3795928955078,80.3847885131836,18.498661041259766,77.9361572265625,384.6107482910156,60.8791618347168,15.719016075134277,73.3574447631836,26.686513900756836,19.0460205078125
10,11,Cmin7,C,20.0,5375.93603515625,1042.4329833984375,1175.5960693359375,2202.52587890625,886.0149536132812,2256.9130859375,708.8131713867188,943.7208862304688,276.9832458496094,454.940185546875,2259.591796875,2068.094482421875
11,13,Dmin7(b5),D,24.0,69.29579162597656,34.67424774169922,208.51393127441406,245.6160125732422,47.11542892456055,63.56668472290039,450.1817626953125,3185.589111328125,507.3010559082031,21.513328552246094,50.93459701538086,54.38038635253906
