,Measure,NoRoomForSquares,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1751.2667236328125,456.0784912109375,1056.9739990234375,3245.0576171875,1027.47607421875,406.2678527832031,759.1629028320312,4563.42041015625,832.802734375,697.3963012695312,4252.0361328125,1125.1824951171875
1,2,Fmaj7,F,2.0,2134.6044921875,447.6226806640625,166.07546997070312,811.4691772460938,3596.1201171875,1907.802734375,352.1081237792969,422.4638671875,1219.2723388671875,6235.50390625,1046.7481689453125,547.4193725585938
2,3,Cmin7,C,4.0,1730.9293212890625,517.5369262695312,1110.0374755859375,3182.466064453125,1078.9349365234375,379.7159423828125,745.974365234375,4527.58984375,778.4091186523438,398.1585693359375,1984.7301025390625,759.7753295898438
3,4,Fmaj7,F,6.0,2108.433837890625,441.08837890625,166.39613342285156,825.3142700195312,3601.152099609375,1921.0069580078125,348.2708435058594,420.8907775878906,1092.358154296875,5168.1376953125,881.7260131835938,547.63330078125
4,5,Cmin,C,8.0,1755.7386474609375,458.8555603027344,933.359375,3230.9755859375,1013.8626098632812,403.35205078125,744.181640625,4539.69482421875,749.58984375,654.5071411132812,4116.373046875,1103.3778076171875
5,6,F6/C,F,10.0,1870.8546142578125,745.77783203125,1947.88037109375,651.4865112304688,1385.0205078125,3495.224609375,797.0234985351562,373.3962707519531,823.5960083007812,4918.02880859375,786.8302612304688,452.8291931152344
6,7,Cmin7,C,12.0,4890.64599609375,1132.8743896484375,1986.6356201171875,7437.94189453125,2557.68798828125,924.9030151367188,1425.3568115234375,8745.6103515625,1466.07470703125,1073.4736328125,5794.88671875,2050.873779296875
7,9,Cmin7,C,16.0,62603.16796875,14568.9501953125,36792.015625,63002.67578125,15548.08203125,7618.88037109375,14334.9619140625,72235.5,12921.2568359375,7892.212890625,39007.2734375,17254.853515625
8,17,Fmin7,F,32.0,48653.18359375,30634.494140625,30194.966796875,78237.3515625,29046.369140625,58953.51171875,17232.060546875,54965.85546875,61799.625,21767.853515625,62921.34375,23061.71875
9,26,Cmin7,C,50.0,32518.697265625,15035.6298828125,31766.6015625,59246.71484375,18423.880859375,18710.83203125,14185.1953125,61948.875,12226.1025390625,7029.57421875,32833.16015625,14747.9609375
