,Measure,Nothing Else to Do,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Cmaj7,C,2.0,798.15625,147.67201232910156,41.4863166809082,116.6668472290039,560.109619140625,94.37940216064453,57.406558990478516,171.3157958984375,43.3158073425293,22.48741912841797,46.77384567260742,352.9073486328125
1,3,Cmaj7,C,4.0,203.5887451171875,216.98321533203125,84.40802764892578,134.77182006835938,468.0044860839844,161.6794891357422,334.6718444824219,703.828369140625,167.21336364746094,155.22628784179688,83.47087097167969,321.4387512207031
2,4,F#min7,F#,6.0,91.89148712158203,141.47019958496094,91.4233627319336,334.7897644042969,267.6585388183594,124.5005111694336,423.0347900390625,87.27224731445312,37.88652420043945,149.1595458984375,80.07357025146484,162.09732055664062
3,5,B7,B,8.0,221.3448486328125,90.83367156982422,122.9183120727539,458.3722839355469,185.8613739013672,149.92417907714844,121.82669067382812,87.7750015258789,148.088134765625,128.37384033203125,429.1138916015625,211.70530700683594
4,6,Fmin7,F,10.0,238.9799346923828,130.6829376220703,437.9276428222656,339.9390563964844,227.7127685546875,788.583251953125,198.4458465576172,98.92290496826172,198.9921112060547,181.24400329589844,191.91583251953125,96.50326538085938
5,7,Bb7,Bb,12.0,95.5765609741211,192.5102996826172,1097.1683349609375,304.06231689453125,374.2466125488281,334.9313659667969,111.14038848876953,155.78854370117188,103.15841674804688,124.83646392822266,423.0859375,215.4736785888672
6,8,Emin7,E,14.0,335.2590637207031,1026.4071044921875,382.0242004394531,177.72882080078125,461.7984619140625,192.67112731933594,466.0946044921875,3146.330810546875,608.7406616210938,187.9085235595703,66.8895034790039,116.0662841796875
7,9,A7,A,16.0,159.83047485351562,730.483642578125,207.397705078125,324.20123291015625,282.36907958984375,146.86495971679688,328.8939514160156,99.93184661865234,48.40716552734375,50.25607681274414,172.78814697265625,65.94595336914062
8,10,Ebmin7,Eb,18.0,184.6815643310547,249.87120056152344,151.839599609375,435.0585021972656,137.45045471191406,114.63524627685547,409.9307556152344,150.94387817382812,153.75816345214844,62.91656494140625,194.69801330566406,76.0522689819336
9,11,Ab7,Ab,20.0,311.5428161621094,124.80154418945312,221.09596252441406,305.64581298828125,194.41062927246094,659.8667602539062,223.6229248046875,129.1365203857422,427.8517761230469,237.87049865722656,68.08058166503906,60.46169662475586
10,12,Dmin7,D,22.0,152.7831268310547,72.00914764404297,169.31973266601562,111.53207397460938,165.33682250976562,555.8286743164062,234.4353485107422,158.22145080566406,50.360591888427734,63.736297607421875,61.1246337890625,193.65614318847656
11,13,G7,G,24.0,84.8907241821289,90.04666900634766,427.9778137207031,185.39430236816406,366.6868591308594,326.04119873046875,318.084228515625,1687.248046875,297.6624450683594,41.75676727294922,61.99430465698242,293.32879638671875
