,Measure,OneMintJulep,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb,Eb,0.0,113.12137603759766,160.48313903808594,763.903076171875,3154.7392578125,625.0089721679688,230.20635986328125,285.6754455566406,1506.19091796875,294.8195495605469,723.7000122070312,4669.89697265625,803.1893920898438
1,2,Ab7,Ab,2.0,1817.7418212890625,487.0419006347656,669.9765014648438,3010.119140625,820.3136596679688,757.870361328125,3729.856689453125,1257.7408447265625,1671.5150146484375,379.8335876464844,571.8987426757812,450.1687927246094
2,3,Eb7,Eb,4.0,418.3974914550781,1929.7149658203125,1043.7723388671875,3330.815673828125,664.0147094726562,282.7697448730469,382.018310546875,1581.9901123046875,364.9530944824219,743.944580078125,4688.18994140625,863.5305786132812
3,4,Ab7,Ab,6.0,1835.8563232421875,512.7716674804688,673.4134521484375,3014.562744140625,820.731201171875,774.1688842773438,3832.029296875,1277.6016845703125,1672.5184326171875,379.6162109375,571.8479614257812,449.1498718261719
4,5,Eb7,Eb,8.0,418.47705078125,1930.2318115234375,1043.5242919921875,3330.705078125,663.9843139648438,282.6116943359375,381.9471435546875,1582.02978515625,364.9322509765625,743.9312133789062,4688.12353515625,863.6550903320312
5,6,Ab7,Ab,10.0,1878.06591796875,524.1787719726562,628.400390625,2510.81640625,754.8986206054688,897.0017700195312,3837.405029296875,1241.735595703125,1624.5452880859375,928.1908569335938,4583.48095703125,1047.037353515625
6,7,Eb7,Eb,12.0,418.4871826171875,1930.26611328125,1043.2086181640625,3330.164794921875,663.93896484375,282.6278381347656,381.964599609375,1581.97265625,364.9169616699219,744.064453125,4688.8525390625,863.704833984375
7,8,Ab7,Ab,14.0,1835.8837890625,512.679931640625,673.2730102539062,3014.464111328125,820.5564575195312,773.8778686523438,3831.855224609375,1277.108154296875,1672.2725830078125,379.8236389160156,574.7202758789062,449.4245300292969
8,9,Bb7,Bb,16.0,278.1827697753906,503.8854064941406,2126.3505859375,1254.34375,828.81884765625,3057.558349609375,859.0101928710938,385.7834167480469,1499.3787841796875,868.4708862304688,1961.6851806640625,377.8916015625
9,10,Abmaj7,Ab,18.0,1853.7135009765625,477.5071716308594,786.0033569335938,2673.658203125,805.824951171875,289.2203674316406,585.7675170898438,3411.666015625,1961.4879150390625,344.4888610839844,215.75303649902344,544.0472412109375
10,11,Eb7,Eb,20.0,123.36770629882812,567.00830078125,308.8265380859375,711.8009643554688,172.403076171875,82.9548110961914,99.91719818115234,487.2219543457031,113.8110122680664,112.00912475585938,562.8160400390625,145.45628356933594
11,11,Ab7,Ab,21.0,511.3944091796875,198.47557067871094,227.89349365234375,810.4677124023438,248.16302490234375,260.9706115722656,1115.385498046875,450.2614440917969,482.734130859375,113.84749603271484,90.7566146850586,135.49929809570312
12,12,Eb,Eb,22.0,137.39820861816406,83.27134704589844,313.6487121582031,1110.8109130859375,224.8708038330078,73.23888397216797,213.0998992919922,489.9311218261719,102.20636749267578,109.47245025634766,561.205322265625,142.75282287597656
13,12,Bb9,Bb,23.0,635.3799438476562,245.8784942626953,641.3430786132812,425.7928161621094,272.8227844238281,867.7871704101562,276.6948547363281,169.88258361816406,477.2997131347656,294.7940979003906,590.5067138671875,202.3896484375
14,13,Eb,Eb,24.0,124.66693878173828,77.71639251708984,319.84759521484375,912.554931640625,216.11643981933594,264.3974914550781,132.04217529296875,481.5155029296875,120.22193145751953,120.78482055664062,579.5631713867188,138.53628540039062
15,13,Ab,Ab,25.0,467.8948059082031,125.03606414794922,198.2338104248047,817.9085083007812,250.4096221923828,61.29022216796875,67.43515014648438,258.8724060058594,456.5107116699219,108.02493286132812,88.7491683959961,118.25212860107422
16,14,Eb,Eb,26.0,401.7786865234375,237.89552307128906,921.8952026367188,3616.559814453125,687.3390502929688,231.1349334716797,303.1446228027344,1588.5499267578125,318.5132141113281,350.513671875,1969.18798828125,457.9951171875
17,15,G7,G,28.0,1305.274658203125,1004.60302734375,4087.343994140625,2206.457763671875,2372.989501953125,11026.4794921875,5199.85400390625,17347.578125,3336.166015625,3447.595458984375,1623.9638671875,5676.900390625
18,17,Gb7,Gb,32.0,1326.069580078125,6312.16064453125,1398.7855224609375,2084.2509765625,10920.8623046875,4905.19384765625,6128.19970703125,1387.0263671875,3313.2861328125,2728.650390625,5990.794921875,1212.6678466796875
19,19,F7,F,36.0,6624.0390625,1482.88525390625,2027.4661865234375,9882.4169921875,4971.90380859375,5571.927734375,1406.9346923828125,3378.544189453125,1928.6224365234375,4691.23974609375,1095.7568359375,1366.3387451171875
20,21,Bb7,Bb,40.0,237.27317810058594,173.87550354003906,610.3030395507812,187.2646484375,245.4899444580078,859.1983032226562,259.80816650390625,195.82664489746094,501.6010437011719,364.0970764160156,1026.2081298828125,195.6807403564453
21,21,Cmin7,C,41.0,215.7664337158203,73.8531265258789,142.1602325439453,382.1519470214844,122.60626983642578,290.8388366699219,83.9939193725586,184.81065368652344,62.30322265625,212.191162109375,1386.8319091796875,240.3892059326172
22,22,Bb7/D,Bb,42.0,422.7779235839844,526.3592529296875,2038.8948974609375,674.3035888671875,863.4860229492188,4247.00537109375,990.2604370117188,342.846435546875,1433.6380615234375,746.8971557617188,1791.927734375,324.0971374511719
23,23,Eb,Eb,44.0,143.45140075683594,168.7408447265625,757.0516967773438,3137.130615234375,640.6621704101562,306.1022033691406,297.21331787109375,1505.56640625,308.9651794433594,730.0652465820312,4636.1240234375,808.7669067382812
24,24,Ab7,Ab,46.0,1828.2784423828125,496.7737731933594,677.6234130859375,3003.939453125,818.4000854492188,779.1390991210938,3735.927734375,1267.7122802734375,1691.3626708984375,385.1379699707031,574.1913452148438,451.5397033691406
25,25,Eb,Eb,48.0,163.05093383789062,161.5376739501953,785.8224487304688,3311.796875,653.0867309570312,251.1919403076172,370.4116516113281,1555.1531982421875,312.1591796875,723.9004516601562,4654.72607421875,819.9769897460938
26,26,Ab7,Ab,50.0,1817.1640625,502.13623046875,686.5851440429688,2986.692138671875,817.562744140625,800.2501831054688,3814.528564453125,1272.894287109375,1696.2257080078125,402.5589294433594,615.37060546875,454.4305114746094
27,27,Eb7,Eb,52.0,418.3152770996094,1929.2156982421875,1043.3734130859375,3332.0986328125,664.5712280273438,283.47625732421875,381.6579284667969,1581.55908203125,365.0916748046875,741.3115234375,4673.22509765625,860.927001953125
28,28,Ab7,Ab,54.0,1835.333984375,512.1286010742188,671.5631713867188,3014.391845703125,821.2587280273438,777.298583984375,3832.6162109375,1277.7349853515625,1674.8260498046875,380.2276306152344,575.6713256835938,449.397705078125
29,29,Eb7,Eb,56.0,418.3833312988281,1930.5040283203125,1043.24609375,3330.072509765625,663.863525390625,282.34405517578125,381.7243957519531,1582.3671875,365.1661682128906,740.9053344726562,4668.64599609375,860.0548706054688
30,30,Ab7,Ab,58.0,1835.8408203125,512.6715698242188,673.862548828125,3014.741455078125,820.6953735351562,774.7861938476562,3832.130859375,1277.0701904296875,1672.69091796875,380.0769958496094,575.7510375976562,449.5016174316406
31,31,Bb7,Bb,60.0,308.1612854003906,500.61083984375,2073.552734375,604.3031616210938,751.694580078125,3204.160400390625,872.563720703125,316.9225158691406,1488.3194580078125,940.0023803710938,1976.3369140625,372.5148010253906
32,32,Abmaj7,Ab,62.0,1853.650390625,477.4825744628906,785.997802734375,2673.693603515625,805.8185424804688,289.2023620605469,585.7545776367188,3411.6796875,1961.5130615234375,344.4989318847656,215.7627410888672,544.046630859375
