,Measure,Ornithology,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Gmaj7,G,2.0,339.5782165527344,291.1646423339844,997.93408203125,412.4288330078125,131.58982849121094,424.3186340332031,2166.246337890625,1323.9215087890625,242.20726013183594,329.25689697265625,351.9899597167969,1326.8602294921875
1,3,Gmaj7,G,4.0,154.6688690185547,431.4945068359375,2407.412109375,478.7147521972656,351.1815490722656,1352.3177490234375,729.04833984375,1940.2119140625,525.7694091796875,854.2156372070312,975.699462890625,271.470947265625
2,4,Gmin7,G,6.0,96.87432861328125,32.36379623413086,49.21132278442383,55.42363357543945,221.1284637451172,345.4322509765625,97.7904052734375,71.3545913696289,25.89134979248047,56.483856201171875,68.44686889648438,42.494380950927734
3,4,C7,C,7.0,569.5064086914062,145.82566833496094,151.3961944580078,250.195068359375,1158.443603515625,549.1661987304688,160.5895538330078,550.1480712890625,186.39695739746094,456.9473876953125,1359.3240966796875,380.6364440917969
4,5,Gmin7,G,8.0,157.2400665283203,65.69184875488281,200.11708068847656,83.97899627685547,248.54693603515625,142.10545349121094,54.63932800292969,70.38790130615234,39.097354888916016,122.27005004882812,75.0400619506836,57.42361068725586
5,5,C7,C,9.0,204.1311492919922,37.38273620605469,18.37528419494629,51.2752799987793,313.04132080078125,374.7966003417969,68.84941864013672,31.50506019592285,62.119197845458984,244.5109100341797,130.67210388183594,62.81748962402344
6,6,Fmaj7,F,10.0,997.968505859375,248.930908203125,83.65966796875,110.99942016601562,590.8157348632812,2389.555419921875,395.928955078125,140.64218139648438,249.24334716796875,1104.571533203125,199.3798065185547,184.4137420654297
7,7,Fmaj,F,12.0,950.9080200195312,247.3935089111328,317.7753601074219,1318.9345703125,637.228759765625,773.6316528320312,200.8372344970703,719.9230346679688,3574.6748046875,635.1250610351562,113.8100357055664,220.13043212890625
8,8,Fmin7,F,14.0,2510.65185546875,568.814453125,972.536376953125,431.3787536621094,450.838623046875,1774.60009765625,443.4443359375,278.99298095703125,712.2526245117188,471.5277099609375,965.2393188476562,523.489013671875
9,9,Bb7,Bb,16.0,283.0262145996094,1346.1868896484375,926.5916137695312,1553.94580078125,371.5434265136719,288.33551025390625,202.3072052001953,699.6708374023438,369.454345703125,328.2225646972656,870.6250610351562,235.7137908935547
10,10,Eb7,Eb,18.0,815.769775390625,261.30194091796875,313.4907531738281,482.3053283691406,1419.7913818359375,337.3954162597656,539.7875366210938,3578.118408203125,1043.167724609375,2347.520263671875,1125.60400390625,367.4324951171875
11,11,Amin7,A,20.0,105.84252166748047,82.03449249267578,359.2306823730469,89.01905059814453,78.72899627685547,113.51433563232422,215.2060546875,63.320220947265625,64.11345672607422,251.08656311035156,82.83680725097656,34.985782623291016
12,11,D7,D,21.0,57.86976623535156,82.2869873046875,298.1900634765625,55.33039474487305,76.96550750732422,279.99407958984375,72.85514068603516,81.90160369873047,47.77322006225586,116.9968490600586,487.2025146484375,85.341064453125
13,12,Gmin7,G,22.0,966.89599609375,555.5070190429688,2126.51123046875,554.8206787109375,819.4794311523438,2011.7108154296875,1039.1407470703125,314.02337646484375,344.950927734375,962.5822143554688,324.0942687988281,260.9906005859375
14,13,D7(#9),D,24.0,307.0466003417969,404.0704345703125,1502.0093994140625,464.3390808105469,213.00050354003906,493.656005859375,1832.93701171875,336.0870361328125,152.33804321289062,788.8922729492188,368.1143493652344,819.6864624023438
15,14,Bmin7,B,26.0,269.2403259277344,222.43934631347656,1253.2554931640625,660.0385131835938,1547.66845703125,348.4230651855469,571.67822265625,2987.225830078125,2081.017333984375,768.0765991210938,243.7566680908203,952.006591796875
16,15,E7,E,28.0,1421.6318359375,310.65765380859375,204.7573699951172,359.8012390136719,1515.02783203125,295.41961669921875,193.1659698486328,884.4180297851562,420.3966369628906,802.199951171875,201.8183135986328,389.2657775878906
17,16,Amin7,A,30.0,1056.3433837890625,481.6719665527344,876.8161010742188,251.38282775878906,333.2757263183594,710.6094360351562,1740.72607421875,501.6461486816406,277.9382019042969,1012.31689453125,245.280029296875,204.3612060546875
18,17,D7,D,32.0,387.6761474609375,560.1911010742188,2977.300537109375,687.614501953125,498.1637878417969,1709.62548828125,763.39794921875,1083.403076171875,562.9218139648438,2259.757080078125,541.009521484375,900.3893432617188
19,18,G7,G,34.0,976.4229125976562,991.5414428710938,4902.5732421875,855.9807739257812,188.0092315673828,494.3282470703125,1901.6812744140625,357.4844665527344,160.84878540039062,693.8683471679688,203.511474609375,343.6938781738281
20,19,D7,D,36.0,324.8816833496094,343.5389709472656,1131.8023681640625,420.8255615234375,163.59547424316406,567.31298828125,1978.70947265625,356.1650695800781,157.447265625,1205.842041015625,4176.419921875,1814.5633544921875
21,20,Bmin7,B,38.0,76.09285736083984,145.7266387939453,56.15890884399414,82.98124694824219,134.90382385253906,295.9641418457031,68.59336853027344,182.4086456298828,1056.4085693359375,350.99072265625,357.0357971191406,81.27910614013672
22,20,Bbmin7,Bb,39.0,380.7112731933594,137.37106323242188,222.40309143066406,916.4205932617188,486.4955139160156,334.8287353515625,1136.0189208984375,559.7610473632812,513.6516723632812,159.001953125,179.9178466796875,546.0413818359375
23,21,Amin7,A,40.0,58.760040283203125,45.27042770385742,92.38446044921875,225.6258087158203,82.28779602050781,88.62964630126953,288.7960510253906,165.89952087402344,87.641357421875,34.94652557373047,53.71896743774414,144.09898376464844
24,21,Abmin7,Ab,41.0,15.02584171295166,19.556835174560547,79.16866302490234,42.492454528808594,18.368091583251953,16.837942123413086,25.873476028442383,87.13504028320312,16.809911727905273,6.716763973236084,10.791343688964844,44.7869758605957
