,Measure,Outro_Transcription,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C,C,0.0,526.2123413085938,141.32948303222656,57.5727653503418,92.98495483398438,338.86383056640625,67.49884796142578,49.26205062866211,156.218017578125,40.056705474853516,21.117692947387695,35.668495178222656,186.3218994140625
1,1,C#,C#,0.5,234.7593231201172,62.65077209472656,13.910518646240234,36.7386360168457,136.10076904296875,30.12823486328125,50.4490966796875,67.34532165527344,12.1962890625,6.923006534576416,17.830886840820312,90.6714859008789
2,1,D,D,1.0,134.5458984375,154.70140075683594,152.75289916992188,65.86543273925781,119.77576446533203,206.765869140625,71.10394287109375,59.35795211791992,57.66182327270508,31.79268455505371,13.916016578674316,27.73173713684082
3,1,E,E,1.5,80.60888671875,64.20185089111328,147.3074188232422,45.06046676635742,53.210506439208984,121.26193237304688,184.50526428222656,73.96636962890625,39.98979568481445,43.871734619140625,11.290366172790527,18.797348022460938
4,2,F,F,2.0,61.1116943359375,37.957786560058594,30.55440330505371,122.67138671875,428.5848083496094,483.3554992675781,155.28359985351562,29.89769172668457,52.42706298828125,61.60066604614258,28.831979751586914,94.197509765625
5,2,F,F,2.333333333333333,39.50473403930664,21.485898971557617,6.903636932373047,21.725088119506836,190.793701171875,288.6074523925781,44.24895095825195,7.978184223175049,12.614395141601562,23.906097412109375,9.894669532775879,29.967012405395508
6,2,E,E,2.6666666666666665,83.4190444946289,31.49178123474121,13.930408477783203,42.6492919921875,203.4812469482422,386.0568542480469,114.63614654541016,23.996442794799805,19.616878509521484,37.60316467285156,13.533551216125488,30.26407814025879
7,2,Eb,Eb,3.0,53.23675537109375,71.59991455078125,112.07402801513672,265.6515808105469,180.1775665283203,141.33738708496094,134.90309143066406,76.8981704711914,56.76975631713867,59.82985305786133,101.3863525390625,99.55014038085938
8,2,D,D,3.333333333333333,49.187564849853516,88.6497802734375,81.25019836425781,171.71543884277344,107.26862335205078,75.35974884033203,83.00305938720703,37.38508987426758,37.318756103515625,23.9466495513916,32.6407470703125,33.6143684387207
9,2,Db,Db,3.6666666666666665,63.365997314453125,68.23208618164062,47.54800796508789,60.49957275390625,95.31905364990234,101.97640228271484,42.90266036987305,29.86501121520996,24.008066177368164,18.565059661865234,16.32508659362793,23.685020446777344
10,3,C,C,4.0,583.2913818359375,188.79393005371094,89.4813232421875,182.68438720703125,369.3316955566406,180.29248046875,132.18785095214844,175.9185333251953,61.59889602661133,39.9397087097168,48.34172058105469,218.25071716308594
11,3,C#,C#,4.5,206.94996643066406,151.58741760253906,83.5555419921875,65.53592681884766,195.8031005859375,302.1372985839844,88.3687973022461,119.40560913085938,152.4053955078125,32.65800476074219,21.35329246520996,67.54463195800781
12,3,D,D,5.0,144.36866760253906,369.3836364746094,754.776123046875,159.74417114257812,121.51522064208984,263.4184265136719,390.3197021484375,130.85696411132812,82.95684051513672,155.7835693359375,42.243309020996094,45.60475540161133
13,3,E,E,5.5,76.3327865600586,149.2187042236328,175.94842529296875,108.18927764892578,236.77015686035156,281.1861572265625,148.4479217529297,43.97780227661133,115.79251861572266,58.05329895019531,33.98249053955078,117.58666229248047
14,4,F,F,6.0,1566.5421142578125,587.454345703125,384.858642578125,554.7319946289062,2472.016357421875,4904.16845703125,1252.4912109375,304.9339294433594,548.7847900390625,1383.2266845703125,341.9617004394531,750.6422729492188
15,5,C,C,8.0,491.3199768066406,133.9489288330078,50.72468566894531,95.1177749633789,346.2734375,91.4245376586914,39.40382766723633,154.14308166503906,35.46611785888672,21.301490783691406,32.618831634521484,156.15292358398438
16,5,C#,C#,8.5,196.404052734375,149.1418914794922,58.74427795410156,50.97724914550781,201.1491241455078,305.6628723144531,82.85669708251953,97.7713394165039,133.86668395996094,27.95839500427246,18.23014259338379,59.08803176879883
17,5,D,D,9.0,83.72431182861328,157.11062622070312,199.69622802734375,60.91249084472656,105.6435317993164,230.51502990722656,314.2257385253906,111.41861724853516,67.3224105834961,127.0023422241211,28.194643020629883,24.245962142944336
18,5,E,E,9.5,62.11750793457031,100.0250015258789,239.81463623046875,115.14031219482422,254.7313690185547,114.79653930664062,131.506591796875,48.263980865478516,117.69344329833984,59.82417297363281,35.486289978027344,122.037841796875
19,6,F,F,10.0,62.06611251831055,37.720088958740234,53.83070755004883,59.240386962890625,320.8620300292969,638.9172973632812,165.2280731201172,20.275175094604492,28.661514282226562,64.06301879882812,31.491552352905273,71.6048355102539
20,6,E,E,10.4,47.65523147583008,23.80138397216797,32.9219856262207,26.044431686401367,137.75657653808594,315.4735412597656,47.400970458984375,7.711668491363525,16.547155380249023,34.91636276245117,8.555327415466309,22.255094528198242
21,6,Eb,Eb,10.8,22.635690689086914,12.770217895507812,15.759493827819824,28.44757843017578,139.9187469482422,215.27606201171875,64.4359359741211,21.761484146118164,35.38620376586914,17.346776962280273,12.900141716003418,63.637935638427734
