,Measure,Pass the Peas,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,D9,D,2.0,1924.4056396484375,667.1294555664062,1473.7891845703125,934.2219848632812,3256.712890625,1329.7509765625,1842.2669677734375,643.0494995117188,750.7730102539062,1974.65380859375,499.0157775878906,521.7577514648438
1,3,D9,D,4.0,1936.0867919921875,674.0567016601562,1494.4710693359375,938.8330688476562,3248.3154296875,1335.0972900390625,1862.3736572265625,639.3070678710938,758.789794921875,2025.1427001953125,505.256591796875,525.6802368164062
2,4,D9,D,6.0,1936.0760498046875,674.0235595703125,1494.2232666015625,938.8024291992188,3248.113525390625,1335.0604248046875,1862.416015625,639.2400512695312,758.7733764648438,2025.0208740234375,505.248046875,525.69873046875
3,5,D9,D,8.0,1409.7371826171875,630.5861206054688,1728.7720947265625,818.849853515625,2376.94140625,1029.3970947265625,1366.36279296875,523.9089965820312,604.0381469726562,1508.9049072265625,374.4488525390625,385.1708679199219
4,6,G7,G,10.0,544.0371704101562,590.0637817382812,2763.833251953125,879.258544921875,1131.0767822265625,4594.40283203125,1424.70361328125,1747.1343994140625,423.6070861816406,390.7161865234375,463.18212890625,1934.0084228515625
5,7,G7,G,12.0,539.0157470703125,571.9075927734375,2671.573974609375,868.9795532226562,995.4945678710938,4523.7705078125,1528.63232421875,1748.4852294921875,408.6685791015625,352.8949279785156,461.7434997558594,1961.7679443359375
6,8,D9,D,14.0,1953.6041259765625,686.648193359375,1721.5941162109375,953.5573120117188,3275.578369140625,1442.0496826171875,1866.7552490234375,652.7726440429688,765.9204711914062,2069.606201171875,522.1937866210938,610.4799194335938
7,9,D9,D,16.0,1925.9744873046875,707.35693359375,1671.4107666015625,966.8609008789062,3250.563720703125,1356.744873046875,1858.9586181640625,633.9819946289062,761.7203979492188,2033.2083740234375,506.8882751464844,517.7078857421875
8,10,A7,A,18.0,419.3523254394531,1720.0281982421875,453.2008056640625,650.3671875,2825.860595703125,816.2633666992188,389.5209045410156,1675.2017822265625,995.2499389648438,2160.755126953125,475.67529296875,288.6110534667969
9,11,G7,G,20.0,469.1040954589844,383.1265563964844,1093.0152587890625,664.6498413085938,820.9873657226562,3690.3505859375,1438.34521484375,2337.15087890625,532.1361694335938,317.53045654296875,433.3540344238281,1891.1226806640625
10,12,D9,D,22.0,1971.6917724609375,743.8267211914062,1695.1019287109375,948.6337280273438,3300.200927734375,1510.0780029296875,1882.9949951171875,666.6856689453125,758.855712890625,2010.5465087890625,515.0001220703125,610.6679077148438
11,13,D9,D,24.0,5470.30810546875,1827.8936767578125,3949.4873046875,2610.989501953125,9869.1904296875,4144.25732421875,5685.421875,3424.199462890625,2668.960205078125,7353.85009765625,1588.1697998046875,1445.296875
12,15,A7,A,28.0,1940.1690673828125,8992.9208984375,1868.63720703125,2985.885498046875,14932.84765625,3535.638916015625,1494.3304443359375,7703.44091796875,3842.408935546875,6585.763671875,1216.7998046875,1112.6732177734375
13,18,D9,D,34.0,1924.3614501953125,664.1699829101562,1472.1885986328125,937.0151977539062,3258.716064453125,1333.3936767578125,1840.8658447265625,641.8624877929688,752.995361328125,1975.62744140625,498.6929016113281,518.5310668945312
14,19,D9,D,36.0,1934.8316650390625,660.8866577148438,1487.0718994140625,938.6123657226562,3248.486572265625,1337.4066162109375,1862.3682861328125,637.47314453125,759.0588989257812,2026.2498779296875,505.4666442871094,525.1604614257812
15,20,D9,D,38.0,1935.9583740234375,670.9984741210938,1493.9996337890625,938.7548217773438,3248.282958984375,1335.3927001953125,1862.7047119140625,639.2404174804688,758.7384643554688,2025.0460205078125,505.2241516113281,526.3295288085938
16,21,D9,D,40.0,7985.88525390625,2604.187744140625,5043.7451171875,3686.884033203125,14656.9912109375,5907.45263671875,8432.6689453125,5920.37158203125,4443.7763671875,13814.8349609375,2735.329345703125,2077.750244140625
