,Measure,Pink Panther,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Emin7,E,2.0,25.005407333374023,25.71818733215332,132.063232421875,204.2161865234375,1056.03076171875,135.0182647705078,23.166419982910156,124.98819732666016,27.87635612487793,13.984841346740723,27.8238582611084,171.1538848876953
1,4,Emin7,E,6.0,25.032499313354492,25.567110061645508,130.98431396484375,204.0633544921875,1056.141845703125,135.0592803955078,23.177932739257812,125.06053924560547,27.909996032714844,13.97567367553711,27.82080078125,171.1390838623047
2,6,Emin7,E,10.0,46.354248046875,59.997676849365234,336.0439147949219,470.0911865234375,1307.1622314453125,227.551025390625,713.503173828125,4530.03466796875,702.8729858398438,42.26203155517578,97.62247467041016,236.17919921875
3,8,C7(#9),C,14.0,385.1106872558594,447.0115661621094,2462.299072265625,733.3120727539062,1889.93896484375,370.2146911621094,630.3351440429688,3645.168701171875,1385.8648681640625,4150.68310546875,947.5355834960938,293.8638610839844
4,10,Emin7,E,18.0,52.756534576416016,62.080352783203125,353.7715148925781,602.9225463867188,1327.372314453125,234.21270751953125,718.7875366210938,4548.88427734375,706.4161987304688,45.75376510620117,119.86640167236328,244.03228759765625
5,12,F7(#9),F,22.0,397.6852111816406,115.3802719116211,289.3512878417969,1178.7603759765625,352.4102783203125,443.4234313964844,73.29954528808594,64.7611312866211,143.13877868652344,94.09198760986328,28.60565757751465,84.58819580078125
6,14,Emin7,E,26.0,55.54417037963867,63.26628112792969,358.155029296875,641.6802368164062,1349.96435546875,248.30897521972656,719.6559448242188,4548.6787109375,712.4912109375,46.40555953979492,110.49685668945312,242.38604736328125
7,16,C7(#9),C,30.0,733.010009765625,1093.3458251953125,6572.97412109375,1664.22314453125,3729.201171875,719.647705078125,1152.9488525390625,6392.98583984375,2441.853515625,6854.98828125,1588.0164794921875,568.2137451171875
8,19,G,G,36.0,272.7261657714844,647.2185668945312,3803.764404296875,870.866455078125,1751.9429931640625,778.5048217773438,1020.52294921875,5379.20263671875,4490.76171875,25159.115234375,10992.6396484375,1653.59765625
9,22,Gmin7,G,42.0,55.611934661865234,149.79005432128906,530.6372680664062,119.48828125,470.1461486816406,1513.5687255859375,294.633544921875,127.3525161743164,915.9497680664062,6941.47607421875,6922.13330078125,914.841796875
10,24,Eb7,Eb,46.0,165.2036895751953,935.2224731445312,592.8027954101562,2268.878662109375,438.8504638671875,372.884765625,139.85211181640625,346.5495300292969,416.0211181640625,892.1476440429688,5652.998046875,871.6622924804688
11,26,Gmin7,G,50.0,168.28163146972656,554.3463745117188,639.321044921875,448.7558288574219,327.8266296386719,1504.9476318359375,315.4217529296875,214.8856964111328,308.02099609375,989.75927734375,5979.49169921875,921.866943359375
12,28,Ab7,Ab,54.0,300.2475280761719,87.0395278930664,268.7068176269531,1177.6806640625,195.9203338623047,156.47593688964844,533.8153076171875,130.85726928710938,48.10721206665039,24.095869064331055,34.10356521606445,70.26126861572266
13,30,Gmin7,G,58.0,867.8368530273438,810.3418579101562,985.8707885742188,314.6429443359375,373.4074401855469,1711.9281005859375,1208.01318359375,6438.23486328125,1349.0078125,1183.2020263671875,7253.68505859375,1231.8814697265625
14,32,Eb7,Eb,62.0,1191.9696044921875,449.9613342285156,487.3191833496094,1272.4383544921875,301.7931213378906,343.1545104980469,510.817626953125,3127.035400390625,577.4623413085938,913.5734252929688,6092.076171875,1079.0347900390625
15,34,Gmin7,G,66.0,9.0724515914917,54.692745208740234,299.5939025878906,74.32420349121094,74.1413803100586,425.9382629394531,88.33448028564453,41.423831939697266,10.71950912475586,14.919979095458984,25.740524291992188,10.705219268798828
16,35,Eb7,Eb,68.0,430.58349609375,170.29638671875,344.0453186035156,204.4165496826172,71.33334350585938,128.4517059326172,612.1514282226562,133.86973571777344,114.90763092041016,643.3446655273438,137.31285095214844,78.67146301269531
17,35,D7,D,69.0,62.22037887573242,73.136962890625,206.42535400390625,70.24359130859375,135.34974670410156,591.2767333984375,281.3790588378906,721.1952514648438,178.3153533935547,246.4735870361328,314.7589416503906,93.00652313232422
18,36,Gmin7,G,70.0,17.6594181060791,33.22633361816406,168.22523498535156,73.08594512939453,88.63668060302734,446.3266906738281,147.8183135986328,49.17300796508789,11.340096473693848,23.457406997680664,20.926332473754883,14.571113586425781
19,37,Emin7,E,72.0,15.877022743225098,23.241554260253906,109.87348175048828,103.42706298828125,402.9516906738281,112.1523208618164,39.659759521484375,53.61014175415039,12.705485343933105,16.358173370361328,20.682924270629883,61.56960678100586
20,38,C7,C,74.0,0.3960573971271515,0.12859469652175903,0.21979212760925293,0.8870989680290222,3.8758468627929688,0.7439868450164795,0.4933450520038605,1.5451068878173828,0.5924873352050781,0.4852520227432251,2.5398342609405518,0.7528376579284668
