,Measure,PutItWhere,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,106365.5859375,19070.2421875,9600.5400390625,39858.88671875,130431.4453125,36769.76953125,12897.88671875,59010.02734375,16485.1171875,28705.806640625,173012.203125,46626.0625
1,16,C7,C,30.0,1036.47021484375,278.6963806152344,341.9861755371094,555.2130737304688,1746.9539794921875,333.77618408203125,160.98023986816406,695.4048461914062,196.2057342529297,170.6289520263672,781.1737670898438,428.5550231933594
2,17,D9,D,32.0,4272.21923828125,873.0565795898438,623.3746337890625,778.525390625,3251.8212890625,995.0673828125,1804.8271484375,660.6388549804688,710.4483032226562,1917.0841064453125,502.9091491699219,927.5690307617188
3,18,F9,F,34.0,2547.957275390625,630.9317016601562,1009.6500854492188,3913.411865234375,1955.7686767578125,1539.3043212890625,556.7678833007812,1701.9444580078125,713.0403442382812,1712.5511474609375,544.5415649414062,704.9375
4,19,C7,C,36.0,4290.44677734375,721.1781616210938,279.21380615234375,885.4868774414062,3968.019287109375,727.6377563476562,307.6477355957031,1541.28955078125,417.670654296875,352.7572326660156,1678.8729248046875,1210.3016357421875
5,20,C7,C,38.0,1202.098388671875,263.31854248046875,286.7057800292969,325.2442932128906,1137.6832275390625,222.2515106201172,107.94721221923828,460.7086181640625,132.54071044921875,118.80243682861328,520.6505737304688,347.3043518066406
6,20,E7,E,39.0,364.2872314453125,415.4485778808594,2433.188720703125,625.314453125,958.2979125976562,196.9220428466797,109.1070327758789,147.8843536376953,478.6190490722656,176.10528564453125,145.10752868652344,573.7719116210938
7,21,D9,D,40.0,4370.0361328125,899.324951171875,719.3054809570312,772.7127075195312,3179.216552734375,973.9857788085938,1795.7515869140625,654.475830078125,760.49560546875,1862.4114990234375,495.890625,1014.8486328125
8,22,F9,F,42.0,2546.762451171875,632.5578002929688,1014.5641479492188,3930.8779296875,1961.80810546875,1535.2550048828125,556.2703247070312,1699.3739013671875,720.7024536132812,1706.02490234375,494.704345703125,697.1198120117188
9,23,C7,C,44.0,4292.96142578125,741.672119140625,360.0345764160156,908.0567016601562,3965.864501953125,728.3781127929688,308.9780578613281,1543.0321044921875,418.7710876464844,356.2434997558594,1693.880859375,1208.9539794921875
10,24,C7,C,46.0,3121.710205078125,599.5718383789062,324.8821716308594,847.827392578125,3895.7216796875,694.512939453125,319.7342834472656,1763.1783447265625,541.036376953125,788.4138793945312,1767.90234375,972.3369750976562
11,25,C7,C,48.0,1978.7430419921875,406.2333068847656,271.2882385253906,787.8466796875,3795.739501953125,668.7601928710938,293.2104187011719,1499.72802734375,407.6766357421875,344.9974060058594,1711.99072265625,803.11279296875
12,26,Amin7,A,50.0,1788.4627685546875,589.555908203125,274.4231262207031,735.7233276367188,3185.662353515625,628.2586059570312,361.9820861816406,1683.13818359375,1296.6142578125,5526.7265625,950.6401977539062,608.3695678710938
13,27,C7/G,C,52.0,8128.56982421875,1484.451171875,728.3137817382812,874.8314819335938,3970.29296875,1070.12109375,526.6975708007812,1964.1878662109375,563.7379760742188,577.372314453125,1979.7879638671875,1589.689453125
14,28,F7,F,54.0,3994.995361328125,1314.35009765625,4863.83447265625,3993.135498046875,1947.3929443359375,1518.4141845703125,342.3583679199219,650.2962036132812,620.5228881835938,1830.9281005859375,511.6359558105469,885.171630859375
15,29,D7,D,56.0,3013.5576171875,986.71875,1885.2789306640625,548.2965087890625,514.7642211914062,825.0076293945312,3813.673828125,831.3391723632812,676.1950073242188,4022.884521484375,713.686767578125,489.7802429199219
16,30,C7,C,58.0,1528.8922119140625,348.0118713378906,313.2551574707031,818.882568359375,3873.4013671875,699.802734375,335.29864501953125,1478.7484130859375,403.5998229980469,352.9956359863281,1704.1195068359375,727.9984741210938
17,31,F7,F,60.0,3792.410400390625,842.5336303710938,1261.9134521484375,6344.71630859375,3398.085693359375,2705.293701171875,599.0956420898438,702.8594360351562,890.6273803710938,2931.197998046875,721.32568359375,852.5615234375
