,Measure,Rain Dance,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,177.40228271484375,313.2308654785156,1058.9464111328125,288.4632263183594,642.9236450195312,3008.175537109375,1044.4984130859375,1647.1524658203125,395.2286376953125,718.6580200195312,1928.3031005859375,366.0618591308594
1,2,Fmin11,F,2.0,605.2473754882812,177.39735412597656,287.5640869140625,797.175048828125,466.3986511230469,489.0799560546875,177.6768798828125,568.7621459960938,539.2608642578125,216.8737335205078,579.8450317382812,288.4665222167969
2,2,Bb13,Bb,3.0,114.15899658203125,29.00630760192871,51.40679931640625,196.29010009765625,48.71016311645508,73.0787124633789,22.49903678894043,52.37825393676758,16.123043060302734,10.247808456420898,34.299556732177734,28.944181442260742
3,3,Ebmaj9,Eb,4.0,1060.3902587890625,622.3890991210938,2046.1607666015625,2847.0947265625,1130.7032470703125,2586.559326171875,1318.3436279296875,2855.6396484375,802.98291015625,818.150634765625,1727.80859375,501.2498779296875
4,4,Amin7,A,6.0,528.7349243164062,132.23094177246094,101.3796157836914,234.85491943359375,905.8828735351562,227.3830108642578,104.46883392333984,481.5322570800781,258.1545104980469,532.507568359375,144.1767120361328,184.2787628173828
5,4,D7,D,7.0,704.55419921875,304.52850341796875,586.4032592773438,151.58738708496094,242.4054718017578,327.6741943359375,1125.9383544921875,262.5505676269531,97.9566421508789,425.8681640625,95.4197006225586,130.06683349609375
6,5,Gmin7,G,8.0,330.78125,361.0988464355469,1230.6990966796875,374.5796813964844,753.2470703125,3233.7236328125,1495.1083984375,1729.55078125,434.2401123046875,939.3999633789062,1979.16064453125,392.9896545410156
7,6,Eb9,Eb,10.0,153.40994262695312,559.2670288085938,336.2515869140625,371.3525390625,272.0366516113281,888.8474731445312,299.5811767578125,500.8736877441406,189.54234313964844,225.87921142578125,563.1541748046875,135.4954071044922
8,6,D7,D,11.0,529.4530029296875,351.6455993652344,613.2334594726562,196.9302520751953,137.94509887695312,539.1410522460938,1207.106689453125,233.033447265625,91.04300689697266,427.4770202636719,120.64307403564453,102.01500701904297
9,7,Gmin7,G,12.0,354.5401611328125,397.8673400878906,1265.4881591796875,390.3727722167969,662.6327514648438,3170.768310546875,1442.5660400390625,1698.4486083984375,428.2676086425781,903.7413940429688,2010.6318359375,400.9814758300781
