,Measure,Recordame,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,1756.2142333984375,530.5165405273438,346.8471984863281,914.2507934570312,3372.620849609375,651.8551635742188,389.6826477050781,1826.4765625,2318.04443359375,9374.9267578125,1638.4759521484375,657.0322875976562
1,2,Dmaj7,D,2.0,144.40292358398438,169.22000122070312,291.4277648925781,1054.3878173828125,5412.111328125,907.439453125,395.4354553222656,224.7740936279297,1043.1923828125,4340.46240234375,736.2284545898438,353.067626953125
2,3,Cmaj7,C,4.0,1744.5582275390625,547.0964965820312,412.4503479003906,1017.6702270507812,3724.068115234375,715.757080078125,465.555908203125,1885.2247314453125,2370.951171875,9558.31640625,1663.5599365234375,665.5160522460938
3,4,Dmaj7,D,6.0,327.29071044921875,210.15643310546875,307.6331481933594,1056.7188720703125,5414.61572265625,912.71484375,427.49755859375,233.1483917236328,1053.8624267578125,4381.51220703125,712.326904296875,150.3413543701172
4,5,Cmaj7,C,8.0,1745.8648681640625,547.3593139648438,412.4610900878906,1017.6533203125,3724.328369140625,715.7423706054688,465.3505859375,1886.0308837890625,2371.28125,9558.7900390625,1662.57421875,658.4650268554688
5,6,Dmaj,D,10.0,115.63790893554688,135.46490478515625,148.02549743652344,516.00439453125,2427.093017578125,460.679931640625,388.8605041503906,2143.2099609375,619.2973022460938,848.0299682617188,197.60968017578125,213.3623504638672
6,7,Fmaj7,F,12.0,2194.857421875,486.3671875,447.2187194824219,962.893798828125,4576.5048828125,5306.34765625,1098.5809326171875,719.3976440429688,774.5724487304688,2063.77197265625,499.0130310058594,661.9927978515625
7,8,Dmin7,D,14.0,426.238037109375,417.5515441894531,2314.232666015625,3462.596435546875,1141.3367919921875,2586.587646484375,770.7056274414062,1687.462890625,453.8316955566406,1090.8477783203125,5304.06201171875,1014.0664672851562
8,9,Fmaj7,F,16.0,284.1727294921875,103.8285140991211,63.56919860839844,166.88270568847656,483.3014831542969,103.19322967529297,57.18374252319336,240.177490234375,196.59165954589844,618.4957275390625,149.74205017089844,118.25391387939453
9,9,Dmin7,D,16.666666666666668,111.74527740478516,54.06413650512695,116.5656967163086,78.75511932373047,161.51515197753906,52.50981140136719,97.54364013671875,416.2701416015625,98.5021743774414,72.32960510253906,42.59696960449219,128.12254333496094
10,9,Fmaj7,F,17.333333333333332,2602.299072265625,665.5720825195312,670.4630737304688,1055.4898681640625,4761.71728515625,1085.2779541015625,1463.0399169921875,6277.3125,1846.091796875,2963.026611328125,876.6964721679688,1574.2412109375
11,11,Amin7,A,20.0,27221.359375,4842.51220703125,1743.5543212890625,4966.701171875,24108.931640625,4307.6298828125,5821.79638671875,18325.078125,6795.16845703125,16361.0966796875,3617.030029296875,7185.20849609375
12,15,Cmin7,C,28.0,8885.6357421875,2062.854736328125,3791.557373046875,16217.3857421875,5118.33740234375,1253.7752685546875,1461.2928466796875,7858.79736328125,4105.69580078125,20893.10546875,14971.7734375,3875.023681640625
13,18,Cmin7,C,34.0,494.5027770996094,142.1343231201172,301.3634948730469,953.4990844726562,306.09429931640625,72.57746887207031,93.73089599609375,442.8753356933594,99.07402801513672,117.162353515625,565.4000854492188,231.5325927734375
14,18,F7,F,35.0,621.4711303710938,181.35829162597656,434.7855224609375,1137.29052734375,575.8380737304688,422.3533935546875,122.6826171875,157.95286560058594,194.9264678955078,604.1356811523438,204.7117156982422,163.42576599121094
15,19,Bbmaj7,Bb,36.0,443.0812072753906,599.8077392578125,2078.670654296875,1246.4871826171875,1190.776611328125,4631.81005859375,948.8366088867188,208.3455047607422,302.34002685546875,1677.51904296875,1967.88330078125,384.1574401855469
16,20,Bbmin7,Bb,38.0,177.93603515625,506.7692565917969,146.26913452148438,89.5428695678711,215.4867706298828,889.1987915039062,175.3919677734375,92.777587890625,449.6156921386719,242.12513732910156,570.9669189453125,140.1799774169922
17,20,Eb7,Eb,39.0,170.14605712890625,668.8467407226562,246.13140869140625,566.9694213867188,134.42750549316406,221.5871124267578,73.86178588867188,266.98248291015625,85.5481948852539,98.77359008789062,373.3770751953125,86.968505859375
18,21,Abmaj7,Ab,40.0,1757.9873046875,611.3643188476562,768.724365234375,2771.266845703125,1313.3883056640625,345.9834289550781,421.274658203125,1962.9591064453125,1840.3848876953125,388.5497741699219,366.0159606933594,622.7999267578125
19,22,Abmin7,Ab,42.0,177.42486572265625,103.4963150024414,266.20513916015625,830.3843383789062,154.78016662597656,229.3869171142578,1169.4639892578125,373.3058166503906,516.709228515625,186.9826202392578,489.091064453125,882.6631469726562
20,22,Db7,Db,43.0,334.0826721191406,539.880126953125,178.6449737548828,413.6092834472656,300.4589538574219,1145.0970458984375,343.0880432128906,235.6610870361328,1308.9830322265625,241.8594970703125,174.84063720703125,936.8379516601562
21,23,Gbmaj7,Gb,44.0,1168.466552734375,4967.20068359375,2977.041748046875,569.5858154296875,739.7564086914062,3344.340576171875,1977.9635009765625,333.7235412597656,281.35467529296875,610.9761352539062,2035.3653564453125,730.9730834960938
22,24,Gmin7,G,46.0,59.80830764770508,109.97931671142578,310.6272277832031,109.93407440185547,198.41270446777344,842.881103515625,396.1724853515625,477.4801330566406,141.06300354003906,250.1797332763672,555.2503051757812,127.1016616821289
23,24,C7,C,47.0,7.214386463165283,27.66790199279785,48.6693229675293,16.700481414794922,39.46527099609375,210.24522399902344,43.039337158203125,15.860875129699707,67.81388092041016,442.6863098144531,70.47766876220703,8.42722225189209
24,25,Fmaj7,F,48.0,5633.84326171875,953.952392578125,288.56158447265625,800.1815795898438,3665.3994140625,2077.869873046875,522.607421875,917.1925659179688,751.1441040039062,1843.6470947265625,864.053955078125,1134.6705322265625
25,26,E7(#9),E,50.0,850.8663940429688,580.0453491210938,2335.041259765625,1603.8775634765625,1540.01708984375,469.109619140625,825.1676635742188,2373.037841796875,1947.548828125,589.9153442382812,585.4779663085938,2309.003173828125
26,27,E7(#9),E,52.0,7924.16015625,3030.327880859375,11136.703125,7301.25537109375,8454.3837890625,2064.852783203125,4534.6083984375,19100.126953125,9820.3798828125,2488.93994140625,2773.144287109375,12672.16015625
27,30,Amin7,A,58.0,9580.8759765625,2154.2001953125,1052.7034912109375,3818.139404296875,20157.876953125,3365.454833984375,1815.5068359375,9958.458984375,7504.46826171875,33539.06640625,5287.16650390625,2932.271484375
