,Measure,Red Clay C#,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C#min7,C#,0.0,733.0867309570312,1706.2889404296875,400.2908630371094,973.7411499023438,3447.8056640625,855.1958618164062,262.65252685546875,677.5592041015625,4354.27001953125,743.397705078125,349.4059753417969,1923.40966796875
1,2,A7,A,2.0,425.4808349609375,1799.8291015625,421.6167297363281,627.3365478515625,2873.979248046875,800.7061157226562,330.4182434082031,1663.06787109375,1377.6885986328125,5123.14599609375,856.3242797851562,289.8910217285156
2,3,G#7,G#,4.0,1893.1671142578125,574.7098999023438,675.567626953125,2630.45947265625,814.2842407226562,739.5337524414062,3773.213134765625,1246.4434814453125,1668.3997802734375,346.079833984375,268.4360046386719,864.7239379882812
3,4,C#min7,C#,6.0,6430.11474609375,16273.0048828125,3028.820068359375,7687.80615234375,34524.734375,7446.546875,2751.938720703125,2329.365966796875,15777.6875,36164.67578125,7637.17431640625,16149.2158203125
4,9,C#min7,C#,16.0,862.7796020507812,2792.6240234375,566.2811279296875,824.9805297851562,3414.692626953125,893.91748046875,248.0768280029297,322.3890380859375,1889.9464111328125,415.3699035644531,350.0009460449219,1927.3551025390625
5,10,Bmin7,B,18.0,537.4849243164062,643.2632446289062,2024.83837890625,865.5723266601562,368.6036071777344,802.5947265625,4379.068359375,782.8842163085938,282.5446472167969,1301.6331787109375,809.0602416992188,2905.2265625
6,11,D7,D,20.0,548.6890869140625,307.52947998046875,891.3635864257812,194.99378967285156,107.19931030273438,256.93438720703125,1192.0064697265625,228.90797424316406,106.08658599853516,571.76953125,133.20367431640625,117.55594635009766
7,11,E7,E,21.0,177.045654296875,142.2820587158203,777.6635131835938,413.7996826171875,1093.8648681640625,233.47117614746094,175.16453552246094,110.13614654541016,491.052001953125,133.92318725585938,98.6934585571289,489.607177734375
8,12,F#7,F#,22.0,180.89344787597656,723.0918579101562,167.36424255371094,222.3109588623047,1026.9088134765625,561.0645141601562,637.3916015625,151.11328125,140.2154083251953,197.92881774902344,614.7171020507812,186.4602508544922
9,12,G#7,G#,23.0,364.2655334472656,207.48976135253906,213.6269989013672,1219.5811767578125,449.6166076660156,172.400390625,710.3348999023438,195.5389862060547,376.54443359375,89.1505355834961,48.29312515258789,78.09105682373047
10,13,F#7,F#,24.0,182.07579040527344,702.7902221679688,230.69818115234375,354.6864929199219,1062.7413330078125,588.0409545898438,727.0346069335938,164.3424072265625,144.4091033935547,221.02484130859375,595.556396484375,167.64248657226562
11,13,G#7,G#,25.0,527.4210815429688,242.4175567626953,274.7699890136719,1367.8995361328125,550.2540893554688,309.3740539550781,1259.2894287109375,431.0079345703125,567.262451171875,125.7140121459961,69.59378814697266,132.56712341308594
12,14,C#min7,C#,26.0,1073.6522216796875,1726.0360107421875,514.0974731445312,1590.61767578125,3519.38671875,939.9887084960938,738.5415649414062,360.0121765136719,1341.9810791015625,295.0320739746094,388.602294921875,2110.758056640625
13,15,Bmin7,B,28.0,412.6296691894531,620.108642578125,2012.4393310546875,797.26318359375,342.6745300292969,852.2390747070312,4551.85107421875,761.4812622070312,272.7845458984375,1294.5142822265625,663.2076416015625,1991.0506591796875
