,Measure,Red Clay C,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1804.63330078125,453.8136291503906,1016.8523559570312,3226.328125,930.0346069335938,243.0658416748047,701.4087524414062,4514.27197265625,782.2654418945312,376.0270690917969,1958.00146484375,770.986083984375
1,2,Ab7,Ab,2.0,1853.2529296875,469.9627990722656,589.2838134765625,2593.46728515625,776.0675659179688,725.8240356445312,3687.275146484375,1534.1173095703125,4232.744140625,751.86181640625,202.4373779296875,394.4294738769531
2,3,G7,G,4.0,522.3319702148438,359.2440185546875,1155.319091796875,682.69091796875,794.8618774414062,3811.3330078125,1398.50830078125,1664.5859375,365.9758605957031,878.81884765625,4787.3720703125,2526.639404296875
3,4,Cmin7,C,6.0,18128.84375,3786.984619140625,7412.18701171875,32676.259765625,8197.5419921875,3252.2734375,3101.0390625,16180.4267578125,23208.451171875,5937.828125,15515.0927734375,6891.23583984375
4,9,Cmin7,C,16.0,2808.642578125,599.370361328125,855.8938598632812,3182.601806640625,981.8129272460938,234.8846893310547,346.31298828125,2067.1865234375,458.4033508300781,369.3954162597656,1930.1646728515625,901.2122192382812
5,10,Bbmin7,Bb,18.0,579.837646484375,1746.9735107421875,403.9404296875,292.5424499511719,737.71484375,3594.480712890625,690.7210083007812,267.7463073730469,1346.5833740234375,1203.9959716796875,5337.7158203125,917.5846557617188
6,11,Db7,Db,20.0,298.90045166015625,824.9511108398438,189.8761444091797,123.88092803955078,260.12396240234375,1188.33544921875,233.335205078125,104.86990356445312,575.1174926757812,138.44122314453125,111.21550750732422,550.6848754882812
7,11,Eb7,Eb,21.0,152.65232849121094,564.0499877929688,362.2690734863281,1071.3116455078125,273.9206237792969,278.8179626464844,124.41091918945312,498.8377685546875,142.49539184570312,124.69986724853516,601.8027954101562,187.9208526611328
8,12,F7,F,22.0,622.4039916992188,223.10546875,258.00360107421875,1130.8819580078125,591.4429321289062,647.8629760742188,156.6277618408203,159.59051513671875,190.5353546142578,564.5470581054688,200.76512145996094,184.864013671875
9,12,G7,G,23.0,181.25010681152344,175.02772521972656,949.98046875,449.5620422363281,211.4345245361328,727.6121215820312,249.03309631347656,345.6643371582031,92.43685150146484,71.49944305419922,96.4608154296875,398.8579406738281
10,13,F7,F,24.0,644.7548217773438,169.74989318847656,226.8897247314453,990.0006713867188,584.7733764648438,768.445068359375,169.04898071289062,139.0179901123047,195.11865234375,564.6998291015625,172.2621612548828,215.05360412597656
11,13,G7,G,25.0,293.2125244140625,239.98516845703125,1015.742431640625,557.3649291992188,395.5348815917969,1316.1546630859375,470.3630065917969,580.2189331054688,144.17376708984375,99.77359008789062,141.47349548339844,591.2366333007812
12,14,Cmin7,C,26.0,2206.522705078125,533.2145385742188,1064.273681640625,3198.26171875,1064.7633056640625,1013.5185546875,431.3638916015625,1605.6312255859375,336.3955383300781,774.9297485351562,4728.22021484375,1399.0789794921875
13,15,Bbmin7,Bb,28.0,556.0674438476562,1710.9146728515625,399.379150390625,295.3817443847656,855.5444946289062,4265.99658203125,732.5026245117188,279.28021240234375,1345.5194091796875,727.470458984375,1887.4317626953125,417.8731384277344
14,16,Db7,Db,30.0,261.43951416015625,489.577392578125,141.30154418945312,112.33157348632812,245.11167907714844,1175.8848876953125,232.7725372314453,90.62004852294922,426.1921081542969,98.99984741210938,112.71216583251953,585.6124877929688
15,16,Eb7,Eb,31.0,168.72972106933594,576.862548828125,339.68353271484375,997.205078125,260.5945129394531,308.0463562011719,149.7543487548828,601.7159423828125,1206.59326171875,293.83880615234375,574.7410278320312,175.33982849121094
16,17,F7,F,32.0,611.0869750976562,223.20001220703125,258.0321960449219,1042.841552734375,556.7393798828125,511.9206237792969,127.12527465820312,162.95033264160156,212.29295349121094,753.2909545898438,1645.35546875,391.453369140625
17,17,G7,G,33.0,406.5574951171875,186.09776306152344,413.9530944824219,458.6949157714844,444.2115478515625,1466.7000732421875,502.6642761230469,582.4453735351562,154.2577362060547,113.25928497314453,140.9732666015625,608.8306274414062
18,18,Cmin7,C,34.0,1872.52978515625,496.2445373535156,1047.7965087890625,3189.840576171875,1039.3636474609375,948.6290893554688,406.875244140625,1586.8150634765625,324.0163879394531,382.0140075683594,1992.662109375,979.085693359375
19,19,Bbmin7,Bb,36.0,732.3331909179688,1768.9779052734375,599.6092529296875,468.4820861816406,789.3683471679688,3484.977294921875,1004.3242797851562,2954.15625,1755.78857421875,704.6519165039062,1989.2015380859375,495.1937255859375
20,20,Db7,Db,38.0,261.4844055175781,497.2184143066406,138.82664489746094,114.12349700927734,242.8112030029297,1181.4466552734375,233.3812713623047,91.58097076416016,427.4667663574219,98.96320343017578,114.1781234741211,587.773193359375
21,20,Eb7,Eb,39.0,30.6270694732666,71.53491973876953,14.60273265838623,9.711379051208496,33.49213790893555,208.8621368408203,31.94450569152832,4.157578945159912,20.073604583740234,7.090930461883545,7.451295852661133,31.966672897338867
22,21,F7,F,40.0,609.4479370117188,252.66172790527344,230.18995666503906,873.813232421875,518.9465942382812,452.6337890625,129.64938354492188,230.76434326171875,206.45945739746094,565.7022094726562,348.033447265625,192.13037109375
23,21,G7,G,41.0,286.1760559082031,159.69168090820312,384.8879089355469,439.45166015625,389.3421630859375,1319.2642822265625,468.3716125488281,507.2669677734375,133.14341735839844,99.88289642333984,155.11456298828125,596.7797241210938
24,22,F7,F,42.0,668.100341796875,175.5633087158203,300.25543212890625,964.95458984375,553.6181640625,542.8783569335938,150.46192932128906,142.0909423828125,176.9378204345703,544.1690063476562,201.2802734375,218.36431884765625
25,22,G7,G,43.0,282.16766357421875,152.08682250976562,385.6496276855469,434.0202331542969,381.3530578613281,1283.3812255859375,462.6015625,490.5302429199219,127.34512329101562,100.3202896118164,134.06362915039062,580.9739379882812
26,23,Cmin7,C,44.0,108.47960662841797,65.11714172363281,197.79075622558594,124.68215942382812,137.25845336914062,733.7841796875,133.46788024902344,68.54095458984375,14.668495178222656,19.77472496032715,56.19919967651367,282.5533142089844
27,24,Bbmin7,Bb,46.0,353.7611083984375,227.8378143310547,201.46449279785156,670.6524047851562,168.50563049316406,359.4879150390625,92.08516693115234,162.0800323486328,158.37571716308594,101.7680435180664,279.8309326171875,128.9284210205078
28,25,Db7,Db,48.0,10.15645694732666,23.605863571166992,11.645731925964355,21.901365280151367,21.963943481445312,71.27670288085938,14.537592887878418,4.168182849884033,10.142502784729004,3.747039794921875,6.871331691741943,5.171815872192383
29,25,Eb7,Eb,49.0,91.9998550415039,181.72886657714844,33.2091064453125,20.944734573364258,78.72171783447266,394.723876953125,89.03121185302734,38.02656173706055,113.01802825927734,25.354703903198242,36.62766647338867,192.2085418701172
30,26,F7,F,50.0,46.32394790649414,223.40721130371094,115.7457046508789,369.0955505371094,70.0080337524414,82.84234619140625,40.71076583862305,156.8486328125,76.23741149902344,48.19942855834961,154.19935607910156,42.25324630737305
31,26,G7,G,51.0,283.7803955078125,88.72899627685547,118.7267837524414,402.39111328125,197.67713928222656,274.9333190917969,73.49229431152344,71.70935821533203,34.13883972167969,97.60098266601562,128.11972045898438,100.01229858398438
32,27,F7,F,52.0,63.48017883300781,34.77313995361328,82.04998779296875,94.37810516357422,82.80606079101562,310.1446533203125,60.05315017700195,62.67795181274414,12.569045066833496,12.723040580749512,34.73305892944336,140.9426727294922
33,27,G7,G,53.0,301.1680908203125,84.34502410888672,134.78131103515625,412.1062316894531,203.64332580566406,267.9318542480469,80.41484832763672,67.09349822998047,34.00766372680664,98.84908294677734,108.41885375976562,118.60523223876953
34,28,Cmin7,C,54.0,2120.095703125,549.2709350585938,1009.6396484375,3235.023193359375,1164.2691650390625,1293.6722412109375,493.76513671875,1712.1107177734375,364.3426208496094,795.1387329101562,4787.443359375,1704.2027587890625
35,29,Bbmin7,Bb,56.0,579.2284545898438,1743.0677490234375,421.9761047363281,303.3625793457031,853.7424926757812,4265.8486328125,727.115234375,278.4051818847656,1343.9647216796875,731.7636108398438,1882.1630859375,419.1930847167969
36,30,Db7,Db,58.0,255.19288635253906,492.1499328613281,142.66067504882812,112.82593536376953,243.70928955078125,1174.6949462890625,231.0396270751953,89.35791778564453,423.9826354980469,99.34317779541016,112.22329711914062,576.7614135742188
37,30,Eb7,Eb,59.0,172.54930114746094,576.3792114257812,340.4728088378906,996.3635864257812,260.8597412109375,310.408203125,152.46412658691406,603.0502319335938,1207.1409912109375,293.1314697265625,577.5625,190.5817413330078
38,31,F7,F,60.0,614.2900390625,224.75128173828125,263.1400146484375,1043.5955810546875,557.5316162109375,514.3439331054688,125.83014678955078,161.49522399902344,210.5097198486328,752.78564453125,1645.9229736328125,400.3235778808594
39,31,G7,G,61.0,406.5878601074219,186.72767639160156,415.4283447265625,458.3233947753906,443.8813171386719,1466.9796142578125,501.3824462890625,582.4744262695312,154.22804260253906,112.99193572998047,140.82093811035156,608.0845336914062
40,32,Cmin7,C,62.0,1872.6036376953125,496.1184997558594,1047.1070556640625,3189.58203125,1039.3499755859375,948.634521484375,406.9136962890625,1586.9617919921875,324.0284118652344,381.9961242675781,1992.6697998046875,979.0907592773438
41,33,Bbmin7,Bb,64.0,732.3328247070312,1768.9727783203125,599.6082153320312,468.4825744628906,789.36865234375,3484.981201171875,1004.3211059570312,2954.151611328125,1755.7884521484375,704.6499633789062,1989.2037353515625,495.1940002441406
42,34,Db7,Db,66.0,261.4849548339844,497.218505859375,138.8271942138672,114.123779296875,242.810302734375,1181.4471435546875,233.3813018798828,91.58081817626953,427.465087890625,98.96295928955078,114.17821502685547,587.77099609375
43,34,Eb7,Eb,67.0,30.626741409301758,71.5346450805664,14.602812767028809,9.71130657196045,33.492008209228516,208.86061096191406,31.944074630737305,4.15755558013916,20.07369041442871,7.090909957885742,7.45151948928833,31.966821670532227
44,35,F7,F,68.0,609.4491577148438,252.6621551513672,230.18865966796875,873.8139038085938,518.947021484375,452.6341247558594,129.64939880371094,230.76536560058594,206.45848083496094,565.7029418945312,348.034912109375,192.13079833984375
45,35,G7,G,69.0,286.1761169433594,159.69163513183594,384.8870849609375,439.4496154785156,389.3424987792969,1319.2672119140625,468.3724060058594,507.2683410644531,133.14321899414062,99.88285064697266,155.1158905029297,596.7825317382812
46,36,Cmin7,C,70.0,1870.30810546875,477.5102844238281,1043.7958984375,3187.348876953125,1039.853759765625,950.287353515625,408.0382995605469,1591.8076171875,324.7206726074219,383.6908874511719,2007.5869140625,982.59326171875
47,37,Bbmin7,Bb,72.0,179.73948669433594,520.1401977539062,127.13394927978516,92.2369613647461,232.19696044921875,923.8480834960938,183.8204345703125,94.60253143310547,449.7222595214844,242.5018310546875,554.2933959960938,146.50001525878906
