,Measure,RedBaron,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,57.70637512207031,105.5967788696289,331.42230224609375,101.01480102539062,209.86940002441406,859.10009765625,348.9377136230469,473.8395690917969,140.29185485839844,242.1773681640625,554.7581176757812,122.36544036865234
1,1,C9,C,1.0,3.5658884048461914,12.55252456665039,52.02626419067383,13.670817375183105,34.26236343383789,206.4136199951172,35.88972091674805,15.754130363464355,3.2917654514312744,8.057578086853027,11.760663032531738,4.130170822143555
2,2,Gmin7,G,2.0,214.6696014404297,115.15975952148438,297.5312805175781,175.8800048828125,666.3638305664062,902.4524536132812,411.3821716308594,781.3641967773438,203.921875,275.7835388183594,680.3480224609375,181.7271728515625
3,2,C7,C,3.0,502.4886474609375,129.5409698486328,145.60813903808594,285.18701171875,1144.0091552734375,407.5940856933594,125.85382843017578,480.9505310058594,128.1399688720703,119.20477294921875,523.4381713867188,247.17213439941406
4,3,Gmin7,G,4.0,110.39550018310547,120.59988403320312,347.3575134277344,107.04558563232422,367.9750061035156,882.0857543945312,362.1441955566406,593.6012573242188,156.51425170898438,239.7957763671875,592.5014038085938,144.96209716796875
5,3,C7,C,5.0,514.6443481445312,136.578125,164.28744506835938,296.5951232910156,1142.9356689453125,405.7352294921875,124.24213409423828,473.1028747558594,127.05719757080078,121.26488494873047,535.314453125,249.8071746826172
6,4,Gmin7,G,6.0,110.56451416015625,122.2068862915039,369.2767028808594,113.53520965576172,365.4800720214844,884.9318237304688,368.8448791503906,759.695556640625,192.04486083984375,239.9878387451172,593.9658813476562,146.19264221191406
7,4,C7,C,7.0,537.4118041992188,296.1464538574219,1017.787109375,521.5104370117188,1160.7886962890625,476.1114196777344,209.9315643310547,940.0283203125,226.04388427734375,165.80894470214844,553.4724731445312,247.0524444580078
8,5,Gmin7,G,8.0,114.6969985961914,138.6251678466797,412.3092956542969,120.17664337158203,376.1581115722656,932.4860229492188,396.8574523925781,785.306640625,226.2910919189453,524.4462280273438,1890.0919189453125,336.5091857910156
9,5,C7,C,9.0,235.62078857421875,67.57140350341797,89.69574737548828,119.50665283203125,587.75,349.762939453125,175.76649475097656,866.365478515625,163.44320678710938,70.07849884033203,238.4944610595703,109.98670196533203
10,6,Gmin7,G,10.0,79.9309310913086,114.45111846923828,352.3604736328125,135.0609130859375,351.7740173339844,866.9776000976562,362.1683349609375,619.5379028320312,172.74053955078125,247.06629943847656,547.2064819335938,130.6605682373047
11,6,C7,C,11.0,243.64764404296875,224.4503631591797,942.1082153320312,311.25244140625,515.7155151367188,382.0618896484375,174.31304931640625,662.135009765625,154.53607177734375,92.5956802368164,227.5787353515625,139.61158752441406
12,7,Gmin7,G,12.0,147.72532653808594,294.2614440917969,460.3503112792969,205.93798828125,425.0783996582031,903.9555053710938,402.528076171875,750.060546875,293.8001708984375,339.053955078125,652.4645385742188,156.1679229736328
13,7,C7,C,13.0,532.5636596679688,156.17218017578125,278.6986389160156,322.5368957519531,1149.935546875,476.9642333984375,239.72991943359375,1092.353759765625,270.6025390625,227.71376037597656,1146.9168701171875,365.1907653808594
14,8,Gmin7,G,14.0,85.57403564453125,75.3010025024414,211.20843505859375,123.71648406982422,288.4351806640625,375.9531555175781,263.3033752441406,814.4270629882812,238.6726837158203,144.70700073242188,250.26292419433594,81.55590057373047
15,8,C7,C,15.0,526.5687255859375,257.5816345214844,714.7589721679688,419.0622863769531,1206.6136474609375,587.2409057617188,235.76707458496094,923.8029174804688,230.30726623535156,177.1197967529297,551.8887329101562,253.3551788330078
16,9,Gmin7,G,16.0,114.43981170654297,133.74993896484375,392.8437805175781,115.83074951171875,392.6875915527344,985.8860473632812,396.8152770996094,779.6353149414062,224.30772399902344,521.2890625,1876.1417236328125,334.2978210449219
17,9,C7,C,17.0,10.313990592956543,17.177846908569336,79.1108627319336,22.870986938476562,53.39152145385742,201.02252197265625,102.04863739013672,529.9119262695312,77.09487915039062,18.58608055114746,20.813291549682617,6.900964736938477
18,10,F,F,18.0,3854.393310546875,1083.6497802734375,637.45751953125,472.1798095703125,2155.313232421875,3920.997314453125,791.83642578125,911.2182006835938,650.4110107421875,1631.7232666015625,859.4009399414062,707.1845092773438
19,11,Eb7(b5),Eb,20.0,901.0847778320312,421.7350158691406,594.5945434570312,412.0783386230469,316.9898376464844,337.71649169921875,346.1860656738281,1978.2371826171875,868.54052734375,3620.496826171875,797.5081176757812,239.16070556640625
20,12,Db7,Db,22.0,836.189208984375,1976.9385986328125,672.3168334960938,523.9407348632812,778.9657592773438,3852.999267578125,1150.2103271484375,3575.338134765625,1720.7430419921875,310.0914001464844,386.7886962890625,2001.8990478515625
21,13,Gmin7,G,24.0,62.60154724121094,112.6095962524414,353.5767517089844,126.79769897460938,213.89344787597656,847.093017578125,354.29248046875,607.3256225585938,168.5539093017578,239.59242248535156,558.6930541992188,132.3722381591797
22,13,C9,C,25.0,532.2599487304688,225.7071990966797,715.2685546875,387.7065734863281,1153.3233642578125,426.0182800292969,133.2545928955078,463.6134033203125,139.3831024169922,140.67872619628906,536.0581665039062,254.91632080078125
23,14,Gmin7,G,26.0,113.40289306640625,118.72552490234375,341.0793762207031,102.61739349365234,365.908935546875,881.265625,364.1588134765625,594.6780395507812,157.8429412841797,240.84471130371094,592.8034057617188,145.66046142578125
24,14,C7,C,27.0,3244.234375,748.9539184570312,904.3683471679688,1596.1456298828125,7501.20361328125,2535.484619140625,725.599365234375,3009.213134765625,818.3031616210938,689.8903198242188,3325.109130859375,1407.48681640625
