,Measure,Round Midnight 2,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin7,Eb,0.0,99.13178253173828,548.6045532226562,314.8307189941406,908.62548828125,175.78074645996094,239.9654541015625,1035.0875244140625,199.8275909423828,49.83180618286133,102.66656494140625,563.8964233398438,101.25423431396484
1,1,Cmin7(b5),C,1.0,443.8479309082031,124.51740264892578,157.3253173828125,771.1809692382812,242.30322265625,95.65328216552734,295.0969543457031,414.43212890625,91.6543197631836,119.0837631225586,519.2205200195312,203.17271423339844
2,2,Fmin7(b5),F,2.0,588.8833618164062,189.3298797607422,233.66741943359375,908.0120239257812,410.5111389160156,431.3917236328125,140.2914276123047,284.2852478027344,527.6920166015625,174.4618377685547,302.4048767089844,166.55409240722656
3,2,Bb7,Bb,3.0,217.22113037109375,195.3421173095703,645.0140991210938,425.8207702636719,296.9915466308594,1042.1575927734375,288.7070007324219,136.5267333984375,598.568603515625,428.8558044433594,1492.8369140625,308.85003662109375
4,3,Ebmin7,Eb,4.0,115.03789520263672,562.5284423828125,373.6085510253906,969.7138671875,225.4865264892578,489.5211486816406,1102.3145751953125,212.3511962890625,85.15454864501953,117.1993637084961,580.109375,108.17477416992188
5,3,Ab7,Ab,5.0,643.2800903320312,189.37428283691406,120.9439697265625,425.2431335449219,162.6234588623047,175.7331085205078,837.0182495117188,307.8104248046875,312.57464599609375,93.0870361328125,112.25506591796875,121.1105728149414
6,4,Bmin7,B,6.0,60.097930908203125,74.2832260131836,158.46583557128906,101.42284393310547,53.27299499511719,91.8965835571289,301.2899169921875,73.21660614013672,81.56706237792969,422.2212219238281,109.82028198242188,129.53753662109375
7,4,E7,E,6.5,60.98579788208008,76.98633575439453,313.0002746582031,151.71632385253906,242.747802734375,75.21744537353516,124.8538818359375,81.20880889892578,371.3868103027344,145.82716369628906,42.816009521484375,115.49917602539062
8,4,Bbmin7,Bb,7.0,65.57734680175781,182.2301483154297,190.3394317626953,103.31853485107422,204.701416015625,253.12786865234375,103.01239776611328,83.12250518798828,411.8802185058594,132.69207763671875,140.8409881591797,71.2592544555664
9,4,Eb7,Eb,7.5,57.35845947265625,234.25889587402344,197.35121154785156,295.7542724609375,150.30368041992188,178.2998809814453,96.82967376708984,376.6927185058594,117.30077362060547,60.12017822265625,182.66314697265625,60.30266189575195
10,5,Abmin7,Ab,8.0,184.06321716308594,322.1357727050781,234.54002380371094,706.322998046875,257.45574951171875,466.6724548339844,1188.03955078125,598.2964477539062,601.3799438476562,188.1754913330078,411.5494079589844,621.9822998046875
11,5,Db7,Db,9.0,201.03712463378906,446.6116638183594,123.58279418945312,213.25083923339844,211.6885223388672,944.52099609375,297.60076904296875,64.05490112304688,173.63084411621094,81.7159652709961,87.04779815673828,354.9067687988281
12,6,Ebmin7,Eb,10.0,88.9169692993164,393.7159118652344,318.67498779296875,944.6880493164062,211.42852783203125,433.921875,1132.0159912109375,218.76463317871094,65.34624481201172,214.2313995361328,1301.0748291015625,271.08258056640625
13,6,Ab7,Ab,11.0,1273.5955810546875,771.4911499023438,573.5406494140625,527.2017822265625,190.18841552734375,180.87278747558594,879.752197265625,274.8826599121094,397.7343444824219,81.31181335449219,104.53522491455078,239.30043029785156
14,7,B7,B,12.0,602.7136840820312,483.966064453125,727.8724975585938,3245.653076171875,673.70068359375,1144.21142578125,3835.873779296875,758.7097778320312,395.085205078125,1477.9891357421875,746.0116577148438,1838.19677734375
15,8,Bb7,Bb,14.0,250.4290313720703,489.6316833496094,2357.046142578125,611.8926391601562,700.5977172851562,3037.661376953125,813.6481323242188,289.7210998535156,1419.025390625,961.1043090820312,2533.76416015625,483.2151184082031
16,9,B7,B,16.0,124.47643280029297,135.4866180419922,245.04351806640625,1016.8018188476562,198.47731018066406,247.65577697753906,1143.4761962890625,208.80702209472656,121.48609161376953,478.4095153808594,237.6776580810547,537.2997436523438
17,9,Bb7,Bb,17.0,34.60246276855469,41.61408615112305,215.7129669189453,228.089599609375,105.90206146240234,396.6475524902344,238.15272521972656,63.52168655395508,102.43011474609375,123.80290985107422,147.1299591064453,110.4034194946289
18,10,Ebmin7,Eb,18.0,333.1181945800781,1834.8709716796875,1120.303955078125,3328.065185546875,609.6458129882812,1002.3795776367188,3795.400634765625,679.260498046875,186.2818603515625,347.09423828125,1944.3397216796875,377.4793701171875
19,11,Cmin7(b5),C,20.0,512.7520751953125,165.67347717285156,301.767822265625,940.194091796875,306.47711181640625,148.4637908935547,218.9040069580078,463.798095703125,116.83118438720703,133.66015625,594.2946166992188,232.0697784423828
20,11,F7,F,21.0,581.32373046875,146.03543090820312,260.4209289550781,1090.5423583984375,564.9205932617188,511.664306640625,132.4397430419922,166.57122802734375,197.88719177246094,530.4967651367188,182.00074768066406,151.93922424316406
21,12,Bb7,Bb,22.0,656.5864868164062,935.8706665039062,4855.93701171875,1724.2064208984375,1034.3389892578125,3500.808837890625,887.5222778320312,332.8804626464844,1427.1842041015625,881.8998413085938,1898.8203125,428.2618103027344
22,13,Cmin7,C,24.0,526.7710571289062,156.73448181152344,278.1262512207031,946.7964477539062,314.0003967285156,151.24632263183594,222.0380096435547,467.1106872558594,120.77591705322266,133.30674743652344,586.62451171875,237.60699462890625
23,13,F7,F,25.0,405.6313171386719,104.36307525634766,107.56063842773438,502.2776794433594,241.8603515625,264.2239685058594,95.74362182617188,141.34921264648438,79.63202667236328,220.92710876464844,92.66551971435547,84.03845977783203
24,14,Bb7,Bb,26.0,478.1987609863281,818.103515625,4842.18603515625,1315.282958984375,795.4708862304688,3195.958984375,837.4292602539062,340.3448181152344,1456.5872802734375,1084.8367919921875,3085.926513671875,575.2152709960938
25,15,Abmin7,Ab,28.0,96.9885025024414,44.077117919921875,99.97246551513672,374.4222106933594,81.99545288085938,122.76764678955078,537.4685668945312,181.4181365966797,222.37109375,79.86019897460938,158.42930603027344,405.5867004394531
26,15,Db7,Db,28.66666666666667,73.87657928466797,98.29180908203125,73.1856918334961,140.29307556152344,84.1181411743164,223.7865753173828,196.52606201171875,59.32309341430664,91.35477447509766,29.91837501525879,42.03168487548828,155.83697509765625
27,15,Gbmaj7,Gb,29.33333333333333,60.68040466308594,133.89996337890625,43.75986099243164,56.21894454956055,61.91351318359375,230.01515197753906,158.84698486328125,39.628108978271484,59.861576080322266,102.80154418945312,415.1286315917969,145.21823120117188
28,16,B7,B,30.0,76.75943756103516,103.66350555419922,114.13135528564453,485.3612365722656,118.33587646484375,241.87255859375,585.7598266601562,196.1455535888672,621.2742309570312,375.3033447265625,361.146484375,265.62091064453125
29,16,Bb7,Bb,30.66666666666667,23.983705520629883,16.357473373413086,40.16215515136719,139.01934814453125,31.00092887878418,54.66073989868164,155.70358276367188,24.923866271972656,13.04061222076416,32.83522415161133,28.51805877685547,77.61426544189453
30,16,Eb7,Eb,31.33333333333333,23.358802795410156,40.88688659667969,174.15672302246094,169.10243225097656,71.29035949707031,228.31629943847656,84.06769561767578,41.71006393432617,67.2985610961914,77.46698760986328,135.8639373779297,51.248165130615234
31,17,Db7,Db,32.0,100.0098876953125,408.10107421875,565.89892578125,2210.59326171875,518.3690795898438,761.7643432617188,253.8804473876953,670.3687133789062,197.13999938964844,266.2330627441406,1220.5614013671875,257.44769287109375
32,18,B7,B,34.0,174.91357421875,211.8028564453125,278.0328369140625,1058.6346435546875,239.2376251220703,488.6459655761719,1225.2706298828125,243.70042419433594,115.83934783935547,454.974853515625,266.1760559082031,763.0820922851562
33,18,Bb7,Bb,35.0,104.59217071533203,165.3855438232422,652.466552734375,407.3963317871094,247.3859405517578,889.0582885742188,381.9100036621094,122.39859008789062,489.3285217285156,501.0281982421875,1753.73193359375,385.9744873046875
34,19,Ebmin7,Eb,36.0,115.64269256591797,635.066162109375,379.186767578125,909.8984375,214.43605041503906,486.5303039550781,1108.9615478515625,209.68821716308594,73.71509552001953,116.2844009399414,599.5161743164062,119.6420669555664
35,19,Cmin7(b5),C,37.0,440.4989318847656,140.3661346435547,171.3497314453125,777.435302734375,241.42723083496094,120.83882904052734,299.8729248046875,426.9710998535156,94.55550384521484,116.669677734375,518.6237182617188,201.31248474121094
36,20,Fmin7(b5),F,38.0,593.65478515625,208.18980407714844,250.47279357910156,907.4826049804688,420.7247009277344,481.0583190917969,145.5541534423828,284.3245544433594,526.1753540039062,175.69627380371094,300.4461975097656,162.59738159179688
37,20,Bb7,Bb,39.0,219.82879638671875,339.0266418457031,1398.8958740234375,539.7546997070312,299.7270812988281,1053.276611328125,290.3976745605469,135.13612365722656,598.6707763671875,441.509765625,1497.11181640625,305.3838195800781
38,21,Ebmin7,Eb,40.0,113.82564544677734,554.7763671875,391.5633850097656,972.5543823242188,225.9923858642578,490.2261047363281,1100.3551025390625,212.3881378173828,85.3466567993164,117.01126861572266,581.6929321289062,110.85476684570312
39,21,Ab7,Ab,41.0,642.6949462890625,185.7765350341797,127.86382293701172,427.3462219238281,162.25662231445312,176.25804138183594,837.6011352539062,307.1918640136719,312.7611999511719,92.81877899169922,111.355224609375,122.7946548461914
40,22,Bmin7,B,42.0,60.36857604980469,73.03336334228516,150.78343200683594,99.70565032958984,53.52305603027344,92.11571502685547,300.6309509277344,73.22039031982422,81.74034118652344,422.0872802734375,109.5013198852539,129.30662536621094
41,22,E7,E,42.5,60.8316535949707,76.26190185546875,313.0306396484375,151.90809631347656,242.6953125,75.24219512939453,124.7486801147461,81.09821319580078,370.6785888671875,145.7228546142578,42.801021575927734,115.3759536743164
42,22,Bbmin7,Bb,43.0,65.45928192138672,181.7996826171875,190.2797393798828,103.33353424072266,204.68849182128906,253.06646728515625,103.0550765991211,83.10083770751953,411.7061767578125,132.59153747558594,140.84121704101562,71.25880432128906
43,22,Eb7,Eb,43.5,57.33500289916992,234.23377990722656,197.3832550048828,295.8096923828125,150.32777404785156,178.34947204589844,96.89984130859375,376.735595703125,117.3037109375,60.10531234741211,182.6859588623047,60.3178825378418
44,23,Abmin7,Ab,44.0,184.01324462890625,321.7767028808594,234.4960479736328,706.387939453125,257.6367492675781,466.6679382324219,1187.496337890625,597.9744873046875,601.4220581054688,188.1969451904297,411.4967041015625,622.0082397460938
45,23,Db7,Db,45.0,200.95521545410156,446.0937194824219,123.51409912109375,213.23370361328125,211.6475372314453,944.4745483398438,297.40887451171875,64.04850769042969,173.6419219970703,81.72069549560547,87.06038665771484,354.9140319824219
46,24,Ebmin7,Eb,46.0,88.9419937133789,393.9324645996094,318.7033386230469,944.6875610351562,211.4163055419922,433.89501953125,1131.7254638671875,218.72784423828125,65.33916473388672,214.232666015625,1301.109619140625,271.0855407714844
47,24,Ab7,Ab,47.0,1273.63330078125,771.6989135742188,573.5526733398438,527.1792602539062,190.19873046875,180.94520568847656,880.1452026367188,274.9300537109375,397.7100830078125,81.30792999267578,104.54803466796875,239.31622314453125
48,25,B7,B,48.0,174.07977294921875,158.8749542236328,243.2000732421875,965.6736450195312,208.4449462890625,314.4556579589844,1122.60009765625,218.94651794433594,128.6709442138672,472.02783203125,238.21678161621094,525.4176635742188
49,25,Bb7,Bb,49.0,117.9403305053711,151.0343780517578,609.6447143554688,422.8721008300781,256.3059387207031,853.4497680664062,378.5238952636719,135.87318420410156,497.3724060058594,358.7735900878906,572.19775390625,209.0967559814453
50,26,Ebmin7,Eb,50.0,1281.4014892578125,6825.11376953125,3811.533447265625,11615.9609375,2268.585693359375,4809.46435546875,12647.5576171875,2199.412353515625,700.2466430664062,1172.4241943359375,6412.72265625,1264.1448974609375
