,Measure,Saint James,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,20.92548179626465,82.74897003173828,568.6326293945312,90.32769775390625,11.7737455368042,16.926156997680664,10.966010093688965,6.83118200302124,14.761849403381348,23.197877883911133,7.17363166809082,6.755863189697266
1,1,Gmin7,G,1.0,289.3331298828125,93.73929595947266,198.7217254638672,45.5814323425293,150.77491760253906,399.9784851074219,71.55973052978516,25.459007263183594,277.83209228515625,1896.8350830078125,290.3040466308594,66.85796356201172
2,2,Dmin7,D,2.0,246.60426330566406,206.0930633544922,584.2908325195312,155.0685272216797,401.7301330566406,1589.4031982421875,430.772216796875,966.981201171875,435.1528625488281,1985.6083984375,675.7758178710938,145.63275146484375
3,3,Dmin7,D,4.0,16.74650764465332,17.19178581237793,21.589860916137695,9.720562934875488,66.7502212524414,86.5232162475586,20.731563568115234,10.639477729797363,189.6487274169922,1322.0499267578125,204.70574951171875,9.252114295959473
4,3,Gmin7,G,5.0,285.7467956542969,82.3012466430664,181.25840759277344,36.09485626220703,84.76568603515625,380.1106872558594,72.89002227783203,17.06468963623047,122.8942642211914,812.277099609375,118.83364868164062,60.22450637817383
5,4,Dmin7,D,6.0,258.5869445800781,215.8772735595703,590.9192504882812,153.1473846435547,424.6172790527344,1737.8974609375,392.6408386230469,389.339111328125,379.3013916015625,2687.025146484375,4686.3564453125,736.4553833007812
6,5,Dmin7,D,8.0,33.48759078979492,71.22796630859375,458.8722229003906,78.17398071289062,23.946565628051758,83.06815338134766,24.16301727294922,8.923066139221191,16.906644821166992,31.626428604125977,9.844334602355957,10.635897636413574
7,5,Gmin7,G,9.0,289.4291076660156,92.845947265625,188.7592315673828,44.64085388183594,151.4384002685547,404.3957214355469,72.14350891113281,25.409074783325195,278.6872253417969,1901.69140625,291.7628479003906,66.79389190673828
8,6,Dmin7,D,10.0,246.61488342285156,205.87921142578125,583.2496948242188,154.9454803466797,401.9761962890625,1590.94482421875,430.9134826660156,966.9010620117188,435.1365051269531,1986.0340576171875,676.4765014648438,145.7515106201172
9,7,Bb7,Bb,12.0,13.321398735046387,6.380940914154053,18.023624420166016,6.071504592895508,25.23110008239746,70.53848266601562,18.215944290161133,3.6199865341186523,5.259926795959473,10.568032264709473,3.0299835205078125,6.0263895988464355
10,7,A7,A,13.0,16.603822708129883,38.98377990722656,196.5795440673828,44.78273010253906,73.22756958007812,367.4493408203125,79.35713958740234,29.42927360534668,92.86080169677734,79.59994506835938,125.05862426757812,32.581050872802734
