,Measure,SanmaSamba,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Dmin7,D,2.0,199.85475158691406,113.13683319091797,426.8344421386719,131.60940551757812,167.3218231201172,782.1203002929688,257.0743713378906,659.7833251953125,503.2825012207031,286.1560974121094,99.30786895751953,60.3365592956543
1,3,Bb7,Bb,4.0,371.0577697753906,129.78564453125,345.239990234375,94.51103973388672,164.4683074951172,599.626953125,160.14451599121094,260.1482849121094,123.56967163085938,201.68934631347656,66.6697006225586,69.07842254638672
2,4,Dmin7,D,6.0,196.0078125,114.56497955322266,439.6550598144531,118.03659057617188,162.04531860351562,789.1704711914062,292.12109375,867.7487182617188,262.1470031738281,239.09716796875,99.0732421875,61.393856048583984
3,5,Bb7,Bb,8.0,182.8204803466797,67.98165130615234,214.52516174316406,79.68302917480469,167.58889770507812,375.0245361328125,247.23883056640625,1341.6507568359375,302.6142272949219,96.0514144897461,39.72826385498047,56.839054107666016
4,6,Amin7,A,10.0,546.5667724609375,161.729736328125,233.4183349609375,116.07714080810547,419.7701721191406,156.5579071044922,140.5601348876953,180.96873474121094,338.56353759765625,1977.8243408203125,328.2254333496094,115.0721435546875
5,7,D7,D,12.0,146.3020782470703,67.1724624633789,237.03285217285156,55.416629791259766,65.55648040771484,194.2888641357422,182.3253631591797,68.81190490722656,66.28919219970703,142.36073303222656,73.69515228271484,37.971073150634766
6,8,Bb7,Bb,14.0,531.1459350585938,191.67161560058594,123.6142578125,40.96400833129883,108.58905029296875,445.4913330078125,111.00613403320312,67.36399841308594,233.47352600097656,71.73410034179688,27.149656295776367,77.28618621826172
7,9,Dbmaj7,Db,16.0,123.85517120361328,160.5685577392578,682.8894653320312,663.2360229492188,187.4331817626953,187.6283416748047,72.52031707763672,316.0368957519531,223.63560485839844,1059.12109375,478.1029357910156,99.52123260498047
8,9,Ebmaj7,Eb,17.0,370.2635803222656,122.38944244384766,243.6687469482422,164.6983184814453,99.40984344482422,501.2366027832031,132.76612854003906,209.6267852783203,89.72127532958984,176.64923095703125,46.466888427734375,68.52076721191406
9,10,Dmin7,D,18.0,195.55738830566406,128.60830688476562,406.8896789550781,184.04588317871094,173.98851013183594,777.6201782226562,261.7467346191406,678.2117309570312,504.9710388183594,289.27642822265625,109.80599975585938,60.28354263305664
10,11,Bb7,Bb,20.0,373.7899169921875,133.77610778808594,337.68682861328125,121.2033920288086,171.1808319091797,603.3359985351562,162.8164520263672,263.4324035644531,120.07318115234375,201.1825714111328,67.5382080078125,69.38524627685547
11,12,Dmin7,D,22.0,199.4130096435547,117.63346099853516,438.7438659667969,125.5150146484375,161.7346649169922,784.328369140625,292.50384521484375,865.8952026367188,261.9875183105469,239.43763732910156,99.972900390625,61.8050422668457
12,13,Bb7,Bb,24.0,182.90577697753906,68.51934051513672,214.34132385253906,82.31483459472656,164.66563415527344,378.4331359863281,248.9943084716797,1346.8551025390625,303.163330078125,96.76195526123047,40.816043853759766,56.907474517822266
13,14,Amin7,A,26.0,499.0545654296875,146.34341430664062,292.9057922363281,131.19985961914062,382.3091735839844,302.8421325683594,193.88690185546875,249.2999267578125,92.48621368408203,255.031982421875,79.42369079589844,99.36994171142578
14,15,D7,D,28.0,150.84170532226562,49.72861862182617,127.00845336914062,40.69807434082031,59.26640701293945,147.98117065429688,165.2755126953125,63.18779373168945,19.571441650390625,54.988834381103516,26.252859115600586,66.8662109375
15,16,G7,G,30.0,316.99737548828125,141.72640991210938,157.60914611816406,81.88472747802734,261.7920227050781,541.0455932617188,148.4679718017578,261.8985290527344,517.1017456054688,2715.62060546875,461.2618713378906,203.6100616455078
16,17,Dbma7,Db,32.0,36.10586166381836,71.86622619628906,313.8918762207031,477.9989318847656,90.56925201416016,122.85736083984375,56.9611930847168,225.80279541015625,47.5734977722168,53.46249771118164,238.0777587890625,59.3984260559082
17,17,Ebma7,Eb,33.0,0.06049969792366028,0.25422218441963196,1.4399843215942383,2.2287707328796387,0.4570014774799347,0.30278337001800537,0.28837403655052185,0.6147785186767578,0.10680649429559708,0.23952938616275787,1.2412554025650024,0.27622541785240173
