,Measure,SatinDoll,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,548.6848754882812,253.2014617919922,575.6649780273438,160.01593017578125,354.160888671875,1073.4664306640625,284.8014831542969,164.64830017089844,258.9850158691406,1459.3284912109375,247.24903869628906,105.03229522705078
1,1,G7,G,1.0,130.97653198242188,64.67388916015625,158.93959045410156,108.09929656982422,162.07887268066406,687.9883422851562,270.5771789550781,756.2944946289062,185.1908416748047,303.79119873046875,123.47325897216797,370.3371887207031
2,2,Dmin7,D,2.0,553.1355590820312,224.05027770996094,481.0988464355469,133.000732421875,290.9922790527344,1132.1358642578125,293.43316650390625,69.76678466796875,119.22010040283203,596.6516723632812,121.86029815673828,151.28709411621094
3,2,G7,G,3.0,196.2567138671875,135.00970458984375,452.297119140625,229.8798828125,264.02862548828125,1020.764404296875,530.6016235351562,1341.3853759765625,345.2410583496094,509.30908203125,202.8532257080078,568.3862915039062
4,3,Emin7,E,4.0,238.3897705078125,130.76698303222656,634.0967407226562,377.7007141113281,1034.8463134765625,408.6376037597656,249.0646514892578,482.9321594238281,141.56874084472656,232.663818359375,242.4897003173828,1336.1844482421875
5,3,A7,A,5.0,83.93387603759766,361.5965270996094,90.95633697509766,124.43138885498047,527.3150024414062,173.00779724121094,81.45105743408203,316.8372802734375,234.40736389160156,1080.0975341796875,190.2362518310547,143.8935089111328
6,4,Emin7,E,6.0,117.30352783203125,151.8390655517578,577.6383056640625,306.61328125,949.6282348632812,222.508544921875,141.02117919921875,488.2712097167969,110.72293090820312,63.855224609375,89.35696411132812,491.0524597167969
7,4,A7,A,7.0,152.61691284179688,543.1666870117188,152.74940490722656,203.23484802246094,819.1608276367188,257.2765197753906,138.2720184326172,598.4092407226562,435.89306640625,1415.8602294921875,272.4907531738281,123.1004409790039
8,5,Amin7,A,8.0,510.0569763183594,206.22840881347656,107.20743560791016,198.71998596191406,840.157958984375,174.17169189453125,109.77147674560547,531.7591552734375,264.7450256347656,520.9334106445312,133.61451721191406,190.91624450683594
9,5,D7,D,9.0,299.1880187988281,88.56279754638672,80.79290771484375,63.61032485961914,176.26922607421875,63.314971923828125,107.84209442138672,152.50904846191406,49.06618881225586,65.60150146484375,20.727046966552734,57.9377555847168
10,6,Abmin7,Ab,10.0,292.0668640136719,145.38824462890625,322.1451110839844,832.75244140625,165.20933532714844,250.94573974609375,1255.543701171875,391.8871765136719,500.59814453125,221.04991149902344,295.2646789550781,537.001953125
11,6,Db7,Db,11.0,58.79389572143555,17.793445587158203,47.50615310668945,249.33624267578125,55.83967208862305,26.307777404785156,125.36114501953125,166.20970153808594,1047.6246337890625,170.8366241455078,44.952877044677734,98.72259521484375
12,7,Cmaj7,C,12.0,696.770263671875,302.948486328125,105.98400115966797,285.7235412597656,1148.2069091796875,573.12109375,253.76866149902344,910.149658203125,238.64697265625,65.391357421875,125.80694580078125,755.3211059570312
13,7,Dmin7,D,13.0,681.5411987304688,307.21319580078125,592.7528076171875,151.48255920410156,434.093017578125,1051.0567626953125,277.4786071777344,143.10328674316406,104.28424072265625,430.2304992675781,90.46427154541016,147.71034240722656
14,8,Emin7,E,14.0,157.8329620361328,154.42929077148438,833.785400390625,389.5439758300781,1009.4849243164062,393.8116149902344,145.67572021484375,469.4856262207031,116.76123809814453,84.60369110107422,111.38532257080078,603.1286010742188
15,8,A7,A,15.0,23.58856773376465,17.58517837524414,25.39178466796875,45.48089599609375,165.04592895507812,47.50290298461914,19.012765884399414,36.47146224975586,9.732285499572754,5.618114471435547,13.153678894042969,61.09736633300781
16,9,Cmaj7,C,16.0,6791.791015625,3008.5390625,1126.4166259765625,2071.987060546875,8965.0810546875,1996.3236083984375,2184.640869140625,13058.8681640625,2603.096435546875,928.3016967773438,983.4862670898438,6083.53662109375
17,11,Gmin7,G,20.0,209.593017578125,131.8784637451172,329.888916015625,121.36477661132812,241.66729736328125,882.4400024414062,364.4002685546875,548.5516967773438,156.64674377441406,237.50331115722656,659.0069580078125,166.3851776123047
18,11,C7,C,21.0,330.38604736328125,86.17715454101562,87.45095825195312,151.14512634277344,731.4611206054688,294.0008850097656,140.34596252441406,787.30517578125,180.1624755859375,189.92799377441406,399.23193359375,173.66835021972656
19,12,Gmin7,G,22.0,105.37372589111328,112.23238372802734,342.6425476074219,104.02062225341797,260.8256530761719,866.6780395507812,353.4151916503906,503.6044006347656,144.90728759765625,275.7888488769531,715.97412109375,155.2926788330078
20,12,C7,C,23.0,328.8759460449219,82.91681671142578,86.48937225341797,150.18600463867188,719.8121948242188,293.309326171875,141.14297485351562,792.491455078125,181.6468963623047,194.6178741455078,400.9128112792969,171.44439697265625
21,13,Fmaj7,F,24.0,7142.54541015625,1335.7176513671875,637.5125122070312,1906.26611328125,10187.8955078125,6012.408203125,988.8324584960938,1210.4969482421875,1572.0394287109375,4443.07421875,1150.62158203125,1602.5185546875
22,15,Amin7,A,28.0,542.4628295898438,171.92063903808594,314.0517272949219,246.95623779296875,895.2162475585938,192.15992736816406,120.36834716796875,504.2763671875,261.20355224609375,598.9301147460938,151.60147094726562,185.4486541748047
