,Measure,"Sequel, The",chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,628.8080444335938,328.7576599121094,230.52894592285156,773.472900390625,403.4761047363281,415.0821533203125,102.72186279296875,224.6678924560547,546.8079223632812,140.21046447753906,60.83005905151367,159.47996520996094
1,1,Bb7(#9),Bb,1.0,123.40033721923828,33.4033088684082,45.592105865478516,188.05027770996094,52.68659591674805,109.41703033447266,25.908010482788086,12.828890800476074,16.53742790222168,210.186767578125,1414.63427734375,231.79396057128906
2,2,Ebmaj7,Eb,2.0,361.4989013671875,1286.5361328125,4989.15380859375,3960.268310546875,928.2948608398438,1621.9482421875,786.773681640625,1738.89794921875,595.659912109375,783.015380859375,3440.480224609375,1116.1746826171875
3,3,Dmin7(b5),D,4.0,615.9335327148438,242.01025390625,551.0769653320312,160.45851135253906,278.9078063964844,1051.6571044921875,272.31744384765625,69.32840728759766,99.74939727783203,622.6915283203125,1540.1068115234375,329.6793518066406
4,3,G7,G,5.0,62.82326889038086,25.246477127075195,113.34456634521484,46.68387985229492,35.96201705932617,211.44056701660156,189.67430114746094,1160.4453125,203.979736328125,40.67825698852539,24.648717880249023,22.839338302612305
5,4,Cmaj7,C,6.0,344.2730407714844,159.46177673339844,445.6423645019531,233.0066680908203,575.7615356445312,1442.55810546875,592.322998046875,2206.775634765625,353.4768371582031,89.72710418701172,181.79078674316406,866.28466796875
6,5,Bmin7(b5),B,8.0,148.6764678955078,194.01612854003906,638.28662109375,278.699951171875,160.02386474609375,300.2283935546875,1297.1422119140625,1363.0360107421875,294.39892578125,437.67724609375,206.01527404785156,586.395263671875
7,5,E7(#9),E,9.0,168.45709228515625,193.0404052734375,803.9823608398438,544.7385864257812,485.2647705078125,205.97190856933594,430.8509826660156,672.7553100585938,607.2188110351562,252.62213134765625,179.27687072753906,642.16796875
8,6,Amaj7,A,10.0,530.4161376953125,2054.354248046875,1836.7861328125,1042.9110107421875,3167.983642578125,874.6791381835938,408.05908203125,483.1898193359375,1717.0416259765625,1739.2864990234375,393.7955017089844,532.919189453125
9,7,Abmin7,Ab,12.0,132.4279327392578,89.86154174804688,243.8305206298828,848.9376831054688,387.9523620605469,274.5528564453125,1161.0338134765625,361.7847900390625,507.7805480957031,144.8638153076172,161.62164306640625,538.9899291992188
10,7,Db7,Db,13.0,48.35435104370117,195.22279357910156,87.30522918701172,210.22059631347656,56.720638275146484,47.89607238769531,126.10192108154297,30.37945556640625,89.00249481201172,26.98702049255371,20.235300064086914,88.59542846679688
11,8,Gbmaj7,Gb,14.0,628.4837036132812,2240.839111328125,842.078125,364.6888732910156,858.2424926757812,3956.1943359375,2161.061279296875,401.1081237792969,607.83935546875,748.2540893554688,2073.38720703125,869.26123046875
12,9,C7,C,16.0,1785.3076171875,432.648193359375,334.5773620605469,808.763427734375,3814.8818359375,782.5263671875,340.0930480957031,1472.4439697265625,359.6102600097656,333.603759765625,1686.8643798828125,763.2667846679688
13,10,Eb7,Eb,18.0,443.4464416503906,2152.3359375,1045.5311279296875,3120.226318359375,682.1954345703125,238.08860778808594,299.0942077636719,1605.27734375,349.2058410644531,351.7257080078125,1924.6982421875,466.5551452636719
14,11,C7,C,20.0,1814.49169921875,411.6419982910156,286.6740417480469,881.9049682617188,3828.770263671875,677.9229125976562,282.71722412109375,1489.6749267578125,347.2441711425781,331.52294921875,1705.4630126953125,761.9085083007812
15,12,Eb7,Eb,22.0,732.1047973632812,3406.162109375,1814.232421875,5987.32763671875,1270.0545654296875,366.4830017089844,525.5411987304688,2992.252197265625,629.296875,626.4149780273438,3540.288818359375,820.2130737304688
