,Measure,Seventeen West,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,305.2897033691406,512.052490234375,2393.92919921875,556.77734375,661.08447265625,3001.2236328125,853.6969604492188,785.8019409179688,1552.2574462890625,995.3201293945312,2005.5369873046875,384.1453552246094
1,2,B7,B,2.0,40.330650329589844,22.035802841186523,92.98806762695312,387.3677062988281,69.33772277832031,82.87728118896484,404.9776916503906,83.63784790039062,49.34548568725586,118.3348388671875,59.587345123291016,170.55810546875
2,2,Db7,Db,3.0,108.4686050415039,190.1241455078125,65.05980682373047,88.29525756835938,90.41726684570312,418.7461853027344,120.89217376708984,187.34361267089844,149.04405212402344,222.7631378173828,1352.5111083984375,497.4966735839844
3,3,D7,D,4.0,227.32191467285156,95.5369873046875,234.66844177246094,65.02828216552734,38.79446792602539,120.29363250732422,484.8317565917969,1243.1168212890625,307.5670471191406,161.7504425048828,115.64474487304688,100.60404205322266
4,3,B7,B,5.0,62.669219970703125,34.58784866333008,125.70513153076172,385.7494201660156,72.69754791259766,98.34845733642578,436.7207946777344,289.4199523925781,84.91143035888672,122.4737548828125,67.26766967773438,197.9813232421875
5,4,Ab7,Ab,6.0,230.50836181640625,114.25540161132812,177.6254425048828,536.835693359375,174.04925537109375,110.36194610595703,358.6667175292969,206.38783264160156,197.00433349609375,73.07009887695312,67.94376373291016,96.17542266845703
6,4,A7(#9),A,7.0,102.82755279541016,142.1471710205078,44.24911117553711,121.52690887451172,246.8941192626953,70.37613677978516,48.2921028137207,100.24874877929688,31.339780807495117,40.642398834228516,93.71549224853516,43.5493278503418
7,5,Db7(#11),Db,8.0,232.8672637939453,221.3041229248047,255.83241271972656,434.3489990234375,357.3662414550781,774.4365844726562,578.6017456054688,2344.7587890625,645.4273681640625,702.49169921875,4337.74169921875,1260.936279296875
8,6,C7(#11),C,10.0,59.0488395690918,53.97245788574219,144.93756103515625,97.79409790039062,227.04400634765625,167.38746643066406,369.1663818359375,175.08131408691406,41.77528762817383,50.18181228637695,137.56300354003906,57.17741394042969
9,6,B7,B,11.0,60.02205276489258,68.54698944091797,281.58599853515625,657.512939453125,145.74932861328125,91.97026824951172,434.9913330078125,136.47874450683594,124.1683578491211,120.16690826416016,99.62702178955078,212.6681365966797
10,7,F7(#9),F,12.0,290.9537048339844,73.67826080322266,113.4254379272461,465.6011962890625,285.0185546875,176.51402282714844,94.78461456298828,125.41806030273438,298.46234130859375,143.0970916748047,79.42853546142578,102.162353515625
11,7,C7,C,13.0,164.47877502441406,25.85746192932129,16.653074264526367,133.15919494628906,284.9040222167969,66.83625030517578,41.763545989990234,124.48712921142578,37.11561965942383,14.87517261505127,65.01123809814453,58.47833251953125
12,8,C7,C,14.0,207.6828155517578,38.054351806640625,25.780393600463867,98.84769439697266,454.1290283203125,73.41743469238281,43.507720947265625,215.43617248535156,242.81336975097656,84.71675109863281,131.92892456054688,70.48876953125
13,8,Ab7,Ab,15.0,223.7056121826172,55.397457122802734,90.31444549560547,359.1020812988281,136.19203186035156,62.04465866088867,319.4195251464844,107.15825653076172,90.84737396240234,17.846139907836914,19.39920997619629,49.192195892333984
14,9,Ab7,Ab,16.0,224.80804443359375,70.30168914794922,137.3268280029297,424.1452941894531,110.54900360107422,80.13990020751953,395.1208190917969,122.25959014892578,96.4896240234375,68.3970718383789,46.41184616088867,75.67166137695312
15,9,B7,B,17.0,75.86430358886719,47.34128189086914,239.22393798828125,350.01611328125,73.38652801513672,47.30106735229492,222.308349609375,62.84259033203125,24.409996032714844,122.2943115234375,57.422271728515625,129.2902374267578
16,10,Bb7,Bb,18.0,32.23374557495117,39.92208480834961,210.9202880859375,97.87509155273438,81.93659210205078,354.927001953125,80.45903015136719,31.7154483795166,90.55697631835938,68.7447738647461,132.51771545410156,62.42652893066406
17,10,B7,B,19.0,121.90531158447266,106.0132827758789,267.1043701171875,987.3695678710938,199.85243225097656,313.8851623535156,1113.1373291015625,203.0098419189453,98.58036041259766,448.4190673828125,231.192626953125,537.9725341796875
18,11,Bb7,Bb,20.0,37.17067337036133,39.48141098022461,209.06715393066406,211.04498291015625,103.4312515258789,377.7396240234375,231.09112548828125,51.74894714355469,99.06914520263672,123.48607635498047,139.8988494873047,112.39700317382812
19,11,B7,B,21.0,41.356597900390625,26.06821632385254,105.03549194335938,388.9894714355469,80.12696075439453,118.38419342041016,401.4511413574219,83.869140625,34.07220458984375,96.21719360351562,57.959197998046875,169.26185607910156
20,12,Bb7,Bb,22.0,18.390352249145508,43.60978317260742,226.88226318359375,115.26364135742188,82.64757537841797,348.7561950683594,89.4695053100586,41.36513137817383,96.91930389404297,79.17874908447266,132.51475524902344,61.74478530883789
21,12,B7,B,23.0,289.3178405761719,166.7338409423828,787.9000854492188,3446.567138671875,625.8152465820312,1010.6373901367188,3005.850830078125,532.51220703125,212.6018524169922,715.25927734375,435.0837707519531,1522.453125
