,Measure,Sham Time,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,579.1336059570312,143.33273315429688,226.61695861816406,1002.519287109375,548.8502807617188,397.7911682128906,102.7945556640625,118.7956771850586,190.552490234375,527.5704956054688,148.2281494140625,154.15660095214844
1,1,Bb7,Bb,1.0,4335.08740234375,4719.38037109375,20822.4375,12198.1044921875,9464.345703125,40473.94921875,8031.55859375,2542.076416015625,11709.3154296875,7337.83447265625,16586.833984375,3174.696044921875
2,7,F7,F,12.0,2042.0499267578125,471.6535339355469,858.5990600585938,4609.939453125,2001.7169189453125,1642.296875,362.7403564453125,373.4420471191406,515.8793334960938,1726.3892822265625,519.4650268554688,501.3595275878906
3,8,Bb7,Bb,14.0,311.5732116699219,454.6127624511719,2049.436767578125,614.9428100585938,823.2433471679688,3622.157958984375,877.1754760742188,363.9442443847656,1450.8248291015625,994.44580078125,1995.6778564453125,373.7815856933594
4,9,F7,F,16.0,2000.9520263671875,455.0309753417969,741.8740844726562,3384.703369140625,1765.7635498046875,1672.7991943359375,345.3541564941406,371.6896057128906,528.13525390625,1743.2730712890625,445.6090393066406,485.1553039550781
5,10,Bb7,Bb,18.0,294.3446960449219,465.4122009277344,2136.650146484375,632.7968139648438,832.9065551757812,3656.126220703125,875.6181640625,362.97265625,1450.2657470703125,999.0595703125,2004.03564453125,371.5983581542969
6,11,F7,F,20.0,2031.4765625,454.8054504394531,692.845703125,3435.252197265625,1805.5899658203125,1943.2645263671875,398.9259338378906,373.4358825683594,524.4368896484375,1739.15625,522.7743530273438,510.1712646484375
7,12,Bb7,Bb,22.0,312.00347900390625,460.2015075683594,2084.259521484375,622.3475341796875,831.4172973632812,3652.618408203125,875.0025024414062,362.8210144042969,1447.5595703125,993.2944946289062,1992.1837158203125,373.2292785644531
8,13,F7,F,24.0,2000.9404296875,455.0240783691406,741.858154296875,3384.695068359375,1765.7689208984375,1672.8148193359375,345.353271484375,371.6888732910156,528.128662109375,1743.2593994140625,445.600341796875,485.1521301269531
9,14,Bb7,Bb,26.0,296.5674743652344,474.2045593261719,2189.44140625,639.59912109375,835.7835083007812,3660.917724609375,874.02197265625,289.02349853515625,1433.7886962890625,1030.4681396484375,2017.81494140625,371.5084533691406
10,15,F7,F,28.0,2389.905517578125,507.3617248535156,687.3517456054688,3371.408935546875,1804.6273193359375,1760.462890625,370.8711853027344,517.0263061523438,558.7892456054688,1702.1971435546875,447.306884765625,541.1300659179688
11,16,Bb7,Bb,30.0,261.4495849609375,473.7536315917969,2356.78125,641.8433227539062,737.1620483398438,3157.194091796875,786.5298461914062,282.4104919433594,1397.5643310546875,955.5615234375,2409.00732421875,476.5093994140625
12,17,F7,F,32.0,2001.0645751953125,455.0409851074219,741.9096069335938,3384.640380859375,1765.955078125,1672.7305908203125,345.3904113769531,371.4632263183594,528.584228515625,1743.40185546875,445.6570129394531,485.2379455566406
13,18,Bb7,Bb,34.0,295.5380859375,466.2339782714844,2135.303955078125,634.3666381835938,835.260498046875,3650.946533203125,866.6220092773438,298.1210632324219,1509.6644287109375,1019.5518188476562,2005.98486328125,369.566650390625
14,19,F7,F,36.0,2001.9794921875,449.6641540527344,723.3880004882812,3706.276611328125,1819.4591064453125,1668.6661376953125,338.7885437011719,371.1759948730469,522.4729614257812,1704.8597412109375,438.4549865722656,485.012451171875
15,20,Bb7,Bb,38.0,457.25146484375,484.9997253417969,2071.327392578125,578.4013061523438,729.3955078125,3167.531494140625,777.9259643554688,290.8323059082031,1406.3876953125,919.1650390625,2045.7755126953125,412.6710510253906
16,21,F7,F,40.0,2003.3280029296875,445.6136779785156,680.6267700195312,3371.098388671875,1764.6165771484375,1682.9249267578125,339.87847900390625,370.3952331542969,525.4480590820312,1702.2032470703125,436.04541015625,484.2170104980469
17,22,Bb7,Bb,42.0,241.50401306152344,431.9620056152344,2074.056884765625,577.3612060546875,721.828125,3154.075439453125,773.02197265625,281.7118835449219,1397.3905029296875,900.1493530273438,1956.4151611328125,357.627685546875
18,23,F7,F,44.0,178.62225341796875,58.7909049987793,107.7883071899414,339.7933654785156,206.33685302734375,231.9614715576172,50.2593994140625,41.64749526977539,66.86786651611328,166.94039916992188,48.88521957397461,49.25303268432617
19,24,Bb7,Bb,46.0,561.1198120117188,824.372314453125,3855.2021484375,1247.989013671875,1188.8065185546875,5453.21728515625,1358.740478515625,511.8917541503906,2496.380615234375,1619.5064697265625,3581.814697265625,629.774658203125
