,Measure,Shut Your MouthC2,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,52.542171478271484,114.7247543334961,315.546142578125,84.79430389404297,134.1888885498047,455.3190612792969,408.3578186035156,750.5953979492188,214.03819274902344,189.5467529296875,268.2973327636719,88.24432373046875
1,1,C/Bb,C,0.6666666666666666,351.3492431640625,74.86969757080078,49.17002868652344,91.87271118164062,345.0744323730469,224.782470703125,74.30175018310547,175.90382385253906,71.671875,72.55119323730469,195.28416442871094,101.77765655517578
2,1,Bbmaj/C,Bb,1.3333333333333333,3221.8046875,1272.2183837890625,5054.47265625,1440.8963623046875,2482.41552734375,3717.2216796875,1120.7032470703125,1460.32470703125,382.2134094238281,593.4745483398438,1266.4464111328125,984.1405639648438
3,3,Gmin9,G,4.0,137.83514404296875,132.83685302734375,160.69503784179688,81.52725982666016,191.33697509765625,534.160888671875,412.55712890625,769.8519897460938,241.5359649658203,325.1256103515625,313.33319091796875,120.84768676757812
4,3,Bbmaj7,Bb,4.666666666666667,93.05606842041016,79.96513366699219,186.10707092285156,55.462589263916016,159.06370544433594,366.1658935546875,116.66590118408203,72.36373901367188,51.9478874206543,131.27044677734375,252.8147430419922,81.49169921875
5,3,C9,C,5.333333333333333,2106.911376953125,1363.0325927734375,6005.14794921875,1568.65283203125,4348.89794921875,5667.91845703125,1432.7738037109375,3047.825439453125,867.1118774414062,973.7472534179688,1259.8472900390625,797.707763671875
6,5,Gmin7,G,8.0,129.8765106201172,107.32537841796875,154.50306701660156,53.924991607666016,138.4404754638672,465.09716796875,393.2279357910156,774.0054321289062,214.96922302246094,149.96214294433594,286.3753967285156,111.0676040649414
7,5,C/Bb,C,8.666666666666666,80.05378723144531,36.83277130126953,41.153202056884766,21.304861068725586,60.43165969848633,147.58554077148438,94.89013671875,280.4945983886719,46.909061431884766,33.954345703125,115.69347381591797,50.04486083984375
8,5,Bbmaj7/C,Bb,9.333333333333334,2331.45654296875,1535.9356689453125,7970.12890625,1988.9124755859375,4026.083984375,6869.22802734375,1792.71435546875,2282.55322265625,1677.8590087890625,7935.05078125,4187.65673828125,1177.2293701171875
9,7,Gmin7,G,12.0,144.2320098876953,117.03910064697266,186.8368682861328,74.18305969238281,160.63951110839844,518.5477905273438,453.3644104003906,988.0714721679688,242.4696044921875,171.33795166015625,335.0349426269531,142.73446655273438
10,7,Bbmaj7,Bb,12.666666666666664,358.747802734375,118.34477996826172,208.2498016357422,54.94173049926758,113.70874786376953,362.1616516113281,125.4349136352539,105.8758544921875,45.5758171081543,155.7960205078125,386.5343017578125,161.26918029785156
11,7,C9,C,13.333333333333336,4665.35986328125,1489.5089111328125,4837.74267578125,1973.4390869140625,5715.83154296875,5742.85693359375,1626.5191650390625,3953.729736328125,978.4672241210938,1247.4493408203125,2448.544189453125,1611.9857177734375
12,9,Gmin7,G,16.0,128.6759490966797,106.70748138427734,182.6034698486328,73.38426971435547,161.020751953125,467.2302551269531,436.0969543457031,1129.4837646484375,288.1189880371094,147.57669067382812,303.5509948730469,121.84368896484375
13,9,C/Bb,C,16.666666666666668,177.83091735839844,64.49220275878906,49.6464958190918,75.21289825439453,454.0813903808594,360.0586853027344,87.87899017333984,202.2389373779297,87.7029037475586,161.36170959472656,571.5962524414062,142.3697509765625
14,9,Bbmaj7/C,Bb,17.333333333333332,27289.9375,12617.8076171875,31723.4765625,10005.46875,16708.33984375,37998.36328125,12272.6328125,31442.646484375,8268.080078125,20394.62890625,21737.3984375,9044.6279296875
15,14,Bb7,Bb,26.0,127.08575439453125,202.3275146484375,720.6360473632812,226.5967254638672,320.6267395019531,934.40283203125,304.3218078613281,409.5522766113281,600.5687866210938,779.973388671875,1949.201171875,412.8126220703125
16,14,Eb9,Eb,27.0,1098.5765380859375,4031.089599609375,3792.5146484375,3433.1220703125,2003.7955322265625,6245.81640625,1863.33154296875,3459.748046875,1436.56640625,3633.099609375,13961.7685546875,2348.1962890625
17,16,Bb7,Bb,30.0,115.6509017944336,188.25059509277344,661.1536865234375,216.3936309814453,325.23583984375,908.6419067382812,264.7939453125,143.82716369628906,562.2545776367188,892.8751831054688,3779.585205078125,698.150146484375
18,16,Eb9,Eb,31.0,455.078369140625,1371.779296875,1203.6151123046875,931.6787109375,1004.8261108398438,3450.306640625,913.434326171875,1233.8677978515625,771.4364624023438,1872.9022216796875,7130.54443359375,1242.2486572265625
19,18,Bb7,Bb,34.0,132.20765686035156,195.63031005859375,679.7626953125,237.47666931152344,320.4992980957031,879.0391235351562,258.2243957519531,205.72833251953125,958.7803344726562,799.9228515625,2449.244384765625,472.3208312988281
20,18,Eb9,Eb,35.0,81.11369323730469,245.5783233642578,238.808349609375,182.1727752685547,175.73138427734375,684.1600952148438,151.87120056152344,141.20249938964844,122.59278106689453,340.8442077636719,1232.6435546875,286.7062072753906
21,19,Bb,Bb,36.0,10007.26171875,11929.9130859375,33457.30859375,26851.373046875,13423.74609375,52674.921875,11809.63671875,18531.998046875,40930.9140625,19433.26171875,50456.375,9307.1376953125
