,Measure,SoTired,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,2044.46435546875,468.765625,621.7714233398438,2643.30322265625,1248.85791015625,1350.158935546875,297.7334289550781,665.0670166015625,1619.35107421875,371.474853515625,186.1932830810547,474.8676452636719
1,2,Gb9,Gb,2.0,537.474365234375,2019.3861083984375,435.7364501953125,844.5634765625,3651.7001953125,1782.0697021484375,1701.90185546875,507.8111572265625,1460.4056396484375,704.7368774414062,2028.2950439453125,477.3412780761719
2,3,Fmin7,F,4.0,2038.44189453125,513.7890625,654.2744140625,2675.396728515625,1287.1298828125,1415.9609375,335.2773132324219,674.7643432617188,1567.10595703125,361.4010314941406,199.848876953125,486.4563903808594
3,4,Gb9,Gb,6.0,539.3474731445312,2033.1287841796875,438.3990478515625,846.4739379882812,3661.156494140625,1788.685546875,1707.2664794921875,507.9626159667969,1457.7574462890625,703.7619018554688,2024.0201416015625,477.3955383300781
4,5,Fmin7,F,8.0,2126.625,530.2445068359375,651.3411254882812,2662.84716796875,1312.0762939453125,1619.4185791015625,386.4128112792969,737.7341918945312,1637.8118896484375,477.3577880859375,210.76914978027344,496.951171875
5,6,Gb9,Gb,10.0,866.6884765625,2083.79541015625,488.5657653808594,1013.9065551757812,3722.216064453125,1828.9395751953125,1914.9779052734375,676.3836059570312,1492.7740478515625,865.39892578125,2894.975341796875,916.4253540039062
6,7,Fmin7,F,12.0,2123.582763671875,530.6154174804688,652.00537109375,2665.906494140625,1312.2357177734375,1616.6910400390625,386.8030090332031,740.88916015625,1656.8330078125,479.7844543457031,205.1669158935547,495.8973388671875
7,8,C7,C,14.0,1780.2071533203125,389.114501953125,307.9627380371094,886.804931640625,3908.598876953125,880.4541015625,337.8353271484375,1536.4429931640625,775.032958984375,852.3532104492188,4679.48681640625,1201.5943603515625
8,9,Fmin7,F,16.0,2151.38134765625,503.4430236816406,636.6923217773438,2660.328857421875,1315.017822265625,1629.72705078125,380.7192687988281,750.3961791992188,1695.5911865234375,484.2644958496094,193.7002716064453,480.4362487792969
9,10,Gb9,Gb,18.0,863.237060546875,2068.801025390625,486.989013671875,1014.652099609375,3723.067626953125,1824.0218505859375,1909.0145263671875,680.1942749023438,1497.2109375,858.352294921875,2867.205322265625,913.5183715820312
10,11,Fmin7,F,20.0,2123.475341796875,530.5757446289062,652.5269775390625,2665.887939453125,1312.64453125,1616.7059326171875,386.6085510253906,741.5977172851562,1657.1705322265625,480.30810546875,206.82032775878906,497.0600891113281
