,Measure,SoftImpressions,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,491.6680908203125,125.7391128540039,79.80960083007812,215.38526916503906,884.5819702148438,174.87181091308594,99.42587280273438,489.5704650878906,258.6688232421875,525.2594604492188,132.36444091796875,175.58763122558594
1,1,C/G,C,1.0,503.4835510253906,170.2733917236328,195.08140563964844,234.71856689453125,958.0556030273438,185.45361328125,157.6957550048828,538.0476684570312,130.21063232421875,32.02149200439453,40.32804489135742,151.9043731689453
2,2,F7,F,2.0,578.9619750976562,148.59344482421875,269.9149169921875,1104.2415771484375,851.2830200195312,442.5804748535156,120.80577850341797,157.21507263183594,197.2755584716797,532.32470703125,153.44189453125,157.8157501220703
3,2,E7,E,3.0,217.83811950683594,159.52821350097656,708.8643188476562,604.9219360351562,972.1087036132812,232.5353240966797,82.5248794555664,94.96206665039062,450.1825866699219,118.77863311767578,104.59827423095703,540.7473754882812
4,3,Amin7,A,4.0,526.4365234375,127.3318862915039,98.30426788330078,243.5896453857422,882.212646484375,184.43634033203125,106.45516967773438,501.1502685546875,271.45953369140625,536.8198852539062,136.59722900390625,201.0417938232422
5,3,C/G,C,5.0,518.7496337890625,184.43858337402344,226.097412109375,239.27589416503906,959.5676879882812,186.7708740234375,151.4722137451172,538.6572265625,133.17388916015625,32.93413162231445,43.72779846191406,165.34571838378906
6,4,F7,F,6.0,578.223876953125,150.562255859375,280.8887634277344,1122.8504638671875,855.1845092773438,445.2043151855469,120.38687896728516,157.73487854003906,200.5756378173828,532.8129272460938,154.06057739257812,156.55880737304688
7,4,E7,E,7.0,217.52496337890625,159.72708129882812,711.21044921875,603.4857788085938,971.8623046875,232.614013671875,82.25555419921875,94.69120025634766,448.5596923828125,118.57466888427734,104.5666275024414,539.0446166992188
8,5,Amin7,A,8.0,526.4296264648438,127.33284759521484,98.26058959960938,243.6221466064453,882.224853515625,184.43682861328125,106.45606231689453,501.1720275878906,271.4401550292969,536.8318481445312,136.59474182128906,201.00390625
9,5,C/G,C,9.0,518.748779296875,184.4410858154297,226.1063232421875,239.2770233154297,959.5706176757812,186.77186584472656,151.47238159179688,538.6578979492188,133.17308044433594,32.933616638183594,43.728458404541016,165.34727478027344
10,6,F7,F,10.0,578.2225341796875,150.56190490722656,280.8879089355469,1122.8509521484375,855.1868286132812,445.20458984375,120.3871841430664,157.73480224609375,200.57640075683594,532.8131713867188,154.06088256835938,156.55992126464844
11,6,E7,E,11.0,217.5166778564453,159.72537231445312,711.2203979492188,603.5386352539062,971.8682250976562,232.6083526611328,82.26250457763672,94.6925277709961,448.5758972167969,118.57373046875,104.56588745117188,539.0540161132812
