,Measure,Solid,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb7,Bb,2.0,172.91758728027344,889.7520141601562,647.5244750976562,1924.1097412109375,429.744140625,238.2260284423828,181.05210876464844,744.6340942382812,205.5413055419922,211.2334747314453,904.4042358398438,233.5661163330078
1,3,Eb7,Eb,4.0,132.21742248535156,303.8018493652344,1437.921875,476.9268493652344,342.7048645019531,1403.7081298828125,408.0505676269531,174.59800720214844,686.5789184570312,659.2569580078125,1320.2432861328125,238.1990203857422
2,4,Bb7,Bb,6.0,12.509644508361816,35.586360931396484,177.43699645996094,164.28533935546875,122.27914428710938,555.582763671875,90.17833709716797,33.95353317260742,94.4412841796875,711.9259643554688,4875.265625,659.2593383789062
3,6,Eb7,Eb,10.0,182.74195861816406,949.9837036132812,594.6453857421875,1971.6849365234375,413.650634765625,121.695068359375,154.68585205078125,772.5138549804688,222.26881408691406,189.24391174316406,917.0126342773438,235.56727600097656
4,7,Eb7,Eb,12.0,131.1699981689453,298.1068420410156,1400.8951416015625,466.0626220703125,336.2015075683594,1360.0880126953125,408.9436340332031,178.03123474121094,685.7615356445312,655.640380859375,1323.0194091796875,236.7461700439453
5,8,Bb7,Bb,14.0,120.42703247070312,203.2900390625,932.6450805664062,272.59918212890625,325.2864074707031,1388.3154296875,390.0162353515625,167.498291015625,724.216064453125,720.60498046875,2803.151611328125,430.827880859375
6,9,Bb7,Bb,16.0,931.8103637695312,285.4281311035156,609.1272583007812,1557.00830078125,853.3477172851562,974.634033203125,253.86827087402344,220.3021697998047,304.5257568359375,1540.580078125,4536.40771484375,840.5712280273438
7,10,F7,F,18.0,261.6564636230469,884.8001098632812,535.2465209960938,1490.251953125,360.3849182128906,373.8497619628906,250.50042724609375,701.38330078125,194.96832275390625,775.7869262695312,4915.35107421875,801.6585083007812
8,11,Eb7,Eb,20.0,205.0294952392578,246.9879913330078,954.4441528320312,482.4342346191406,430.6383056640625,1846.7010498046875,448.7455749511719,372.4609680175781,1734.32666015625,788.3692016601562,1584.857421875,271.0363464355469
9,12,Bb7,Bb,22.0,906.2991333007812,231.57965087890625,347.598388671875,1553.5155029296875,818.6708374023438,808.2705688476562,184.11732482910156,184.8369903564453,265.73455810546875,816.4535522460938,223.63197326660156,218.0491943359375
10,13,F7,F,24.0,213.6155242919922,63.1534423828125,145.72496032714844,364.2338562011719,153.2723846435547,508.8819885253906,120.86165618896484,40.55278015136719,45.53962326049805,1008.7803344726562,6907.09423828125,1026.29541015625
