,Measure,Somethin' Special,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Gsus,G,2.0,34.353294372558594,14.243613243103027,43.110111236572266,11.090938568115234,5.938991546630859,6.291975498199463,10.510798454284668,30.821439743041992,8.232064247131348,6.9849724769592285,10.994667053222656,11.24255657196045
1,2,Gmin7,G,3.0,1035.8846435546875,462.10302734375,840.3355102539062,226.39585876464844,762.4786987304688,3842.176513671875,1014.7882690429688,2188.820068359375,555.222900390625,753.55517578125,1751.4522705078125,574.9556274414062
2,4,Gsus,G,6.0,533.7158203125,119.56902313232422,306.5326232910156,48.60276794433594,18.215200424194336,27.876585006713867,44.89579391479492,259.2301330566406,43.19877624511719,23.729341506958008,28.76829719543457,112.9157485961914
3,4,Gmin7,G,7.0,323.7054138183594,378.5633239746094,1283.1522216796875,309.6970520019531,785.9341430664062,3869.650146484375,932.36962890625,1664.3739013671875,438.9101867675781,710.4483032226562,1762.7772216796875,420.6041564941406
4,6,Csus,C,10.0,336.3028259277344,72.74269104003906,26.7916316986084,38.85565948486328,214.59068298339844,694.8402709960938,135.14056396484375,229.95538330078125,40.28947448730469,20.55400276184082,14.652194023132324,81.57080078125
5,6,Cmin7,C,11.0,2224.467041015625,515.5687866210938,686.6874389648438,3666.109619140625,978.9592895507812,969.444091796875,449.52099609375,1912.1402587890625,303.635498046875,314.63641357421875,1866.4735107421875,830.3834838867188
6,8,Gsus,G,14.0,445.7212219238281,128.4149932861328,439.0863952636719,76.1422119140625,16.424253463745117,23.84980010986328,43.266048431396484,260.6834411621094,43.256465911865234,24.666017532348633,33.01835632324219,101.94759368896484
7,8,Gmin7,G,15.0,247.9990692138672,357.9553527832031,1282.2935791015625,373.1947937011719,797.4133911132812,3846.096435546875,916.3895874023438,1659.4248046875,439.591796875,716.5227661132812,1766.6741943359375,406.1373596191406
8,10,A7,A,18.0,1996.4400634765625,1528.0948486328125,383.6419372558594,540.9165649414062,2794.9462890625,687.635986328125,229.9053497314453,1367.87353515625,332.6274719238281,166.7776336669922,83.17842864990234,321.6539611816406
9,12,D7,D,22.0,1438.1082763671875,453.3708190917969,1043.872802734375,203.7469940185547,363.1158447265625,1698.1612548828125,1862.060546875,422.1775817871094,214.28857421875,780.4685668945312,168.5303192138672,250.62315368652344
10,14,Gmin7,G,26.0,191.02130126953125,136.7129364013672,626.1226196289062,119.54995727539062,180.4661102294922,989.397705078125,170.2352752685547,161.9839630126953,35.30449676513672,77.79222869873047,122.15170288085938,66.25098419189453
11,15,C7,C,28.0,541.3199462890625,102.57320404052734,215.8684844970703,204.8910369873047,979.5936889648438,274.1498718261719,303.6683654785156,1889.6650390625,315.234130859375,46.028621673583984,197.84979248046875,163.3280487060547
12,16,F7,F,30.0,1275.7926025390625,213.31903076171875,271.7109375,928.3325805664062,417.55908203125,371.90576171875,74.33197784423828,51.12101364135742,44.326690673828125,105.98450469970703,49.77801513671875,244.34046936035156
13,17,D7,D,32.0,2488.7265625,4741.328125,6917.76708984375,1308.294677734375,379.593505859375,597.2028198242188,2732.8076171875,3160.7568359375,1032.755859375,2395.957763671875,584.345947265625,504.591064453125
