,Measure,Song For My Lady,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,322.8412780761719,213.759521484375,714.9816284179688,174.8799591064453,290.8963317871094,643.0545043945312,167.6543731689453,59.506221771240234,372.0907897949219,2427.60986328125,396.5704040527344,70.71602630615234
1,2,Cmaj7,C,1.5,456.3494567871094,131.07083129882812,162.5416259765625,175.4574737548828,673.78125,444.2987365722656,212.99835205078125,815.888916015625,166.54698181152344,66.34355926513672,67.42346954345703,376.6065368652344
2,3,Bbmaj7,Bb,3.0,117.04705810546875,124.18408203125,357.9621887207031,152.12733459472656,392.067138671875,583.0503540039062,154.24195861816406,68.6993408203125,185.62657165527344,1158.00830078125,1575.37744140625,266.88482666015625
3,4,A7,A,4.5,94.03649139404297,336.9259033203125,191.0935821533203,147.8416290283203,518.2902221679688,396.5180358886719,119.76566314697266,306.6618347167969,194.53810119628906,328.3946533203125,89.91545867919922,59.0571174621582
4,5,A7,A,6.0,110.81352996826172,417.0115051269531,129.0659942626953,159.9807586669922,733.3565063476562,269.1962585449219,89.5928726196289,337.2095031738281,527.5510864257812,2631.444091796875,419.1812744140625,71.1015625
5,6,Dmin7,D,7.5,383.9588623046875,434.2999572753906,1457.1761474609375,294.0777282714844,400.170654296875,667.9656372070312,180.33433532714844,75.65396881103516,190.99609375,918.7697143554688,179.1176300048828,86.3813247680664
6,7,Cmaj7,C,9.0,446.1397399902344,126.57581329345703,115.8533935546875,165.4113311767578,676.4713134765625,368.6659851074219,112.00855255126953,253.27313232421875,76.47742462158203,119.63872528076172,72.31930541992188,369.5602111816406
7,8,Bbmaj7,Bb,10.5,111.3836441040039,122.95983123779297,346.4258728027344,139.81561279296875,346.5784606933594,561.5175170898438,148.5526885986328,57.82366943359375,75.04122161865234,326.85931396484375,347.6562805175781,113.51776885986328
8,9,A7,A,12.0,95.5335693359375,335.8278503417969,155.7333221435547,138.5586700439453,522.2047729492188,428.3957214355469,123.67183685302734,301.6788330078125,197.99473571777344,441.7908935546875,866.7153930664062,180.69097900390625
9,10,Dmin7,D,13.5,336.2216796875,319.9058837890625,548.5005493164062,165.27203369140625,364.8825988769531,716.1691284179688,185.03172302246094,70.5271224975586,87.00641632080078,360.3144836425781,87.91077423095703,69.89097595214844
10,11,Cmaj7,C,15.0,445.7876892089844,127.44601440429688,118.35818481445312,165.5099334716797,675.0158081054688,367.8603515625,111.9345932006836,253.36351013183594,67.45581817626953,56.19696044921875,65.03446960449219,369.2695617675781
11,12,Bbmaj7,Bb,16.5,111.02871704101562,122.5777587890625,345.9048156738281,139.55841064453125,346.59912109375,563.1902465820312,148.89610290527344,57.95711135864258,75.50653839111328,327.8207092285156,346.3210754394531,113.7801284790039
12,13,A7,A,18.0,129.2998809814453,346.7427062988281,157.8357391357422,147.7520751953125,563.3175659179688,641.63818359375,162.59451293945312,331.92535400390625,221.21803283691406,481.6537170410156,877.2734985351562,186.59849548339844
13,14,Dmin7,D,19.5,332.5265197753906,291.5046691894531,744.2372436523438,208.955322265625,405.41064453125,721.1163940429688,183.5298614501953,89.12908172607422,296.49346923828125,1790.18701171875,274.7001037597656,75.62516021728516
14,15,C,C,21.0,393.2624816894531,110.84680938720703,82.87908172607422,146.60643005371094,670.6019897460938,364.8208312988281,100.98299407958984,258.536376953125,69.66783142089844,48.098018646240234,31.237234115600586,120.64096069335938
15,16,Bbmaj7,Bb,22.5,107.2850341796875,125.62633514404297,365.2919006347656,141.7854766845703,346.6646728515625,563.2487182617188,149.2034912109375,57.9160270690918,74.98114776611328,326.0103454589844,342.4095764160156,84.99324798583984
16,17,A7,A,24.0,95.26327514648438,334.6290588378906,156.0728302001953,140.80255126953125,519.3780517578125,396.7291259765625,115.7091293334961,306.0767517089844,193.44166564941406,312.2013854980469,74.76798248291016,58.62712097167969
17,18,Dmin,D,25.5,221.8771514892578,218.0691680908203,356.4329833984375,159.59893798828125,364.4694519042969,716.91796875,232.5941925048828,73.19403839111328,65.17732238769531,269.4975891113281,217.18145751953125,1016.2830200195312
18,19,C,C,27.0,315.62030029296875,113.443115234375,112.8692626953125,167.6237030029297,672.0205688476562,369.9712219238281,168.97003173828125,276.2383117675781,71.57994079589844,47.89725112915039,50.215518951416016,228.2881317138672
19,20,Bbmaj7,Bb,28.5,102.41845703125,122.43375396728516,350.4753723144531,137.42906188964844,342.2293395996094,585.4227905273438,162.0978240966797,58.80203628540039,83.47467803955078,415.3334045410156,982.8848266601562,195.4933624267578
20,21,A7,A,30.0,1219.7083740234375,5591.16552734375,1756.3282470703125,1887.0380859375,9034.0732421875,3732.599853515625,1177.5621337890625,4826.185546875,2485.537353515625,4423.47802734375,924.5189819335938,751.828125
