,Measure,Sonnymoon for Two,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,235.52967834472656,433.8906555175781,2022.9136962890625,473.3176574707031,649.5989379882812,3089.618896484375,800.3720703125,283.6794738769531,1434.7197265625,1375.1365966796875,5714.39306640625,915.8535766601562
1,2,Eb7,Eb,2.0,221.13458251953125,1244.3726806640625,627.3634033203125,1797.6739501953125,329.8274841308594,209.15550231933594,166.75791931152344,912.3053588867188,212.2809600830078,227.59764099121094,1092.7984619140625,254.24205017089844
2,3,Bb7,Bb,4.0,347.5470275878906,886.5932006835938,3339.0224609375,1489.0975341796875,1302.161865234375,6071.96826171875,1213.6851806640625,440.6451721191406,1567.7757568359375,1101.80810546875,2665.267333984375,590.79248046875
3,5,Eb7,Eb,8.0,585.2343139648438,3111.473388671875,1629.6419677734375,5942.03271484375,972.5827026367188,688.5154418945312,513.0944213867188,2807.861328125,2848.182373046875,2879.103515625,17025.03125,2624.5263671875
4,7,Bb7,Bb,12.0,334.9570007324219,863.0208129882812,3314.546875,1447.0406494140625,1335.013916015625,6114.919921875,1211.4444580078125,425.1828308105469,1581.3914794921875,1108.506103515625,2661.945068359375,577.1257934570312
5,9,Cmin,C,16.0,1148.526123046875,404.8847351074219,376.1743469238281,1860.4180908203125,489.902587890625,269.73724365234375,203.4683837890625,931.7922973632812,174.02894592285156,726.2590942382812,4984.66552734375,992.1892700195312
6,10,F7,F,18.0,1487.5689697265625,1116.44921875,461.9118347167969,1864.6566162109375,844.8815307617188,866.21337890625,211.8634796142578,233.65948486328125,229.53009033203125,631.7084350585938,186.9664764404297,284.8515930175781
7,11,Bb7,Bb,20.0,65.74890899658203,91.1292724609375,361.2646484375,114.1885757446289,153.10794067382812,582.3576049804688,137.58534240722656,40.31410598754883,184.70558166503906,139.97438049316406,291.8049011230469,96.13711547851562
8,11,G7,G,21.0,81.22232818603516,96.17568969726562,222.5989532470703,144.7477264404297,163.65350341796875,728.490966796875,217.43446350097656,273.761474609375,96.89765167236328,55.59025192260742,93.07386016845703,362.38671875
9,12,Cmin7,C,22.0,363.8535461425781,194.685791015625,193.09288024902344,529.277099609375,175.9273223876953,199.78900146484375,90.3440933227539,298.12579345703125,95.45398712158203,135.9228515625,849.8182983398438,290.3591613769531
10,12,G7,G,23.0,146.7902069091797,161.1102752685547,240.0889129638672,254.034423828125,185.79168701171875,702.604248046875,205.4517822265625,291.69927978515625,85.3569107055664,58.27095413208008,104.04723358154297,377.9252014160156
11,13,Bb7,Bb,24.0,300.65838623046875,468.3806457519531,1323.6043701171875,396.3699035644531,449.1985168457031,2088.290283203125,474.2572021484375,150.0481719970703,588.1613159179688,942.9736328125,5038.27880859375,1049.9544677734375
12,14,Eb7,Eb,26.0,228.3827667236328,1249.153564453125,588.1798095703125,1765.6773681640625,321.3971862792969,187.340576171875,166.9018096923828,913.8494262695312,204.8909912109375,217.98130798339844,1075.6566162109375,269.7227478027344
13,15,Bb7,Bb,28.0,1042.6734619140625,5166.197265625,4356.04052734375,1675.7694091796875,1420.4140625,6444.9140625,1330.8870849609375,645.8442993164062,1901.3057861328125,1610.50537109375,5886.970703125,1173.5753173828125
14,17,Eb7,Eb,32.0,589.25146484375,3113.474365234375,1630.5379638671875,5941.0234375,972.7782592773438,688.458251953125,513.8065795898438,2807.794921875,2848.414794921875,2879.690673828125,17024.017578125,2627.979248046875
15,19,Bb7,Bb,36.0,1006.7724609375,5132.64501953125,4290.54931640625,1581.6475830078125,1424.7366943359375,6439.22265625,1323.6273193359375,632.0900268554688,1913.3502197265625,1620.69482421875,5891.998046875,1125.7249755859375
16,21,Cmin7,C,40.0,1148.5023193359375,412.9532165527344,394.9686279296875,1876.2760009765625,513.6133422851562,273.8796081542969,199.59486389160156,922.2101440429688,184.30909729003906,1028.8466796875,7050.58251953125,1349.7777099609375
17,22,F7,F,42.0,1485.9132080078125,1115.7825927734375,462.1789245605469,1863.3914794921875,843.5123901367188,865.5723266601562,211.30934143066406,233.039794921875,228.42950439453125,633.5045166015625,197.19786071777344,287.4039611816406
18,23,Bb7,Bb,44.0,89.73648834228516,143.24183654785156,428.116455078125,142.04605102539062,162.06028747558594,608.5890502929688,152.27854919433594,62.82474136352539,211.3278350830078,191.9210662841797,619.3784790039062,148.3871307373047
19,23,G7,G,45.0,90.50603485107422,157.06239318847656,244.36541748046875,151.2396697998047,168.1578369140625,735.5833129882812,217.39036560058594,271.4386901855469,94.5207290649414,58.49750900268555,118.6774673461914,375.271728515625
20,24,Cmin7,C,46.0,363.9483947753906,194.62684631347656,193.1048126220703,529.2913208007812,175.93800354003906,199.7186279296875,90.24664306640625,298.0162353515625,95.37230682373047,134.03433227539062,834.943603515625,288.5921630859375
21,24,G7,G,47.0,1792.6407470703125,5007.85009765625,2510.35400390625,1935.2227783203125,1422.66845703125,6277.82080078125,1633.7274169921875,2340.09033203125,683.259765625,755.5978393554688,2627.09326171875,3448.310791015625
