,Measure,Soon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,389.6024169921875,1180.7919921875,7515.89501953125,9990.5849609375,1698.33837890625,733.8120727539062,850.1517944335938,4287.84814453125,886.4443969726562,1852.63525390625,11441.66796875,1987.6612548828125
1,3,Gmin7,G,4.0,244.57408142089844,775.0770874023438,1102.1038818359375,341.2724304199219,673.3085327148438,3059.570068359375,1056.673828125,1641.4091796875,563.35498046875,764.8857421875,1975.4273681640625,387.5230407714844
2,4,C7,C,6.0,1798.6507568359375,388.4013671875,327.3601989746094,811.5859375,3820.9111328125,764.943115234375,286.9609375,1631.2139892578125,1415.9554443359375,513.7981567382812,1736.1927490234375,762.2221069335938
3,5,Fmin7,F,8.0,6524.79150390625,1389.8558349609375,1817.88623046875,8370.8505859375,3361.622802734375,3760.7041015625,808.9557495117188,2797.411376953125,11112.8603515625,2041.7825927734375,517.4138793945312,1324.4425048828125
4,7,Abmin7,Ab,12.0,551.5189819335938,249.36126708984375,680.1109619140625,2931.150146484375,505.2748718261719,716.45556640625,3968.817626953125,1078.4715576171875,1682.9208984375,403.0260009765625,802.2235717773438,2773.981201171875
5,8,Bb7,Bb,14.0,310.2619934082031,467.2613220214844,2059.2841796875,575.1294555664062,795.8182983398438,3529.143310546875,880.86279296875,347.0341796875,1441.57666015625,921.3912963867188,2039.19580078125,433.6212463378906
6,9,Ebmaj7,Eb,16.0,164.51756286621094,476.7621765136719,3037.879638671875,3541.763427734375,645.4127807617188,258.9281311035156,484.2292175292969,2625.400146484375,524.0689697265625,407.1487731933594,1901.83154296875,438.6026916503906
7,10,Bbmin7,Bb,18.0,174.82957458496094,520.09033203125,184.66326904296875,378.5069885253906,295.7650451660156,928.6932983398438,183.7165069580078,131.04156494140625,453.828369140625,238.54124450683594,617.4199829101562,149.5031280517578
8,10,Eb7,Eb,19.0,22.34838104248047,83.16411590576172,48.44358444213867,226.01426696777344,78.5716781616211,193.8865203857422,34.22163391113281,38.585628509521484,34.83738327026367,12.952132225036621,28.711318969726562,11.064891815185547
9,11,Abmaj7,Ab,20.0,1879.123046875,757.1725463867188,702.8134155273438,2218.060791015625,731.4234008789062,280.17529296875,374.79345703125,2087.954345703125,1802.99072265625,432.2489318847656,760.1895141601562,558.44970703125
