,Measure,SoulStreet,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bbmin7,Bb,2.0,2305.708251953125,10548.3095703125,3494.208984375,2519.734619140625,2193.603759765625,5082.513671875,2362.133056640625,8601.0380859375,3309.9970703125,4991.71435546875,24845.9140625,4405.68603515625
1,6,Ebmin7,Eb,10.0,50.08095932006836,121.83785247802734,193.3365020751953,887.879150390625,151.6994171142578,91.5914306640625,255.97509765625,329.58135986328125,1434.6319580078125,251.56109619140625,123.5124740600586,44.89566421508789
2,7,Ab7,Ab,12.0,254.5937957763672,865.705078125,332.2729187011719,475.1300354003906,116.6043930053711,113.32308959960938,230.92552185058594,129.89576721191406,146.0777130126953,300.2890319824219,1686.3297119140625,283.50726318359375
3,8,Bbmin7,Bb,14.0,482.6917419433594,1939.73779296875,932.4828491210938,1122.4268798828125,695.0419921875,1753.6514892578125,686.9046020507812,1652.2081298828125,932.7485961914062,1322.6041259765625,6945.36572265625,1177.2635498046875
4,10,C7(#9),C,18.0,156.38034057617188,299.60546875,128.44400024414062,526.4487915039062,2804.967041015625,573.1128540039062,67.40186309814453,90.7430191040039,225.0413818359375,577.6919555664062,3762.375,593.092529296875
5,11,F7(#9),F,20.0,229.08575439453125,530.0557250976562,374.2996520996094,586.8320922851562,273.5692138671875,312.7038879394531,107.86974334716797,210.1827850341797,320.6858825683594,691.4248657226562,2392.244140625,413.2544250488281
6,12,Gmin7,G,22.0,200.8238067626953,689.7824096679688,2812.578125,539.525390625,312.3252868652344,897.0337524414062,718.9352416992188,3466.9150390625,603.1737670898438,981.2077026367188,5034.84228515625,955.0478515625
7,13,Bbmin7,Bb,24.0,178.4041748046875,974.414794921875,313.1562194824219,93.29312133789062,155.38528442382812,528.583984375,110.60904693603516,119.64105987548828,170.02561950683594,311.4874572753906,1748.4815673828125,269.2102966308594
8,14,Bbmin7,Bb,26.0,57.21397399902344,117.62015533447266,164.9208526611328,248.0361785888672,182.1019744873047,539.540771484375,123.14591217041016,132.01893615722656,157.22828674316406,289.2749328613281,1647.525390625,249.6193389892578
9,15,Bbmin7,Bb,28.0,172.6844024658203,936.4240112304688,271.78277587890625,74.07259368896484,145.3474884033203,526.2172241210938,123.18148803710938,206.2633819580078,192.75196838378906,360.2716369628906,2100.337646484375,322.2867736816406
10,16,Bbmin7,Bb,30.0,54.42411422729492,115.08013916015625,155.87489318847656,246.70941162109375,175.2395782470703,532.0455322265625,122.00814819335938,133.14266967773438,157.5218963623047,288.9263610839844,1647.0511474609375,250.23036193847656
11,17,Bbmin7,Bb,32.0,31.190561294555664,119.81583404541016,106.38545989990234,454.2425231933594,168.01849365234375,535.1936645507812,332.6462707519531,260.1760559082031,113.0433578491211,61.50014877319336,218.55909729003906,59.35173034667969
12,18,Ebmin7,Eb,34.0,51.24809646606445,133.17042541503906,209.5206298828125,971.4153442382812,172.5504150390625,159.7913360595703,268.9156799316406,344.2181091308594,1447.46728515625,255.95713806152344,141.84730529785156,48.7823371887207
13,19,Ab7,Ab,36.0,253.81390380859375,846.42626953125,336.5240783691406,501.7276916503906,125.68628692626953,135.31704711914062,235.6511688232422,133.50718688964844,152.27403259277344,302.36383056640625,1690.2130126953125,284.11053466796875
14,20,Bbmin7,Bb,38.0,60.0286750793457,119.65143585205078,162.5230255126953,315.754150390625,193.5740203857422,534.345458984375,148.08750915527344,130.5856475830078,153.24989318847656,289.4365539550781,1652.6258544921875,250.9875030517578
15,21,Bbmin7,Bb,40.0,90.6443099975586,91.59117889404297,40.6621208190918,128.4022979736328,170.6289520263672,806.2313842773438,179.99742126464844,372.3481750488281,1462.275390625,391.0994873046875,574.1261596679688,108.721923828125
16,22,C7(#9),C,42.0,158.4280242919922,291.3898620605469,106.42212677001953,215.74217224121094,540.7192993164062,300.3476867675781,106.3793716430664,231.4535369873047,251.6236572265625,840.7953491210938,3824.238037109375,598.3390502929688
17,23,F7(#9),F,44.0,293.35931396484375,606.9549560546875,486.3045654296875,628.3029174804688,301.5325622558594,484.0282897949219,635.0364990234375,3593.416259765625,759.5818481445312,515.5344848632812,2387.804931640625,608.5108032226562
18,24,Gmin7,G,46.0,139.32565307617188,575.861083984375,2544.7880859375,471.3200378417969,159.62266540527344,700.030029296875,184.16294860839844,87.12645721435547,124.1399917602539,894.6310424804688,4974.66943359375,773.1415405273438
19,25,Bbmin7,Bb,48.0,116.94127655029297,631.4307250976562,186.3531036376953,92.86251831054688,211.33372497558594,1157.3214111328125,182.71168518066406,43.52727127075195,111.34497833251953,48.49531173706055,104.38837432861328,25.427392959594727
