,Measure,SoulVillage,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,2044.46435546875,468.765625,621.7714233398438,2643.30322265625,1248.85791015625,1350.158935546875,297.7334289550781,665.0670166015625,1619.35107421875,371.474853515625,186.1932830810547,474.8676452636719
1,2,Gmin7,G,2.0,204.0987091064453,316.7522888183594,1105.364990234375,392.2716979980469,718.3086547851562,3154.6337890625,1033.185791015625,1658.9071044921875,396.9090881347656,699.573486328125,1935.7166748046875,376.3798522949219
2,3,Cmin7,C,4.0,4909.95166015625,1136.1328125,2288.4384765625,9615.9794921875,2877.105224609375,921.037841796875,828.685302734375,4294.99658203125,839.419677734375,963.142822265625,5229.10693359375,1968.8544921875
3,5,Fmin7,F,8.0,2042.0496826171875,470.884521484375,638.8603515625,2678.183837890625,1269.140380859375,1429.78955078125,309.24420166015625,668.3765869140625,1622.0704345703125,369.500732421875,179.23834228515625,473.2395935058594
4,6,Gmin7,G,10.0,203.97259521484375,315.9507141113281,1099.7086181640625,392.2280578613281,721.0537719726562,3152.323486328125,1032.4970703125,1642.5382080078125,394.3310852050781,705.504638671875,1969.8148193359375,380.8809814453125
5,7,Cmin7,C,12.0,4909.53955078125,1136.112060546875,2288.831787109375,9615.9453125,2877.1171875,921.1818237304688,828.8805541992188,4295.77392578125,839.5023803710938,964.4030151367188,5238.06591796875,1969.9884033203125
6,9,Fmin7,F,16.0,2042.0401611328125,470.8839111328125,638.8606567382812,2678.179443359375,1269.138916015625,1429.7886962890625,309.24371337890625,668.3772583007812,1622.068359375,369.4977111816406,179.2368927001953,473.237060546875
7,10,Gmin7,G,18.0,203.97691345214844,315.9520568847656,1099.7076416015625,392.2265625,721.0532836914062,3152.334228515625,1032.5003662109375,1642.5390625,394.3309631347656,705.5015258789062,1969.8135986328125,380.882080078125
8,11,Gmin7,G,20.0,58.0316276550293,106.11978912353516,328.7637634277344,106.48672485351562,196.4117431640625,832.2775268554688,344.5781555175781,469.1909484863281,140.1474151611328,246.0110321044922,553.2438354492188,120.49727630615234
9,11,Gbdim7,Gb,21.0,518.7051391601562,174.7308807373047,316.6661071777344,989.1630249023438,435.8248291015625,421.3435974121094,498.8166198730469,215.17356872558594,175.7925567626953,524.3234252929688,168.47972106933594,144.38978576660156
10,12,Fmin7,F,22.0,584.1664428710938,157.3078155517578,220.3686065673828,852.8093872070312,447.5471496582031,453.1434020996094,121.45215606689453,234.97572326660156,489.1632385253906,137.4580535888672,74.9423599243164,168.64625549316406
11,12,Cmin7,C,23.0,428.8796081542969,139.9479217529297,365.3504333496094,1147.6541748046875,345.1883239746094,149.05316162109375,114.29519653320312,437.1184997558594,102.33502960205078,123.68311309814453,575.93408203125,220.4996337890625
12,13,Gmin7,G,24.0,119.01031494140625,131.63612365722656,379.443115234375,348.1287841796875,267.23211669921875,920.4965209960938,374.528076171875,590.1213989257812,152.2064208984375,240.6667022705078,583.0706787109375,140.69761657714844
13,13,Gbdim7,Gb,25.0,550.5926513671875,180.9960479736328,317.2341613769531,1013.531005859375,437.2577209472656,412.8094177246094,494.7303161621094,230.91094970703125,175.4566650390625,526.1438598632812,170.9966583251953,148.13670349121094
