,Measure,SoulfulStrut,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Abmaj7,Ab,2.0,101.73114013671875,30.97300910949707,86.44463348388672,400.5375061035156,68.34803009033203,17.7286376953125,17.08661651611328,72.34349060058594,27.352676391601562,10.522149085998535,12.863871574401855,24.491430282592773
1,3,Bbmin7,Bb,4.0,68.8927993774414,157.6419677734375,154.23052978515625,497.0068359375,194.16290283203125,665.4636840820312,248.1613311767578,922.2835083007812,238.1310272216797,67.16577911376953,89.47086334228516,43.304656982421875
2,4,Abmaj7,Ab,6.0,101.34335327148438,51.936492919921875,89.35767364501953,401.1191711425781,82.82396697998047,74.24793243408203,19.518260955810547,52.45889663696289,39.62434768676758,14.463839530944824,15.151165008544922,24.486738204956055
3,5,Bbmin7,Bb,8.0,70.14692687988281,158.0769500732422,114.88195037841797,511.35107421875,197.48573303222656,668.26611328125,186.99659729003906,154.51327514648438,121.1042251586914,79.39165496826172,98.50494384765625,40.822235107421875
4,6,Abmaj7,Ab,10.0,100.86165618896484,51.55173110961914,90.18476104736328,400.3458251953125,82.54655456542969,73.77377319335938,22.425474166870117,69.74229431152344,27.898481369018555,11.483376502990723,14.685905456542969,24.33783721923828
5,7,Bbmin7,Bb,12.0,68.5621109008789,156.68199157714844,129.8044891357422,489.8554992675781,192.6976318359375,662.8125,213.7528533935547,645.5938110351562,190.2850341796875,65.19412994384766,87.77316284179688,41.08176040649414
6,8,Abmaj7,Ab,14.0,101.34203338623047,51.93196487426758,89.3475341796875,401.1036376953125,82.82071685791016,74.24714660644531,19.522302627563477,52.46009826660156,39.62158966064453,14.46484088897705,15.151859283447266,24.48853302001953
7,9,Bbmin7,Bb,16.0,1785.9822998046875,674.2578735351562,2053.33056640625,10555.1962890625,2038.9334716796875,615.8843383789062,290.2518310546875,856.8649291992188,1651.2586669921875,355.0857238769531,365.1644592285156,418.400146484375
8,10,Ab,Ab,18.0,7771.689453125,1666.6802978515625,1531.984375,5017.43359375,1702.4903564453125,4291.07470703125,1033.8663330078125,1047.0797119140625,2281.322509765625,2417.60595703125,13224.0849609375,2993.805908203125
9,14,Abmaj7,Ab,26.0,988.8637084960938,1476.4710693359375,288.20001220703125,239.7966766357422,518.252685546875,2758.333984375,557.69921875,221.13792419433594,917.41943359375,507.0628356933594,1607.8492431640625,1498.6737060546875
10,15,Bbmin7,Bb,28.0,1362.6429443359375,358.2725830078125,515.181884765625,2157.202392578125,759.9777221679688,275.6802673339844,283.45831298828125,1436.41845703125,1634.59423828125,542.0825805664062,1566.7872314453125,578.1642456054688
11,16,Abmaj7,Ab,30.0,456.4641418457031,1385.8861083984375,263.9940490722656,219.3730926513672,469.159912109375,2510.3994140625,498.593017578125,237.9518280029297,1001.082763671875,544.23486328125,1479.6331787109375,342.970458984375
12,17,Bbmin7,Bb,32.0,1401.9063720703125,360.548095703125,578.999267578125,2157.430419921875,702.4497680664062,249.36846923828125,565.83447265625,3837.633056640625,1705.5947265625,302.812744140625,192.3737030029297,377.5688171386719
13,18,Abmaj7,Ab,34.0,990.8616333007812,1486.484375,289.6357116699219,242.4215850830078,516.352783203125,2754.633056640625,558.3057861328125,222.08575439453125,918.400634765625,507.2255859375,1604.9864501953125,1498.7532958984375
14,19,Bbmin7,Bb,36.0,4102.14208984375,795.2330932617188,495.0462341308594,2091.34619140625,678.9089965820312,247.3685302734375,246.61375427246094,1327.0391845703125,1362.8265380859375,300.7397155761719,168.24334716796875,791.521728515625
15,20,Abmaj7,Ab,38.0,455.7198791503906,1386.3343505859375,263.7277526855469,219.1965789794922,468.4093933105469,2509.123046875,494.5909729003906,240.26600646972656,1006.8042602539062,539.4169311523438,1449.1290283203125,338.497802734375
16,21,Bbmin7,Bb,40.0,1399.7454833984375,349.6974792480469,469.6910400390625,2122.350341796875,700.7019653320312,240.39744567871094,238.1422576904297,1338.9564208984375,1310.7232666015625,290.682373046875,182.05552673339844,355.6286315917969
17,22,Abmaj7,Ab,42.0,836.0529174804688,1445.5281982421875,276.3965148925781,220.91033935546875,533.3944702148438,2711.221435546875,518.1170043945312,345.2052307128906,961.3667602539062,470.7080078125,1416.5323486328125,397.6593322753906
18,23,Bbmin7,Bb,44.0,1430.79296875,355.1460266113281,470.2900085449219,2124.121826171875,701.3638305664062,240.2947540283203,237.72894287109375,1339.92822265625,1306.8671875,282.3349609375,139.71449279785156,354.3058166503906
19,24,Abmaj7,Ab,46.0,836.021728515625,1445.4202880859375,276.38409423828125,220.9115753173828,533.3966674804688,2711.254638671875,518.12353515625,345.2104187011719,961.3975219726562,470.7448425292969,1416.7685546875,397.6947937011719
20,25,Bbmin7,Bb,48.0,1417.76025390625,353.3392639160156,474.965087890625,2126.182373046875,697.86572265625,233.7749481201172,230.79200744628906,1386.7711181640625,1719.33251953125,354.5549011230469,148.09898376464844,356.0165100097656
