,Measure,StolenMoments,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,1782.8155517578125,435.8096923828125,916.73974609375,3190.123046875,925.3607788085938,219.83543395996094,495.1424865722656,3021.543701171875,556.2967529296875,364.687255859375,1939.5189208984375,749.24755859375
1,2,Dmin7,D,2.0,2317.357421875,795.2678833007812,1923.3536376953125,524.20556640625,920.3134765625,3624.086669921875,817.9228515625,213.5817413330078,503.068115234375,3021.166015625,528.9161987304688,389.1228332519531
2,3,Ebmaj7,Eb,4.0,210.5933074951172,478.6954345703125,2941.3603515625,3468.931640625,643.5763549804688,314.5357360839844,318.0502624511719,1496.716796875,325.00616455078125,812.38427734375,4790.07666015625,832.2842407226562
3,4,Dmin7,D,6.0,2033.46630859375,749.42236328125,1829.0931396484375,510.0269775390625,926.9397583007812,3656.493408203125,818.0944213867188,213.77015686035156,507.3471374511719,3035.085693359375,530.826171875,346.2331848144531
4,5,Cmin7,C,8.0,898.92236328125,262.5556640625,559.9506225585938,1511.1116943359375,468.9974670410156,268.97308349609375,378.0022888183594,2016.0889892578125,382.3299560546875,272.450927734375,1458.2464599609375,483.8577575683594
5,6,Cmin6,C,10.0,2798.448486328125,717.5723266601562,794.59375,3081.5419921875,999.180908203125,270.5666198730469,353.1191101074219,1817.2442626953125,703.960205078125,2782.127197265625,1241.2962646484375,766.2622680664062
6,7,Cmin7,C,12.0,2330.055908203125,522.5610961914062,919.2621459960938,3132.639404296875,923.2108764648438,243.3094940185547,522.5104370117188,3192.096435546875,591.0155639648438,434.002685546875,2274.33447265625,916.84814453125
7,8,Cmin6,C,14.0,2821.755615234375,715.9252319335938,813.1669921875,3145.539306640625,1006.7314453125,238.47027587890625,342.6585693359375,1800.6890869140625,701.3857421875,2768.8037109375,1080.868408203125,743.2957153320312
8,9,Fmin7,F,16.0,7281.74072265625,1518.9722900390625,1861.857421875,8594.322265625,3360.03515625,3978.583740234375,888.34228515625,3006.959716796875,9776.7392578125,1881.0723876953125,530.3307495117188,1462.0814208984375
9,11,Cmin7,C,20.0,24914.103515625,5805.3046875,11771.546875,47890.8125,12548.6298828125,6502.06591796875,8639.7421875,50450.80078125,14217.3544921875,44499.43359375,49571.51953125,11954.1142578125
10,17,Dmin7,D,32.0,572.6738891601562,282.1566467285156,603.8084106445312,216.8741912841797,372.1280517578125,1209.4105224609375,342.5048828125,70.61766815185547,83.16191101074219,342.5533447265625,101.15201568603516,137.8905792236328
11,17,Ebmin7,Eb,33.0,428.3569030761719,541.6596069335938,369.9374694824219,929.58642578125,232.6511993408203,536.4403076171875,1094.16162109375,209.87696838378906,59.500186920166016,132.66477966308594,552.883544921875,160.37893676757812
12,18,C/E,C,34.0,359.1315612792969,99.33989715576172,88.091552734375,235.9385986328125,119.76849365234375,65.82515716552734,128.51463317871094,55.43777084350586,14.992098808288574,14.089146614074707,45.18819808959961,68.75648498535156
13,18,Fmin7,F,35.0,780.0908813476562,188.21282958984375,255.89012145996094,820.334716796875,705.3821411132812,472.3002624511719,156.62806701660156,419.7139892578125,541.0590209960938,137.54774475097656,62.942325592041016,208.39361572265625
14,19,Cmin7,C,36.0,1411.4542236328125,449.5909118652344,1052.1773681640625,3783.445556640625,1156.9671630859375,599.2467651367188,425.373046875,1935.4378662109375,472.4120788574219,1092.6185302734375,4327.73388671875,1013.912841796875
15,20,G7,G,38.0,1811.2626953125,1284.9744873046875,4513.86474609375,2640.345947265625,3133.4013671875,14606.7626953125,5308.78076171875,10901.2314453125,1844.4857177734375,1030.0804443359375,1632.92578125,7547.60009765625
