,Measure,StormyMonday,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G9,G,0.0,318.07720947265625,411.1260681152344,1385.0556640625,524.4566040039062,593.8073120117188,2313.971923828125,969.0894165039062,1065.646240234375,350.3666076660156,1053.6104736328125,433.2672119140625,1221.8973388671875
1,1,Ab9,Ab,1.5,1140.8719482421875,358.83642578125,854.815673828125,1657.43896484375,523.2057495117188,692.98779296875,2311.2470703125,778.78857421875,1084.4364013671875,597.4525146484375,1263.0313720703125,507.9271240234375
2,2,G9,G,3.0,385.6222839355469,401.5157165527344,1169.61669921875,581.0272827148438,595.9456176757812,2340.887939453125,987.84326171875,1085.1898193359375,361.9351501464844,1029.2550048828125,449.3077697753906,1242.5587158203125
3,2,G,G,4.5,43.987789154052734,81.4587173461914,399.2785339355469,115.33336639404297,48.02910232543945,178.87921142578125,104.47329711914062,88.4330825805664,29.572561264038086,235.00238037109375,506.4320983886719,115.3440933227539
4,3,D,D,6.0,218.5629425048828,1185.4493408203125,5093.4267578125,978.5216674804688,407.6210021972656,1382.7420654296875,6962.458984375,1166.15673828125,454.4455261230469,2616.668701171875,546.7155151367188,188.15516662597656
5,4,G9,G,9.0,882.4098510742188,868.5755004882812,2426.751708984375,1355.1500244140625,2012.92529296875,7273.32177734375,3188.497314453125,7597.8984375,2298.043212890625,6399.85498046875,2571.372314453125,3925.888671875
6,5,C9,C,12.0,3554.868896484375,1192.9161376953125,3864.390869140625,1987.5086669921875,7332.072265625,1418.3055419921875,582.8159790039062,2833.740478515625,687.3082885742188,713.0115356445312,3168.827392578125,1472.8643798828125
7,6,G9,G,15.0,314.8201599121094,308.58099365234375,737.7938842773438,452.4135437011719,845.659912109375,2308.21044921875,917.88427734375,1060.8375244140625,379.7525939941406,854.8609008789062,384.6984558105469,1215.7232666015625
8,6,Ab9,Ab,16.5,1112.8787841796875,307.91351318359375,536.6218872070312,1603.8656005859375,520.3347778320312,669.7300415039062,2268.89892578125,778.0878295898438,1062.6500244140625,393.822265625,1221.7725830078125,495.0083312988281
9,7,G9,G,18.0,1081.46484375,867.8720092773438,2030.9893798828125,1497.0758056640625,1659.4853515625,7184.68408203125,2606.787109375,3226.994140625,932.2698364257812,2420.239013671875,1125.5572509765625,3697.046630859375
10,8,C9,C,21.0,3532.2353515625,1184.4447021484375,3849.056640625,1985.7236328125,7323.60498046875,1416.92578125,619.1265869140625,2958.052490234375,707.1942749023438,715.9888305664062,3181.364990234375,1469.4473876953125
11,9,C#dim7,C#,24.0,62.77262496948242,11.713377952575684,16.098526000976562,33.20829391479492,123.62779998779297,42.50359344482422,35.97433090209961,218.06883239746094,41.3941650390625,8.012495994567871,24.07444190979004,24.045196533203125
12,10,G9,G,27.0,331.2290344238281,460.4726257324219,801.5038452148438,444.9920349121094,895.0653686523438,2468.532470703125,1064.8729248046875,1888.9010009765625,481.2473449707031,1223.30517578125,3274.1943359375,1587.3018798828125
13,10,Amin7,A,28.5,1094.4849853515625,283.8799133300781,318.76800537109375,426.9410705566406,1864.3828125,495.6544494628906,203.7056427001953,955.232421875,449.6005554199219,1046.9427490234375,276.02142333984375,458.7958068847656
14,11,Bmin7,B,30.0,283.9928894042969,383.0577697753906,1268.8990478515625,514.2825317382812,295.3677062988281,511.6162414550781,2457.290283203125,455.0174865722656,177.875732421875,808.544189453125,384.8795166015625,1139.61572265625
15,11,Bbmin7,Bb,31.5,354.9862365722656,1065.11181640625,276.584716796875,157.4874267578125,463.6111145019531,1945.6522216796875,387.8216552734375,179.31678771972656,850.3655395507812,468.3316955566406,1219.0372314453125,318.6993103027344
16,12,D9,D,33.0,3754.896484375,1140.60302734375,1333.7784423828125,1395.0986328125,6080.97119140625,2336.81396484375,3396.053955078125,1079.22705078125,1167.8284912109375,3120.689453125,810.4697265625,970.3363647460938
17,13,Eb9,Eb,36.0,330.8688049316406,1194.77099609375,788.9705200195312,807.3650512695312,590.2417602539062,1958.759765625,595.1190185546875,1064.1776123046875,351.5318603515625,407.2477111816406,1194.1927490234375,266.31842041015625
18,13,D9,D,37.5,728.2373657226562,256.7623596191406,272.220703125,382.7432556152344,1360.2694091796875,543.6443481445312,699.318359375,250.2045440673828,206.9161834716797,569.6729125976562,861.7697143554688,279.51611328125
19,14,G7,G,39.0,383.413818359375,257.1144104003906,760.428466796875,482.5018005371094,635.7508544921875,2378.8212890625,1266.1055908203125,2986.535400390625,565.0186767578125,294.7871398925781,742.5120239257812,1252.979736328125
20,14,C9,C,40.5,1143.905029296875,397.3509521484375,1202.4605712890625,666.6273803710938,2336.426513671875,581.2616577148438,215.35987854003906,899.393310546875,245.23663330078125,253.90924072265625,1045.7772216796875,596.7167358398438
21,15,G9,G,42.0,362.0602111816406,334.0756530761719,796.8385620117188,469.2052001953125,687.810791015625,2325.9619140625,906.4463500976562,1087.7857666015625,336.8270568847656,831.5199584960938,397.627197265625,1199.8087158203125
