,Measure,SummerSamba,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,4455.33056640625,916.1710815429688,750.6212768554688,1902.5657958984375,9816.7216796875,1712.70166015625,1548.318359375,7859.970703125,2461.55712890625,5942.431640625,2035.8634033203125,5228.16650390625
1,3,F#min7,F#,4.0,479.4211730957031,2072.358642578125,551.2007446289062,711.76025390625,3181.260498046875,1209.9635009765625,1836.4549560546875,1837.2523193359375,1061.6507568359375,2260.30126953125,480.3146057128906,247.64244079589844
2,4,B7,B,6.0,379.8238830566406,391.4375305175781,798.7070922851562,3278.060546875,646.0453491210938,733.638671875,3935.543212890625,2184.302978515625,591.2459106445312,1747.8892822265625,783.9003295898438,1828.8931884765625
3,5,Fmaj7,F,8.0,7284.79736328125,1517.77880859375,1159.92626953125,2515.021728515625,10835.33203125,5245.1962890625,1177.7052001953125,1414.91552734375,2716.217529296875,12144.7177734375,2173.824462890625,1872.890625
4,7,Bb7,Bb,12.0,1563.6038818359375,1408.3238525390625,6365.21826171875,1892.5604248046875,2340.259521484375,9173.603515625,2186.473876953125,1516.94091796875,6977.67333984375,3039.384033203125,5393.86767578125,1100.1082763671875
5,9,Emin7,E,16.0,383.9634704589844,438.9579772949219,2525.926025390625,1044.7244873046875,3387.998779296875,643.3628540039062,352.0550537109375,1576.1610107421875,393.3913269042969,188.45794677734375,333.3932189941406,1999.6854248046875
6,10,A7,A,18.0,419.9703369140625,1812.4739990234375,467.6907043457031,631.8573608398438,2770.819091796875,787.0626831054688,330.5578918457031,1650.11328125,901.9939575195312,1644.0816650390625,328.1080627441406,281.48504638671875
7,11,Dmin7,D,20.0,2023.5555419921875,790.0360717773438,1839.34521484375,581.8322143554688,1590.53271484375,3776.740966796875,835.6491088867188,226.6002197265625,313.9946594238281,1251.8984375,244.8321990966797,361.1560363769531
8,12,Bmin7(b5),B,22.0,133.64207458496094,191.13006591796875,582.6630249023438,233.67901611328125,89.74859619140625,263.6665344238281,1168.8043212890625,213.9109649658203,93.55313873291016,422.4530029296875,192.58277893066406,530.6942749023438
9,12,E7,E,23.0,194.26795959472656,141.19842529296875,779.668212890625,387.1798095703125,958.0335083007812,223.57057189941406,232.76634216308594,308.1831359863281,491.8721923828125,128.3765411376953,172.1136932373047,928.4955444335938
10,13,Amin7,A,24.0,1757.1090087890625,464.8812561035156,817.7405395507812,752.7221069335938,3179.240966796875,632.238525390625,417.5885009765625,1616.5780029296875,821.882080078125,1868.3018798828125,446.3415832519531,808.20947265625
11,14,D7,D,26.0,2368.076171875,888.3389282226562,2056.522705078125,472.3009948730469,316.890380859375,722.4502563476562,3880.417724609375,711.5569458007812,249.37109375,1241.7210693359375,283.51153564453125,404.9295349121094
12,15,Dmin7,D,28.0,3173.7646484375,967.33349609375,1905.9339599609375,484.7950134277344,943.9179077148438,3659.083251953125,917.9085083007812,460.3478088378906,551.07763671875,2868.4560546875,503.2515869140625,510.6927795410156
13,16,Ab7,Ab,30.0,481.4122314453125,143.50831604003906,207.95863342285156,758.72607421875,438.0598449707031,306.1968688964844,1132.78857421875,407.524658203125,518.0304565429688,130.05909729003906,63.718021392822266,133.8594512939453
14,16,G7,G,31.0,224.34010314941406,136.2522735595703,358.8201599121094,444.7837219238281,305.6266174316406,1127.921630859375,608.8303833007812,536.9845581054688,137.92359924316406,111.7506103515625,144.10064697265625,577.5967407226562
15,17,D7,D,32.0,2386.119873046875,912.1078491210938,2254.968994140625,626.856689453125,1066.849853515625,1740.1685791015625,4101.79052734375,755.0021362304688,313.97113037109375,1285.90087890625,343.9601745605469,660.2503051757812
16,18,G7,G,34.0,496.92431640625,342.3399658203125,1068.7294921875,625.6888427734375,768.17041015625,3775.500244140625,1380.8946533203125,1649.32958984375,341.4015808105469,293.0907897949219,426.3351135253906,1921.6085205078125
17,19,Cmaj7,C,36.0,2125.869384765625,712.9560546875,831.7903442382812,826.4247436523438,3851.732421875,834.5842895507812,420.5612487792969,1479.8331298828125,493.9802551269531,358.2159423828125,400.2864990234375,2295.886474609375
18,20,F7,F,38.0,2130.58642578125,801.1692504882812,1143.220458984375,3432.466552734375,1859.6416015625,1418.2823486328125,346.1222229003906,449.4694519042969,662.4469604492188,1871.9534912109375,479.7354736328125,519.0341796875
19,21,Cmaj7,C,40.0,3081.718994140625,559.3220825195312,218.559814453125,914.83740234375,3943.335205078125,750.9436645507812,364.7397766113281,1733.5101318359375,410.9975280761719,172.66900634765625,340.8828430175781,2262.332275390625
20,22,Dmi7,D,42.0,631.0780639648438,244.4307098388672,550.5220336914062,171.88600158691406,283.62982177734375,1042.5330810546875,273.4305725097656,67.1845703125,87.86650848388672,417.5483093261719,89.1039047241211,118.68032836914062
21,22,G7,G,43.0,1155.1365966796875,687.6718139648438,2349.440185546875,1183.1905517578125,1430.2763671875,6712.92333984375,2319.781005859375,3054.912841796875,651.1443481445312,823.1358032226562,839.7775268554688,3764.9873046875
