,Measure,SweetEmma,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,C7,C,2.0,167.47801208496094,52.34714126586914,165.5603485107422,150.85435485839844,685.02490234375,119.84994506835938,359.7138366699219,2518.610595703125,589.6116943359375,1172.093505859375,288.67547607421875,93.1402816772461
1,4,G7,G,6.0,234.74415588378906,267.923828125,1416.0943603515625,472.8504333496094,1251.57666015625,3179.009033203125,626.460205078125,123.12928009033203,146.3205108642578,311.0592956542969,288.3675842285156,1065.970703125
2,8,C7,C,14.0,156.3494873046875,25.84008026123047,17.420351028442383,95.79358673095703,618.5746459960938,91.5982437133789,14.40843677520752,77.78642272949219,16.09633445739746,17.980451583862305,100.13312530517578,64.25138854980469
3,10,C7,C,18.0,117.28036499023438,91.72244262695312,484.6849060058594,281.50811767578125,1001.4370727539062,202.34759521484375,58.1717414855957,72.14478302001953,209.69178771972656,170.7852325439453,92.81604766845703,203.314453125
4,11,E7,E,20.0,271.1408386230469,73.0539779663086,75.2540283203125,110.17922973632812,489.9947814941406,82.59676361083984,39.515811920166016,193.0100860595703,116.44719696044922,176.4491729736328,60.95713424682617,112.33096313476562
5,12,Amin7,A,22.0,351.1107177734375,82.3327407836914,30.569604873657227,145.3103790283203,716.4413452148438,125.71234130859375,58.119659423828125,293.6483459472656,84.97675323486328,71.2545166015625,321.6438293457031,164.6192169189453
6,12,C7,C,23.0,280.544189453125,57.26115417480469,28.33941650390625,35.44813537597656,184.04954528808594,408.7084045410156,144.35328674316406,46.173458099365234,30.5625,136.12220764160156,36.56180953979492,63.93397521972656
7,13,F,F,24.0,123.6961898803711,50.23341369628906,172.26295471191406,35.99411392211914,44.43019104003906,100.59814453125,175.9109344482422,47.79403305053711,21.57105255126953,125.14810180664062,37.69403839111328,34.07771301269531
8,13,F#dim,F#,25.0,164.2520294189453,39.679561614990234,48.08049011230469,101.47509765625,479.3951721191406,105.97811126708984,56.98788070678711,216.61785888671875,72.41975402832031,54.941497802734375,19.87272071838379,48.920806884765625
9,14,C,C,26.0,100.70235443115234,18.036725997924805,4.561897277832031,40.26908493041992,249.0066680908203,63.760128021240234,13.929726600646973,21.25845718383789,14.56188678741455,28.44927215576172,7.515680313110352,25.455869674682617
10,14,Amin,A,27.0,62.6317138671875,51.693206787109375,202.1800994873047,49.39543151855469,105.57010650634766,370.0664367675781,90.09329986572266,20.163843154907227,27.914466857910156,131.52288818359375,22.573572158813477,26.4119873046875
11,15,Dmin,D,28.0,46.405975341796875,41.56978225708008,112.64544677734375,52.77824401855469,166.61721801757812,419.6823425292969,136.74476623535156,338.5522155761719,274.25152587890625,1466.1741943359375,261.1799621582031,173.1426239013672
12,15,G7,G,29.0,187.25221252441406,36.51526641845703,35.83792495727539,78.50547790527344,434.443603515625,127.71651458740234,49.825321197509766,203.9702911376953,51.67536926269531,9.200654983520508,13.374693870544434,76.07029724121094
13,16,C,C,30.0,166.08970642089844,33.85593032836914,18.272794723510742,21.01862907409668,130.35379028320312,377.9254150390625,69.42667388916016,23.17262840270996,44.71076583862305,205.7345733642578,34.380584716796875,54.57674026489258
14,16,F,F,31.0,304.7011413574219,51.86944580078125,11.88586139678955,72.34004974365234,427.083251953125,127.985107421875,45.956111907958984,199.52362060546875,54.24741744995117,19.06340980529785,9.095734596252441,69.49494171142578
15,17,C,C,32.0,943.6344604492188,204.578125,75.1091079711914,143.67706298828125,840.6720581054688,417.475830078125,86.88166046142578,376.7313232421875,980.7323608398438,6368.68115234375,971.8949584960938,215.9256134033203
