,Measure,Take Ten,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,892.8087768554688,349.8338623046875,844.8302612304688,209.32704162597656,398.9279479980469,1588.6649169921875,385.3957824707031,101.4942855834961,123.47866821289062,608.8697509765625,139.6829833984375,155.10308837890625
1,1,G13,G,1.25,247.19212341308594,117.4519271850586,160.97044372558594,107.49649810791016,245.3164520263672,459.3775634765625,215.8587188720703,156.28424072265625,330.17364501953125,2003.1754150390625,366.2502746582031,275.5455627441406
2,2,Dmin7,D,2.5,895.166748046875,398.8372802734375,999.4453735351562,258.5005187988281,491.6318054199219,1535.5750732421875,406.92529296875,143.1534881591797,351.61962890625,2112.781005859375,406.9686279296875,326.7929382324219
3,2,G13,G,3.75,225.7822723388672,113.9554443359375,282.7814025878906,102.49858856201172,163.3272247314453,435.4081115722656,188.83558654785156,137.30560302734375,66.8997573852539,135.33587646484375,71.1530990600586,191.223876953125
4,3,Dmin7,D,5.0,878.4498901367188,378.9692687988281,984.3505859375,229.18043518066406,381.1693420410156,1495.23779296875,370.2705383300781,121.22254180908203,118.88953399658203,548.22998046875,162.4978790283203,273.8377685546875
5,3,G13,G,6.25,254.27134704589844,115.22814178466797,143.37942504882812,107.94483184814453,247.74603271484375,457.5622863769531,217.27845764160156,155.64439392089844,330.3418273925781,2003.6435546875,368.3150329589844,293.7371520996094
6,4,Dmin7,D,7.5,887.0671997070312,391.9745788574219,1007.4041137695312,254.0793914794922,489.8323669433594,1538.21826171875,394.8110656738281,306.5682678222656,422.6687927246094,2449.989990234375,451.913818359375,279.7983703613281
7,4,G13,G,8.75,219.3871612548828,91.41781616210938,136.31707763671875,85.17668914794922,165.580810546875,435.0580749511719,181.09686279296875,134.97036743164062,71.04553985595703,187.1332550048828,78.09764099121094,190.260498046875
8,5,Dmin7,D,10.0,878.2930297851562,372.077392578125,971.5432739257812,230.6834259033203,381.414306640625,1495.1925048828125,369.7473449707031,121.1876449584961,118.7905044555664,547.3536987304688,162.3660888671875,273.923583984375
9,5,G13,G,11.25,248.5018310546875,118.24982452392578,163.73915100097656,109.30846405029297,246.0489044189453,461.1528625488281,218.3823699951172,155.443115234375,330.2961120605469,2006.4815673828125,368.6305236816406,293.1855773925781
10,6,Dmin7,D,12.5,895.0542602539062,398.7061767578125,998.813232421875,258.4027404785156,491.6800231933594,1535.5076904296875,406.8919677734375,143.0150604248047,351.6048583984375,2112.757568359375,406.7837829589844,325.8477478027344
11,6,G13,G,13.75,225.78163146972656,113.95562744140625,282.786376953125,102.50027465820312,163.32806396484375,435.410888671875,188.83592224121094,137.30580139160156,66.89945220947266,135.33604431152344,71.1529769897461,191.22154235839844
12,7,Dmin7,D,15.0,879.826416015625,377.017578125,984.1279296875,228.83128356933594,378.9480285644531,1495.7945556640625,370.8565979003906,121.23017120361328,118.8641586303711,549.5564575195312,161.92430114746094,274.44287109375
13,7,G13,G,16.25,249.11871337890625,218.7281494140625,994.5896606445312,228.53050231933594,283.16070556640625,478.1244812011719,213.8311004638672,156.2026824951172,107.3791732788086,169.64173889160156,83.54877471923828,219.86322021484375
14,8,Dmin7,D,17.5,1090.570556640625,297.7740173339844,754.712646484375,151.00193786621094,89.36205291748047,339.8509216308594,75.44770812988281,60.0465202331543,38.8323974609375,73.80805206298828,71.25702667236328,318.660400390625
15,8,G13,G,18.75,750.4535522460938,235.6414337158203,550.04296875,125.53560638427734,203.21177673339844,982.6481323242188,200.8427734375,47.12235641479492,48.28076171875,244.13169860839844,59.46966552734375,159.14378356933594
16,9,Dmin7,D,20.0,468.262939453125,308.4172058105469,1496.6663818359375,263.8123779296875,147.0205841064453,611.8855590820312,198.46173095703125,229.46630859375,104.42361450195312,245.80702209472656,103.6390609741211,307.18414306640625
17,9,G13,G,21.25,216.09600830078125,69.18213653564453,159.54200744628906,37.10671615600586,93.9881820678711,444.5113830566406,61.9045295715332,9.781818389892578,78.67371368408203,478.2251281738281,90.20206451416016,63.6573371887207
18,10,Bbmin7,Bb,22.5,766.371337890625,928.7572631835938,342.6736145019531,170.7596435546875,438.9713134765625,1841.3651123046875,483.3591613769531,729.3322143554688,792.9878540039062,559.0599365234375,1049.998291015625,540.8192749023438
19,10,Eb9,Eb,23.75,51.93380355834961,77.12882232666016,105.23602294921875,97.26886749267578,68.54322814941406,230.77699279785156,169.35072326660156,950.104736328125,1336.9066162109375,210.1711883544922,20.479766845703125,52.33976364135742
20,11,Abmin7,Ab,25.0,201.2698211669922,280.1962585449219,400.5046081542969,1546.8563232421875,336.396728515625,727.130615234375,1794.7049560546875,747.7980346679688,790.7667846679688,229.42115783691406,339.0658264160156,866.5853881835938
21,11,F7,F,26.25,26.685029983520508,31.237886428833008,69.79285430908203,258.40386962890625,70.15985107421875,206.37840270996094,122.6581802368164,35.96501541137695,13.941128730773926,16.552947998046875,32.27083969116211,81.52489471435547
22,12,Bbmin7,Bb,27.5,664.498779296875,1784.5609130859375,406.6641540527344,689.4413452148438,548.3609008789062,1647.0550537109375,333.6098937988281,173.79090881347656,634.173095703125,466.5427551269531,969.1357421875,302.9008483886719
23,12,Eb9,Eb,28.75,208.14613342285156,769.8764038085938,373.04833984375,361.9758605957031,268.6556091308594,869.8038940429688,298.0002136230469,471.1064758300781,201.97679138183594,201.3105010986328,466.666748046875,140.97467041015625
24,13,Bbmin7,Bb,30.0,4639.962890625,3763.6767578125,962.6608276367188,819.2003784179688,1194.4432373046875,4962.9501953125,895.7523803710938,523.7532958984375,1819.7408447265625,972.423583984375,2686.974853515625,1075.3284912109375
25,14,Gmin7,G,32.5,509.9090270996094,472.8726806640625,1623.8946533203125,327.385986328125,381.4512634277344,1321.1484375,517.1786499023438,737.8895874023438,223.052978515625,355.2102355957031,856.8628540039062,249.1741485595703
26,14,C9,C,33.75,198.6749267578125,151.58189392089844,612.0110473632812,220.11534118652344,524.5664672851562,399.919189453125,137.77554321289062,171.2746124267578,91.14139556884766,97.19976043701172,141.4123077392578,120.97083282470703
27,15,Fmin7,F,35.0,2341.664794921875,537.1266479492188,1044.2362060546875,1390.5904541015625,979.412109375,759.499755859375,183.1956024169922,373.8748474121094,773.256103515625,225.3456573486328,161.3089141845703,427.9512634277344
28,15,D7,D,36.25,434.080322265625,174.6888427734375,791.8633422851562,285.4982604980469,69.06684875488281,77.38379669189453,21.50550651550293,28.043312072753906,18.152013778686523,24.574064254760742,27.21478271484375,86.337646484375
29,16,Gmin7,G,37.5,697.43994140625,340.3380432128906,845.504150390625,255.39300537109375,342.5015869140625,1363.9647216796875,997.5112915039062,849.9204711914062,275.7958068847656,601.802490234375,1969.1168212890625,429.6598205566406
30,16,C9,C,38.75,1476.4346923828125,422.4149169921875,1389.4404296875,346.57666015625,387.3433837890625,273.9331970214844,113.21475219726562,182.01576232910156,95.49563598632812,194.17372131347656,756.1622924804688,408.1661682128906
31,17,Emin7,E,40.0,413.8214416503906,348.5846862792969,1356.48583984375,569.8098754882812,1473.4893798828125,340.2926330566406,230.874267578125,809.0444946289062,266.0442810058594,737.261962890625,770.29931640625,1038.63232421875
32,17,A7,A,41.25,72.32128143310547,161.504638671875,83.25202178955078,101.23699951171875,402.4758605957031,112.84424591064453,53.73411178588867,165.28244018554688,96.49978637695312,155.51144409179688,50.99446487426758,46.96876907348633
33,18,Dmin7,D,42.5,866.4885864257812,453.6518249511719,857.7307739257812,222.9881134033203,630.4034423828125,1640.9095458984375,389.3019104003906,157.76687622070312,134.91024780273438,597.0564575195312,147.1864013671875,159.7248077392578
34,18,G13,G,43.75,252.5038299560547,158.32008361816406,317.7141418457031,138.14590454101562,303.43829345703125,476.5228271484375,227.1709747314453,166.564697265625,338.8392333984375,1999.0123291015625,368.1100769042969,279.2805480957031
35,19,Dmin7,D,45.0,931.7733764648438,431.063720703125,1056.7216796875,269.7655334472656,492.9821472167969,1530.3487548828125,407.3174743652344,143.2069549560547,353.720703125,2105.30126953125,406.7602844238281,333.17352294921875
36,19,G13,G,46.25,229.84934997558594,111.90254974365234,255.1140594482422,101.53536987304688,171.26087951660156,434.355224609375,184.8590545654297,136.51150512695312,67.54608154296875,137.12648010253906,72.22534942626953,192.62860107421875
37,20,Dmin7,D,47.5,875.4526977539062,385.89111328125,1031.4542236328125,244.1081085205078,399.6822814941406,1492.3382568359375,370.4252014160156,123.05838775634766,119.78685760498047,551.8297729492188,163.2200164794922,272.4638671875
38,20,G13,G,48.75,253.22393798828125,116.02849578857422,150.34498596191406,108.6435775756836,248.39952087402344,459.2795715332031,217.47198486328125,155.2951202392578,331.8055725097656,2005.4775390625,369.4053955078125,293.1734313964844
39,21,Dmin7,D,50.0,887.2379760742188,394.9298400878906,1027.0552978515625,255.51255798339844,495.7641296386719,1539.4957275390625,394.6717529296875,302.6097106933594,422.3572082519531,2450.34521484375,452.4940490722656,279.5598449707031
40,21,G13,G,51.25,219.64955139160156,91.56212615966797,138.07232666015625,86.08273315429688,169.12413024902344,436.9044494628906,180.53993225097656,134.73788452148438,71.45762634277344,186.12022399902344,78.14329528808594,189.86187744140625
41,22,Dmin7,D,52.5,876.4076538085938,370.2308654785156,964.6298828125,228.91685485839844,378.9095458984375,1495.0140380859375,369.5179443359375,121.16742706298828,118.5943603515625,546.4031372070312,162.26539611816406,272.90020751953125
42,22,G13,G,53.75,254.628662109375,135.19918823242188,281.9966735839844,121.23131561279297,245.34742736816406,462.22705078125,223.6949462890625,157.7940216064453,335.3654479980469,2007.11669921875,370.8211975097656,294.3448181152344
43,23,Dmin7,D,55.0,895.4992065429688,409.7270812988281,1050.4278564453125,264.2046203613281,491.8634033203125,1535.9888916015625,407.2264709472656,143.04177856445312,351.744873046875,2114.073974609375,406.5828857421875,325.8824157714844
44,23,G13,G,56.25,225.27845764160156,109.70922088623047,256.7602233886719,99.06329345703125,162.47764587402344,436.507080078125,187.65415954589844,137.14878845214844,66.72449493408203,134.91343688964844,71.01610565185547,191.33302307128906
45,24,Dmin7,D,57.5,877.7133178710938,384.8277282714844,1031.7113037109375,237.6643829345703,381.8142395019531,1495.6373291015625,369.7510681152344,120.98321533203125,118.89859008789062,548.9557495117188,162.68885803222656,273.5540466308594
46,24,G13,G,58.75,250.3645782470703,227.89306640625,1053.07568359375,235.2546844482422,282.89337158203125,478.9222717285156,214.0337371826172,156.4369659423828,107.93804931640625,170.99542236328125,83.78206634521484,220.0467987060547
47,25,Dmin7,D,60.0,924.0575561523438,611.312255859375,2264.782958984375,428.4815368652344,435.7452087402344,1520.3135986328125,389.8056640625,130.13340759277344,137.7472381591797,554.0426635742188,183.74305725097656,283.948486328125
48,25,G13,G,61.25,219.3888397216797,95.0264892578125,166.0032501220703,89.7808609008789,165.1698760986328,436.0591125488281,180.74798583984375,134.8357696533203,64.43622589111328,136.32142639160156,71.18209075927734,190.23619079589844
49,26,Dmin7,D,62.5,887.8574829101562,492.3314208984375,1884.29052734375,380.8171691894531,440.9618225097656,1514.1011962890625,382.235107421875,127.58016204833984,130.3317108154297,545.1109008789062,173.3201446533203,279.1822204589844
50,26,G13,G,63.75,219.48619079589844,89.08260345458984,130.4544219970703,84.47073364257812,164.67970275878906,436.0345764160156,179.8685302734375,134.7085418701172,64.112548828125,135.8667755126953,71.08181762695312,190.2638702392578
51,27,Dmin7,D,65.0,878.2507934570312,371.1067810058594,961.4111938476562,228.74647521972656,381.474609375,1495.27734375,370.6987609863281,121.27685546875,118.82858276367188,547.5005493164062,162.3791961669922,273.9232482910156
52,27,G13,G,66.25,71.74372863769531,146.15391540527344,949.4794311523438,152.9434356689453,80.83222198486328,212.8199005126953,54.0484733581543,13.692015647888184,30.170732498168945,45.44007873535156,16.566967010498047,41.69797897338867
53,28,Dmin7,D,67.5,1060.50146484375,591.8594360351562,1821.615234375,395.2563781738281,559.2157592773438,1868.4454345703125,525.0822143554688,320.7798767089844,169.40032958984375,546.3345947265625,192.46356201171875,450.9276123046875
54,28,G13,G,68.75,51.07014465332031,15.688797950744629,49.771236419677734,17.619340896606445,33.42780685424805,191.40928649902344,39.522605895996094,5.0364909172058105,4.632358074188232,17.012948989868164,8.731145858764648,44.66789245605469
55,29,Dmin7,D,70.0,451.2168884277344,111.87799072265625,138.1343231201172,59.632633209228516,127.94741821289062,579.4903564453125,171.98890686035156,227.7963104248047,87.28821563720703,229.780517578125,102.61693572998047,314.8701477050781
56,29,G13,G,71.25,247.84197998046875,109.62244415283203,456.46142578125,95.67675018310547,123.94570922851562,430.1828308105469,78.49224853515625,18.976350784301758,44.3735237121582,146.97613525390625,47.30745315551758,79.43699645996094
57,30,Dmin7,D,72.5,917.3014526367188,763.87939453125,2936.8330078125,603.4646606445312,515.826171875,1654.8260498046875,557.4026489257812,495.131103515625,222.7093963623047,509.1866455078125,249.22401428222656,651.6034545898438
