,Measure,TakeMeThere,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin9,C,0.0,1831.56396484375,701.90185546875,2802.1455078125,3496.5068359375,938.2542114257812,233.00416564941406,298.7440490722656,1479.67236328125,331.77459716796875,420.2472229003906,1943.5355224609375,741.2189331054688
1,2,Dmin7,D,2.0,2461.505615234375,773.70751953125,1796.28515625,498.3616027832031,846.77490234375,3598.5390625,808.1244506835938,220.4718017578125,249.65106201171875,1257.2047119140625,289.1073303222656,403.4192199707031
2,3,Ebmaj9,Eb,4.0,254.41969299316406,382.0561218261719,1301.9989013671875,1317.6793212890625,820.86083984375,2984.774169921875,1084.6517333984375,1711.8045654296875,427.1865539550781,773.7978515625,1898.5513916015625,363.794677734375
3,4,Dmin7,D,6.0,594.2904052734375,243.57484436035156,563.8252563476562,167.4268341064453,287.6836853027344,1095.2861328125,278.7168884277344,72.27437591552734,88.88819122314453,425.9122619628906,100.38736724853516,107.3255615234375
4,4,G7,G,7.0,1194.4842529296875,704.55126953125,2349.08935546875,1171.4246826171875,1396.0833740234375,6852.27685546875,2359.599609375,3059.317626953125,646.9204711914062,820.4384155273438,836.2499389648438,3664.906982421875
5,6,Cmin7,C,10.0,1797.3701171875,738.87841796875,2726.09375,3290.941162109375,926.0072631835938,309.8193054199219,529.192138671875,3070.3486328125,566.2130737304688,409.2348937988281,2024.7386474609375,805.1100463867188
6,7,Dmin7,D,12.0,2468.56787109375,867.197998046875,2337.740478515625,582.2061767578125,853.2685546875,3602.974609375,829.9519653320312,224.87547302246094,265.2351379394531,1391.6151123046875,321.5732116699219,415.239013671875
7,8,Ebmaj7,Eb,14.0,178.6593475341797,475.9440002441406,2971.498291015625,3474.642822265625,635.081787109375,239.50355529785156,409.6686096191406,2421.05908203125,456.0643005371094,405.4895935058594,1902.7750244140625,410.3482971191406
8,9,Dmin7,D,16.0,592.8588256835938,236.4565887451172,538.7883911132812,166.2220001220703,300.06231689453125,1055.1676025390625,263.34259033203125,70.99463653564453,88.11309814453125,422.0829162597656,99.60525512695312,106.4424057006836
9,9,G9,G,17.0,67.08574676513672,17.657384872436523,46.00758743286133,25.90251350402832,35.6729736328125,204.9984893798828,31.366281509399414,2.95786452293396,4.675163745880127,24.427743911743164,7.582862854003906,10.771773338317871
10,10,Cmin7,C,18.0,1810.2154541015625,663.2088012695312,1821.8421630859375,3247.841796875,1176.70556640625,1680.0906982421875,906.450439453125,3641.366943359375,720.57373046875,879.5398559570312,2162.177490234375,1466.4075927734375
11,11,Dmin7,D,20.0,2473.513427734375,803.47607421875,1949.1187744140625,522.9212646484375,848.2337036132812,3643.220947265625,811.8754272460938,217.97938537597656,248.8564453125,1255.5445556640625,295.4844665527344,425.1672058105469
12,12,G9,G,22.0,531.4093627929688,475.8671569824219,1138.005615234375,678.448974609375,831.7581176757812,3607.240966796875,1548.55322265625,2837.022705078125,668.993408203125,1291.9224853515625,595.1140747070312,1943.3668212890625
13,13,G9,G,24.0,504.3380432128906,471.034423828125,1127.9979248046875,695.57177734375,870.1762084960938,3704.511962890625,1567.9747314453125,1762.5963134765625,511.5189514160156,1273.6544189453125,614.75830078125,2127.50830078125
14,14,Cmaj9,C,26.0,2145.16015625,788.6162719726562,2993.396240234375,1139.2642822265625,3703.591796875,790.29296875,515.2692260742188,2714.435791015625,504.7485656738281,211.55291748046875,381.9442138671875,2348.082763671875
15,15,C7,C,28.0,1794.0472412109375,415.6678466796875,356.9138488769531,795.820556640625,3759.463623046875,686.1005249023438,288.57342529296875,1522.2327880859375,349.5475158691406,331.46319580078125,1699.0401611328125,781.9011840820312
16,16,Cmaj9,C,30.0,2148.622314453125,732.95751953125,2450.091796875,1107.5235595703125,3647.069580078125,694.299560546875,507.4325866699219,2776.278564453125,512.1237182617188,208.428466796875,361.2529296875,2161.897216796875
17,17,C7(#11),C,32.0,539.6720581054688,361.4414367675781,715.0547485351562,696.51025390625,1703.4581298828125,1401.0469970703125,4282.63037109375,2478.028564453125,488.509765625,557.4719848632812,2103.614501953125,565.4804077148438
