,Measure,TakeTheATrain,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C6,C,0.0,1861.6949462890625,528.576171875,411.0304260253906,818.2232055664062,3666.340576171875,655.080322265625,705.305908203125,4437.0625,981.3959350585938,1365.337890625,294.26226806640625,627.75927734375
1,2,Cmaj7,C,2.0,2128.989501953125,408.8346862792969,212.6715087890625,785.31591796875,3887.001220703125,704.8152465820312,328.5700988769531,1498.515625,387.3598937988281,172.3114471435547,353.6515197753906,2279.11328125
2,3,D7(b5),D,4.0,7194.74169921875,2356.854736328125,5464.90185546875,1641.7989501953125,2313.52783203125,2174.857666015625,10727.1171875,2773.373046875,6870.66748046875,4438.2900390625,789.168212890625,1270.1737060546875
3,5,Dmin7,D,8.0,2039.556640625,804.2490844726562,1953.0533447265625,464.5054016113281,978.71240234375,3653.46484375,843.3605346679688,227.82177734375,778.9091796875,4983.84423828125,793.8063354492188,350.9493713378906
4,6,G7,G,10.0,529.9340209960938,377.822998046875,1111.4189453125,631.474365234375,936.6389770507812,3793.941650390625,1446.8043212890625,1683.9700927734375,922.6654663085938,4542.08447265625,2946.688232421875,2327.0869140625
5,7,Cmaj7,C,12.0,3094.983154296875,595.1859741210938,305.4358825683594,784.0696411132812,3939.138671875,821.61669921875,375.3920593261719,1688.8851318359375,421.0166320800781,166.82057189941406,368.4477844238281,2483.444091796875
6,8,Dmin7,D,14.0,611.091796875,242.18634033203125,572.6565551757812,172.32423400878906,293.9579162597656,1057.0462646484375,273.2087707519531,66.57476043701172,87.27909088134766,417.3819580078125,92.6234359741211,122.25450897216797
7,8,C7,C,15.0,476.0045471191406,121.11780548095703,171.67730712890625,295.9664001464844,1110.085693359375,408.286376953125,119.70428466796875,454.3835754394531,124.33953094482422,131.6050262451172,501.4466552734375,237.55320739746094
8,9,Gmin7,G,16.0,183.8198699951172,131.4468536376953,346.7000732421875,140.6248779296875,581.3385620117188,926.3587036132812,377.7485046386719,592.6557006835938,174.685302734375,227.17457580566406,597.7363891601562,190.92987060546875
9,9,C7,C,17.0,548.5145874023438,142.60621643066406,168.7451171875,301.31866455078125,1145.7491455078125,404.5513916015625,124.65045166015625,474.4425354003906,126.24307250976562,118.24581146240234,535.898681640625,256.8716735839844
10,10,Fmaj7,F,18.0,19740.970703125,3685.044921875,1744.4718017578125,4944.79345703125,27341.173828125,16106.1669921875,2521.099853515625,3947.656494140625,5640.8671875,22520.310546875,4634.23388671875,4228.126953125
11,14,D7,D,26.0,7778.4375,2582.804443359375,5487.1328125,1142.25830078125,968.593017578125,2010.119140625,10567.3017578125,2163.618896484375,1587.5972900390625,9603.455078125,1689.1241455078125,1229.2779541015625
12,16,Dmin7,D,30.0,2033.3856201171875,778.89501953125,1949.6387939453125,553.0751342773438,1599.7095947265625,3787.4306640625,842.953857421875,212.8566131591797,562.8576049804688,3018.83203125,511.4851379394531,366.4648742675781
13,17,G7,G,32.0,164.55191040039062,119.86554718017578,338.4169006347656,191.95704650878906,252.0015869140625,1071.1492919921875,459.937744140625,478.2586669921875,117.68009185791016,95.54690551757812,138.11370849609375,550.8892211914062
14,17,G7(b9),G,33.0,202.65074157714844,143.3760223388672,390.2430419921875,261.7889099121094,289.4700012207031,1059.0452880859375,468.5137634277344,673.0968627929688,1193.1495361328125,256.2739562988281,165.26022338867188,563.1028442382812
15,18,Cmaj7,C,34.0,6609.83837890625,1204.5362548828125,1461.3504638671875,2417.82080078125,11206.4267578125,3917.302734375,2318.005126953125,12825.0224609375,2658.714111328125,506.3313293457031,1616.6724853515625,10450.1044921875
16,20,D7(b5),D,38.0,6809.375,2334.764404296875,5460.3427734375,1555.1536865234375,2134.100830078125,2312.18359375,10748.1162109375,2761.381103515625,7040.59130859375,4461.59912109375,777.0531616210938,1163.458740234375
17,22,Dmin7,D,42.0,1915.7735595703125,786.5194702148438,1951.6583251953125,461.0681457519531,980.597412109375,3645.3349609375,840.72265625,223.84803771972656,778.2432250976562,4979.6572265625,792.93603515625,333.60748291015625
18,23,G7,G,44.0,518.3579711914062,376.6959533691406,1112.2049560546875,631.4774169921875,938.333984375,3794.931396484375,1447.8485107421875,1688.931640625,923.2703247070312,4542.06005859375,2945.9921875,2315.043212890625
19,24,Cmaj7,C,46.0,3096.925048828125,595.5825805664062,305.3465881347656,784.19677734375,3941.18359375,822.0098266601562,375.6346435546875,1690.0750732421875,421.1697998046875,166.84518432617188,368.4029235839844,2483.214111328125
20,25,Dmin7,D,48.0,611.1016235351562,242.18565368652344,572.655517578125,172.3352813720703,293.9698791503906,1057.03369140625,273.1955871582031,66.57518768310547,87.29415893554688,417.444580078125,92.62102508544922,122.25139617919922
21,25,G7,G,49.0,223.284423828125,137.2180938720703,405.2509460449219,196.1943359375,258.8529968261719,1023.30322265625,428.7276611328125,470.2850036621094,124.69625854492188,137.41722106933594,147.41493225097656,567.2870483398438
22,26,Cmaj7,C,50.0,989.0264282226562,205.08094787597656,151.94029235839844,309.90673828125,1146.9583740234375,417.8031005859375,151.14993286132812,571.5438232421875,128.607421875,60.4155387878418,172.2109832763672,1052.057861328125
23,26,C,C,51.0,568.4816284179688,120.8257827758789,76.3134765625,228.73277282714844,1118.6090087890625,377.5125427246094,122.55826568603516,499.5818786621094,113.96871948242188,61.715972900390625,48.70157241821289,255.9112548828125
24,27,Cmaj7,C,52.0,3038.6787109375,641.9304809570312,836.011962890625,927.9585571289062,3516.205078125,1057.201416015625,1771.74169921875,8712.365234375,2747.588623046875,9128.2451171875,1673.2548828125,2177.9208984375
