,Measure,TheInCrowd,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,D,D,0.0,432.0329284667969,3121.632568359375,13049.140625,2372.254638671875,994.2107543945312,4252.2744140625,24808.21875,3880.585693359375,1348.6988525390625,7941.43359375,1496.7427978515625,337.5633239746094
1,5,D,D,8.0,2512.19873046875,9583.265625,46034.171875,10467.9267578125,5264.9716796875,15939.9697265625,61510.61328125,62212.6875,56607.046875,81006.65625,11951.2919921875,1596.8787841796875
2,13,G7,G,24.0,3640.534423828125,2667.20263671875,10588.6923828125,4509.0390625,5994.8125,29025.701171875,9946.9150390625,10900.0732421875,2288.02978515625,2210.079345703125,3380.226806640625,16961.88671875
3,17,D,D,32.0,1026.6778564453125,4668.671875,19448.5625,3544.558349609375,2076.031982421875,5502.97119140625,23905.755859375,3912.787109375,4786.71337890625,29993.087890625,5021.18505859375,614.1919555664062
4,21,F#7,F#,40.0,1398.6431884765625,6803.02880859375,1373.6689453125,1965.3082275390625,10832.48046875,4697.60498046875,5295.64794921875,951.9968872070312,1259.4771728515625,1568.2005615234375,5447.35205078125,1127.0699462890625
5,23,B7,B,44.0,1025.3353271484375,843.9992065429688,1927.9927978515625,9898.669921875,1728.5316162109375,1871.873046875,10938.75,1927.2586669921875,750.171875,4027.160888671875,1888.9500732421875,5468.57568359375
6,25,E7,E,48.0,1410.3486328125,1076.5955810546875,6014.24267578125,3118.860107421875,11122.8681640625,1853.3990478515625,866.0746459960938,717.6889038085938,3407.424072265625,805.5020141601562,1201.4744873046875,7176.322265625
7,27,A7,A,52.0,443.0412292480469,1822.2734375,541.7514038085938,671.5398559570312,2931.197021484375,814.7789916992188,359.9889221191406,1662.3240966796875,876.461181640625,1610.013671875,328.3940734863281,313.7173156738281
8,28,A7,A,54.0,176.89031982421875,261.06787109375,100.8468017578125,123.86605072021484,439.0985412597656,133.67169189453125,74.27902221679688,255.56109619140625,213.01080322265625,693.245361328125,150.06141662597656,93.63662719726562
9,28,Bmin7,B,54.66666666666666,86.75908660888672,136.46470642089844,252.25364685058594,145.15731811523438,170.4365997314453,120.31912231445312,544.8693237304688,400.61572265625,91.62371826171875,136.826904296875,86.40316772460938,211.78550720214844
10,28,C,C,55.33333333333334,165.9032745361328,66.77355194091797,61.01259994506836,55.126583099365234,295.8894958496094,67.54471588134766,99.4267349243164,184.36061096191406,45.7380485534668,33.88174819946289,28.442766189575195,92.7586441040039
11,29,C,C,56.0,14198.5478515625,4464.4375,10550.9248046875,5774.275390625,24391.689453125,4071.129638671875,2531.868408203125,10318.453125,2296.17236328125,2563.572265625,1134.7962646484375,4288.9208984375
