,Measure,This Here,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,3037.329833984375,564.1845703125,490.9643859863281,2052.10986328125,1135.093017578125,921.5072631835938,238.91835021972656,249.7171630859375,368.0686950683594,1124.7103271484375,310.8117980957031,545.7521362304688
1,2,F7,F,1.5,366.2853088378906,93.39911651611328,210.9332275390625,584.5062255859375,246.42982482910156,245.08970642089844,70.17855834960938,46.26179122924805,246.54931640625,1678.4111328125,1027.510498046875,203.5374298095703
2,3,F7,F,3.0,884.72900390625,168.11537170410156,116.1197509765625,594.3248901367188,280.8351135253906,340.287841796875,88.79590606689453,91.58051300048828,45.980411529541016,72.94095611572266,46.842350006103516,144.34910583496094
3,4,F7,F,4.5,366.7888488769531,93.01559448242188,208.64976501464844,559.351318359375,245.90972900390625,246.3685302734375,70.03072357177734,45.16425704956055,246.28260803222656,1678.9373779296875,1026.59716796875,203.6015167236328
4,5,F7,F,6.0,857.3219604492188,163.11285400390625,115.31392669677734,593.2449951171875,272.7060852050781,271.6960144042969,80.55718231201172,88.865478515625,44.12826919555664,71.23030090332031,46.70314025878906,142.424560546875
5,6,F7,F,7.5,366.4585876464844,92.96768951416016,208.63832092285156,559.271240234375,245.9265594482422,246.55369567871094,70.05208587646484,45.1574592590332,246.2786865234375,1678.9886474609375,1026.5966796875,203.513916015625
6,7,F7,F,9.0,884.7119140625,168.10877990722656,116.06619262695312,594.2010498046875,280.8691101074219,340.2965393066406,88.80245208740234,91.60352325439453,45.99338150024414,72.97431182861328,46.85053634643555,144.34544372558594
7,8,F7,F,10.5,366.7913513183594,93.01675415039062,208.65293884277344,559.356689453125,245.9093780517578,246.36883544921875,70.03108215332031,45.164920806884766,246.2831573486328,1678.9417724609375,1026.5982666015625,203.6016845703125
8,9,F7,F,12.0,320.5835266113281,73.20487213134766,107.97945404052734,566.8370361328125,287.9993591308594,569.4789428710938,114.07156372070312,67.23796844482422,50.69208908081055,221.68003845214844,829.9674682617188,194.09710693359375
9,10,Bb7,Bb,13.5,117.54817962646484,84.87312316894531,362.0226745605469,93.71562957763672,146.2539825439453,691.0928344726562,117.21932983398438,31.357759475708008,308.64593505859375,1646.62158203125,1044.0982666015625,153.64797973632812
10,11,Bb7,Bb,15.0,51.98237609863281,62.39109802246094,258.2412109375,73.92938995361328,175.2981414794922,1013.2646484375,155.8248748779297,51.16788864135742,132.0580291748047,265.3643798828125,1112.81005859375,173.2903594970703
11,12,Bb7,Bb,16.5,105.66854858398438,78.91466522216797,347.4850158691406,74.6645736694336,144.26812744140625,693.515625,117.16808319091797,30.649648666381836,311.9316711425781,1671.5361328125,1048.1885986328125,149.74598693847656
12,13,Bb7,Bb,18.0,1115.7481689453125,223.4359588623047,266.0754699707031,62.15654373168945,134.73085021972656,662.61376953125,120.4533920288086,70.89237213134766,125.3634033203125,89.07882690429688,105.39684295654297,168.9805450439453
13,14,F7,F,19.5,363.1977233886719,95.05083465576172,227.60816955566406,582.583251953125,264.6712951660156,308.14892578125,75.93458557128906,46.89390182495117,245.47996520996094,1649.12890625,1023.7498168945312,202.26112365722656
14,15,F7,F,21.0,886.0457153320312,170.42706298828125,129.2033233642578,593.6791381835938,275.3920593261719,356.6075134277344,95.30770874023438,92.93846893310547,46.40719223022461,72.8551025390625,47.3626708984375,145.07266235351562
15,16,F7,F,22.5,364.811279296875,93.95670318603516,211.4432830810547,563.7808227539062,252.9626007080078,259.3990478515625,69.6757583618164,44.144622802734375,250.16065979003906,1707.484375,1022.7880249023438,201.31321716308594
16,17,F7,F,24.0,857.8518676757812,163.58128356933594,118.79698944091797,594.3702392578125,270.4091491699219,277.9554443359375,83.04390716552734,89.61508178710938,44.7618293762207,71.93338775634766,46.99610900878906,142.52020263671875
17,18,F7,F,25.5,366.7864990234375,93.41171264648438,208.9453887939453,560.173828125,245.46014404296875,243.95472717285156,69.69232177734375,45.12166976928711,247.6984405517578,1684.9937744140625,1024.9681396484375,203.2728271484375
18,19,F7,F,27.0,884.9158325195312,168.157470703125,115.97518157958984,595.22021484375,283.582763671875,349.6355285644531,89.41680908203125,91.47185516357422,46.1303596496582,73.0208969116211,46.569610595703125,144.18992614746094
19,20,F7,F,28.5,366.7175598144531,93.08779907226562,209.604248046875,559.1825561523438,244.5764923095703,244.23863220214844,70.21683502197266,45.25016403198242,245.11631774902344,1671.6656494140625,1025.3375244140625,203.67823791503906
20,21,F7,F,30.0,857.298095703125,163.07461547851562,115.17314910888672,593.4127197265625,273.5028991699219,271.9264221191406,80.21981048583984,88.6235580444336,44.04585647583008,71.1932601928711,46.672176361083984,142.38571166992188
21,22,F7,F,31.5,366.7656555175781,93.04330444335938,209.02349853515625,559.0491943359375,245.76611328125,247.70599365234375,70.39020538330078,45.1960334777832,246.34197998046875,1679.1800537109375,1026.7735595703125,203.67327880859375
22,23,F7,F,33.0,884.6555786132812,168.09910583496094,115.98258209228516,594.1502075195312,280.7215270996094,339.4264221191406,88.74825286865234,91.63842010498047,45.98980712890625,72.96077728271484,46.82052230834961,144.371826171875
23,24,F7,F,34.5,505.0714416503906,100.19890594482422,105.58173370361328,556.8153686523438,266.2764587402344,340.6800537109375,84.92644500732422,142.7874755859375,50.56044387817383,80.8572998046875,32.033164978027344,100.0895004272461
24,25,F7,F,36.0,363.8607482910156,76.43254852294922,118.82327270507812,601.4378662109375,248.57289123535156,268.2934875488281,69.36080169677734,138.19464111328125,676.0049438476562,362.110107421875,1317.042724609375,271.8665466308594
25,26,F7,F,37.5,289.49200439453125,59.78561782836914,98.08927154541016,545.23388671875,218.9414520263672,191.37193298339844,43.33546447753906,32.9896240234375,22.144853591918945,55.411678314208984,19.325485229492188,64.2392807006836
26,27,F7,F,39.0,288.7861022949219,59.19768142700195,98.15531158447266,546.2230834960938,217.1762237548828,192.26271057128906,42.96393966674805,33.0656852722168,22.048852920532227,55.09909439086914,20.118764877319336,64.63604736328125
27,28,F6,F,40.5,413.3644104003906,91.07723236083984,142.32798767089844,76.98551177978516,152.72059631347656,763.4085083007812,124.34915924072266,116.34162139892578,42.40909194946289,105.35230255126953,33.959659576416016,82.77066040039062
28,29,F7,F,42.0,427.4912414550781,84.26728057861328,119.75287628173828,616.3792724609375,268.4184265136719,337.3668518066406,74.99420928955078,139.0478973388672,676.7271118164062,363.4856872558594,1318.2154541015625,285.43658447265625
29,30,F7,F,43.5,305.4935302734375,62.20086669921875,101.20394897460938,541.859375,216.46119689941406,212.8606414794922,51.152713775634766,34.19570541381836,23.329042434692383,59.59225082397461,20.188234329223633,67.84415435791016
30,31,F7,F,45.0,281.9748229980469,58.74264907836914,97.30719757080078,549.3094482421875,225.2119903564453,208.16184997558594,43.17280197143555,32.4579963684082,22.609840393066406,59.38949966430664,19.899961471557617,62.41714096069336
31,32,F7,F,46.5,299.8490905761719,68.77166748046875,100.57759857177734,552.7526245117188,256.6242370605469,445.1244201660156,99.76815795898438,53.33464050292969,153.98289489746094,129.11851501464844,35.85878372192383,67.07646942138672
32,33,F7,F,48.0,362.5469970703125,76.25247955322266,118.72028350830078,600.67431640625,247.40032958984375,261.5166320800781,67.86449432373047,138.24461364746094,676.0692749023438,361.811279296875,1317.2271728515625,271.48602294921875
33,34,Bb7,Bb,49.5,22.84818458557129,65.95360565185547,344.3642272949219,90.2022933959961,116.5721435546875,639.2760620117188,94.68059539794922,22.74962043762207,119.70809173583984,266.5252990722656,1460.33642578125,203.76708984375
34,35,Bb7,Bb,51.0,11.163383483886719,46.61264419555664,253.22132873535156,61.322052001953125,112.46588897705078,619.32861328125,85.8592300415039,18.487396240234375,99.91051483154297,60.22123718261719,73.54216766357422,13.112053871154785
35,36,Bb7,Bb,52.5,200.5356903076172,81.44928741455078,257.0184020996094,70.4603042602539,157.17794799804688,755.720458984375,126.57942962646484,129.21958923339844,126.07347869873047,84.30304718017578,90.65543365478516,43.58158493041992
36,37,Bb7,Bb,54.0,109.6437759399414,65.53103637695312,266.7155456542969,91.48918914794922,137.2250213623047,696.07177734375,112.96698760986328,123.261962890625,756.7402954101562,382.811279296875,1464.8968505859375,237.0035400390625
37,38,F7,F,55.5,285.9994201660156,61.359344482421875,114.03377532958984,569.015869140625,238.2281951904297,254.83326721191406,48.279972076416016,33.7619514465332,23.902585983276367,55.987518310546875,18.687583923339844,62.99473190307617
38,39,F7,F,57.0,291.0823669433594,61.73373794555664,109.92809295654297,545.27783203125,212.88983154296875,207.1317138671875,49.536956787109375,34.032588958740234,22.757387161254883,54.67384719848633,20.98089027404785,65.58686065673828
39,40,F7,F,58.5,549.9244995117188,114.07723999023438,111.69879150390625,560.0699462890625,230.8011016845703,207.90594482421875,52.037689208984375,47.043766021728516,28.195627212524414,62.8217887878418,33.71626663208008,100.9046859741211
40,41,F7,F,60.0,178.50035095214844,70.98143768310547,247.31976318359375,569.822509765625,240.07110595703125,377.8514404296875,160.58714294433594,620.49169921875,129.31178283691406,77.47572326660156,28.64288902282715,56.144683837890625
41,42,Bb7,Bb,61.5,20.178396224975586,65.232177734375,377.1393737792969,91.249755859375,114.59996795654297,616.4041137695312,86.09793853759766,19.983261108398438,99.48663330078125,55.029727935791016,71.41345977783203,15.398592948913574
42,43,Bb7,Bb,63.0,11.213923454284668,46.72511291503906,256.2389831542969,61.486446380615234,112.89716339111328,624.3599853515625,86.1768798828125,18.362821578979492,99.77410888671875,59.2871208190918,74.38794708251953,13.355713844299316
43,44,A7,A,64.5,335.24456787109375,302.818359375,75.18277740478516,104.75041961669922,528.9390258789062,164.4661865234375,46.515411376953125,192.55535888671875,56.19935989379883,49.26458740234375,22.025312423706055,59.47496032714844
44,45,A7,A,66.0,96.16768646240234,266.04937744140625,188.50184631347656,122.76541137695312,506.3521423339844,228.7787322998047,158.1621551513672,861.0855102539062,167.37290954589844,62.49336242675781,17.741962432861328,30.45465660095215
45,46,Ab7,Ab,67.5,215.7670440673828,68.97645568847656,170.6331024169922,552.3475952148438,169.76617431640625,92.07927703857422,344.1175231933594,95.33235931396484,70.29967498779297,15.876716613769531,17.802461624145508,48.5377311706543
46,47,Ab7,Ab,69.0,235.5526123046875,54.42680740356445,107.08267211914062,524.2952270507812,132.3914794921875,68.00830078125,332.6094055175781,95.16864776611328,63.10661697387695,12.41588306427002,16.29865074157715,51.602325439453125
47,48,G7,G,70.5,355.1033935546875,94.10687255859375,167.13108825683594,80.40115356445312,121.63519287109375,621.8275756835938,143.84967041015625,127.86614990234375,28.48868751525879,32.525089263916016,74.94459533691406,326.0338439941406
48,49,G7,G,72.0,78.3364028930664,111.1053466796875,519.065185546875,122.6684341430664,150.4580841064453,933.845703125,279.1792297363281,761.745361328125,138.4697723388672,49.4766845703125,70.49164581298828,291.03240966796875
49,50,Ab7,Ab,73.5,217.21343994140625,63.94889450073242,232.8847198486328,549.9650268554688,122.31803131103516,121.57967376708984,380.4223937988281,108.87873077392578,69.26165008544922,17.111713409423828,24.26161003112793,80.91739654541016
50,51,Ab7,Ab,75.0,241.50636291503906,49.980438232421875,120.57137298583984,511.2139892578125,104.75830078125,78.73619842529297,332.5083923339844,104.8851547241211,70.95301818847656,14.811749458312988,20.18326759338379,70.20923614501953
51,52,G7,G,76.5,316.1449279785156,56.03480911254883,50.49729537963867,31.890249252319336,109.0415267944336,493.7719421386719,97.32217407226562,57.89291763305664,34.625328063964844,124.49962615966797,55.975460052490234,143.1991729736328
52,52,F,F,77.25,780.837158203125,151.78282165527344,166.62522888183594,181.6197967529297,261.3035888671875,931.748046875,307.0483703613281,267.0740051269531,84.69134521484375,229.29859924316406,899.9996948242188,526.4527587890625
53,54,F7,F,79.5,272.1114807128906,60.000484466552734,114.92935180664062,566.3698120117188,238.11549377441406,234.41993713378906,60.10957717895508,37.728050231933594,273.68145751953125,1731.8843994140625,243.9434814453125,77.30186462402344
54,55,F7,F,81.0,277.3699035644531,59.00019836425781,104.8276596069336,552.6337890625,219.34983825683594,186.62098693847656,44.30546569824219,33.94193649291992,25.10508918762207,74.2702865600586,23.18048667907715,68.90889739990234
