,Measure,TomThumb,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C,C,0.0,46295.25,9314.9736328125,4245.99462890625,12854.1865234375,69266.4453125,11208.6484375,9105.8759765625,50599.87109375,13293.51171875,19138.353515625,4287.98681640625,11595.6103515625
1,9,A7,A,16.0,443.6459655761719,1797.34521484375,460.7439270019531,730.6900024414062,3401.2294921875,857.140380859375,405.7308349609375,1691.3681640625,938.618408203125,1704.25927734375,356.8757019042969,356.4207458496094
2,10,C7,C,18.0,1698.9063720703125,424.1677551269531,287.1418151855469,787.361572265625,3936.5263671875,690.1248168945312,291.9376525878906,1535.3782958984375,603.6679077148438,1702.07470703125,1873.7823486328125,761.4026489257812
3,11,A7,A,20.0,468.0598449707031,2149.249267578125,1576.1207275390625,777.1356811523438,2759.071044921875,763.7963256835938,331.2400817871094,1639.75341796875,934.1433715820312,1656.8970947265625,342.0260009765625,274.9954528808594
4,12,D7,D,22.0,1847.7664794921875,850.2752075195312,1901.74462890625,451.2686767578125,320.7166442871094,715.195556640625,3794.563720703125,702.5673217773438,246.84654235839844,1235.0985107421875,319.5447998046875,468.6181335449219
5,13,A7,A,24.0,451.1630859375,1813.21435546875,491.9815673828125,728.291015625,3356.729736328125,865.3270874023438,460.0718688964844,1700.3643798828125,945.5505981445312,1738.1395263671875,365.2920837402344,357.4508972167969
6,14,C7,C,26.0,1693.0228271484375,430.7449951171875,311.2753601074219,790.3762817382812,3936.290283203125,696.8522338867188,318.5760192871094,1533.2733154296875,612.8641967773438,1770.83740234375,1888.671875,759.1809692382812
7,15,A7,A,28.0,463.8497619628906,2143.5390625,1580.1925048828125,780.884521484375,2757.660400390625,761.9385375976562,340.17462158203125,1649.87353515625,933.52392578125,1647.3651123046875,339.72784423828125,273.73077392578125
8,16,D7,D,30.0,207.93812561035156,129.42733764648438,248.8511962890625,83.44540405273438,63.003543853759766,118.72415161132812,510.0999755859375,106.41570281982422,46.435001373291016,211.2945098876953,51.66452407836914,44.58320236206055
9,16,Gb7,Gb,30.66666666666667,49.25074768066406,19.613588333129883,69.54200744628906,14.9566650390625,8.598773956298828,25.16558837890625,98.53277587890625,15.997818946838379,10.498080253601074,62.05069351196289,47.7365837097168,227.68067932128906
10,16,F7,F,31.33333333333333,313.9578552246094,303.0591735839844,66.57671356201172,78.44234466552734,434.4898376464844,213.6685028076172,269.7425842285156,79.32540130615234,77.10196685791016,111.99246215820312,244.35426330566406,106.00873565673828
11,17,F7,F,32.0,2095.50732421875,1022.7507934570312,734.4878540039062,3076.655517578125,2220.21533203125,1499.1697998046875,599.6306762695312,456.8476257324219,800.3013305664062,2829.398193359375,671.0652465820312,523.4544067382812
12,18,Bmin7,B,34.0,145.15464782714844,292.6167907714844,1375.1871337890625,378.1251525878906,161.79673767089844,296.6138610839844,1172.9617919921875,219.24278259277344,93.15414428710938,344.7031555175781,202.1883087158203,567.2115478515625
13,18,E7,E,35.0,274.98968505859375,380.5321044921875,2395.86865234375,754.0816040039062,1050.8236083984375,246.21998596191406,215.00965881347656,139.2842559814453,491.599853515625,188.76507568359375,212.4647216796875,940.39208984375
14,19,Cmaj7,C,36.0,4476.7099609375,854.7459106445312,783.9678344726562,867.8645629882812,3789.524169921875,702.9691772460938,406.527099609375,1522.88818359375,418.376953125,185.75189208984375,380.9945373535156,2704.355224609375
15,20,D7,D,38.0,291.7254638671875,140.86874389648438,256.7298583984375,79.7984848022461,63.184513092041016,125.1061782836914,530.0149536132812,114.30590057373047,54.65544128417969,234.21337890625,75.83541107177734,203.06935119628906
16,20,Gb7,Gb,38.66666666666666,79.8124771118164,34.945228576660156,72.79564666748047,17.27634048461914,14.370681762695312,23.88287925720215,98.07396697998047,25.568374633789062,36.188106536865234,263.2929382324219,64.62395477294922,38.578861236572266
17,20,F7,F,39.333333333333336,4243.2119140625,3652.4541015625,1053.4124755859375,2738.2470703125,6068.37255859375,2852.437255859375,2771.955322265625,857.0640258789062,1112.2642822265625,2952.144775390625,2965.439453125,1206.499267578125
18,22,Bmin7,B,42.0,341.1871032714844,324.9650573730469,1355.084716796875,374.5061950683594,151.12025451660156,288.5544738769531,1173.64599609375,224.3755645751953,99.1728286743164,354.1885986328125,188.52186584472656,607.86181640625
19,22,E7,E,43.0,171.1713409423828,226.51702880859375,853.356689453125,407.9101867675781,601.796875,174.04527282714844,204.19822692871094,109.71002197265625,281.8055419921875,120.64253997802734,83.28907775878906,312.5463562011719
20,23,F7,F,44.0,1602.2216796875,377.0220642089844,385.6383361816406,1042.6656494140625,632.5491333007812,406.418212890625,133.5810546875,156.8639678955078,224.10020446777344,541.66650390625,162.9353485107422,352.058837890625
21,23,Cmin7,C,45.0,116.82457733154297,34.97780990600586,39.939186096191406,193.79034423828125,91.04094696044922,63.91607666015625,22.82228660583496,13.391739845275879,14.124092102050781,19.3665828704834,7.734084606170654,26.685522079467773
22,24,F7,F,46.0,699.33447265625,166.71340942382812,213.85240173339844,873.956787109375,513.5392456054688,406.2233581542969,134.52406311035156,231.57879638671875,204.3810577392578,553.5886840820312,346.0396728515625,208.91595458984375
23,24,Cmin7,C,47.0,422.6143798828125,221.61048889160156,879.1671752929688,1121.3321533203125,355.4757080078125,128.01947021484375,102.54168701171875,446.8549499511719,103.14311981201172,127.87808990478516,548.1886596679688,226.08045959472656
24,25,F7,F,48.0,1489.60791015625,287.8968200683594,299.41448974609375,1108.885009765625,582.069091796875,415.0422668457031,130.8465118408203,161.04881286621094,203.84107971191406,553.0001831054688,199.81336975097656,283.9092102050781
25,25,Cmin7,C,49.0,179.82569885253906,45.14833068847656,37.03364181518555,188.6278839111328,66.87203216552734,57.49100112915039,12.629551887512207,9.943056106567383,7.765367031097412,12.394493103027344,8.412282943725586,32.58404541015625
26,26,Bb13,Bb,50.0,5069.048828125,1564.009765625,3090.9814453125,6407.91796875,3923.6181640625,4658.13427734375,2023.92724609375,6031.05908203125,4739.49462890625,1413.0687255859375,2284.833740234375,1647.513671875
