,Measure,UhHuh,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,235.29132080078125,433.8370056152344,2023.00341796875,472.5159912109375,649.2194213867188,3088.781494140625,800.0173950195312,281.7510681152344,1423.3870849609375,1365.9500732421875,5657.14306640625,907.7551879882812
1,2,Eb7,Eb,2.0,362.6219787597656,1938.80078125,1026.0755615234375,3118.531982421875,634.9080810546875,266.13916015625,284.3181457519531,1522.9066162109375,351.4171447753906,353.693359375,1915.3519287109375,438.5032653808594
2,3,Bb7,Bb,4.0,243.2191925048828,498.1097412109375,2102.476318359375,555.9088745117188,703.3982543945312,3130.0615234375,799.8870239257812,300.03570556640625,1417.4442138671875,1487.9737548828125,6454.59765625,1001.230712890625
3,4,Eb7,Eb,6.0,362.9136047363281,1939.6502685546875,1033.18994140625,3159.509765625,641.7211303710938,266.2663879394531,285.3476867675781,1530.8101806640625,352.9399108886719,353.8489074707031,1911.5655517578125,437.2275695800781
4,5,Bb7,Bb,8.0,243.22047424316406,498.1070556640625,2102.500244140625,555.9983520507812,703.4314575195312,3130.072265625,799.883056640625,300.0285339355469,1417.4266357421875,1487.9661865234375,6454.544921875,1001.222900390625
5,6,Eb7,Eb,10.0,362.9114990234375,1939.6400146484375,1033.1895751953125,3159.510498046875,641.7220458984375,266.2660217285156,285.34906005859375,1530.8135986328125,352.937255859375,353.8481140136719,1911.5582275390625,437.2245178222656
6,7,Bb7,Bb,12.0,86.04934692382812,177.04173278808594,639.6471557617188,181.6930694580078,238.09942626953125,903.8973999023438,258.8467102050781,107.58281707763672,482.6029968261719,488.8400573730469,1969.02294921875,330.89007568359375
7,7,Ab9,Ab,13.0,531.7692260742188,160.18434143066406,307.3877868652344,755.616943359375,283.77008056640625,514.8633422851562,1122.9071044921875,421.7998962402344,564.337158203125,213.84971618652344,613.8832397460938,212.1905975341797
8,8,Gb9,Gb,14.0,304.2658386230469,605.8759765625,196.12220764160156,494.3926696777344,1116.265380859375,656.3168334960938,708.1646118164062,220.8509063720703,465.115478515625,258.1097412109375,640.4833374023438,177.7349395751953
9,8,F7,F,15.0,608.6974487304688,232.0709686279297,242.9920196533203,1157.102783203125,890.1824340820312,503.0789794921875,104.7337875366211,125.04920196533203,211.31126403808594,518.9191284179688,155.253662109375,163.97857666015625
