,Measure,UmmhC,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,3,Fm7,F,4.0,3053.400390625,635.1248168945312,641.3562622070312,2634.5087890625,1322.34423828125,1506.8603515625,348.8902282714844,903.1929321289062,1698.640625,419.5198974609375,209.8462371826172,625.3818969726562
1,4,Bb7,Bb,6.0,245.2511444091797,438.6357727050781,2050.760986328125,599.482177734375,740.6754760742188,3137.107666015625,792.6641235351562,548.0542602539062,3267.355712890625,1188.6292724609375,1933.9102783203125,362.111083984375
2,5,Fm7,F,8.0,4758.29833984375,889.0949096679688,705.7793579101562,2685.710205078125,1421.0693359375,1846.8961181640625,395.2059631347656,687.3380737304688,1630.51025390625,434.7283630371094,230.88714599609375,848.007080078125
3,6,Bb7,Bb,10.0,278.1337585449219,472.8938293457031,2152.105712890625,615.580078125,824.480712890625,3362.321533203125,821.712646484375,366.1083068847656,1514.0745849609375,1233.4456787109375,3961.005859375,630.1008911132812
4,7,Fm7,F,12.0,3065.404541015625,633.0537719726562,652.7421264648438,2688.070556640625,1363.8128662109375,1738.56982421875,375.9607238769531,895.9454956054688,1674.9881591796875,425.6053466796875,217.92591857910156,639.024169921875
5,8,Bb7,Bb,14.0,245.6603546142578,443.84375,2082.6826171875,606.3287963867188,747.452880859375,3163.1416015625,789.4622192382812,546.3286743164062,3261.462158203125,1186.7857666015625,1929.4656982421875,361.4583435058594
6,9,Fm7,F,16.0,4758.283203125,889.0908813476562,705.7644653320312,2685.6904296875,1421.0738525390625,1846.92529296875,395.2076110839844,687.3427734375,1630.5147705078125,434.7273254394531,230.8843231201172,848.0029296875
7,10,Bb7,Bb,18.0,278.1340026855469,472.8954772949219,2152.109619140625,615.5823974609375,824.4810180664062,3362.330810546875,821.7135620117188,366.1075744628906,1514.07568359375,1233.4466552734375,3961.023193359375,630.1036987304688
8,11,Fm7,F,20.0,2049.4306640625,465.4799499511719,631.7875366210938,2716.893310546875,1314.2257080078125,1630.6573486328125,335.5938415527344,711.0930786132812,1947.09716796875,436.24853515625,199.04376220703125,486.2275085449219
9,12,Bb7,Bb,22.0,233.0909423828125,435.531005859375,2121.136962890625,588.611328125,724.4144897460938,3160.329345703125,949.6293334960938,1596.89990234375,1644.17529296875,874.846923828125,1949.9541015625,358.9159851074219
10,13,Fm7,F,24.0,2049.3154296875,465.3813171386719,632.1483154296875,2716.582275390625,1314.4041748046875,1630.2730712890625,335.71783447265625,712.1360473632812,1946.3643798828125,436.0054016113281,199.27796936035156,486.52490234375
11,14,Bb7,Bb,26.0,233.08815002441406,435.531005859375,2121.12890625,588.6079711914062,724.4262084960938,3160.347412109375,949.6251831054688,1596.8470458984375,1644.1644287109375,874.838623046875,1949.9439697265625,358.9101867675781
12,15,Fm7,F,28.0,2049.320068359375,465.3847961425781,632.1489868164062,2716.589599609375,1314.403564453125,1630.2769775390625,335.7171325683594,712.1358032226562,1946.3692626953125,436.0062561035156,199.27867126464844,486.5240783691406
13,16,Bb7,Bb,30.0,233.1082000732422,435.5885925292969,2121.09130859375,588.5762329101562,724.5150756835938,3160.307373046875,949.6069946289062,1596.74755859375,1644.0762939453125,874.851806640625,1949.9276123046875,358.9200134277344
14,17,Fm7,F,32.0,2049.323486328125,465.3836364746094,632.1473999023438,2716.586181640625,1314.4036865234375,1630.27490234375,335.7173767089844,712.1360473632812,1946.3653564453125,436.0062561035156,199.27862548828125,486.5263671875
15,18,Bb7,Bb,34.0,795.3040161132812,1549.4931640625,8004.328125,2193.815185546875,2709.992431640625,13181.9814453125,3501.220703125,5690.904296875,5610.98828125,2970.901611328125,6916.60498046875,1174.884765625
