,Measure,Vierd Blues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb7,Bb,2.0,15.529376029968262,79.11168670654297,122.07815551757812,60.49993896484375,82.79713439941406,432.1695251464844,79.71002960205078,22.550134658813477,71.94538879394531,40.25099563598633,70.18643951416016,15.109583854675293
1,3,Eb7,Eb,4.0,35.738685607910156,72.46084594726562,201.2760009765625,785.3972778320312,319.9685974121094,199.7616424560547,88.7638931274414,144.09786987304688,71.73784637451172,50.32769775390625,183.685546875,72.16761779785156
2,4,Bb7,Bb,6.0,15.843018531799316,72.83252716064453,127.93291473388672,68.80294799804688,86.8731689453125,441.0303039550781,81.7467269897461,25.240631103515625,77.6751937866211,59.09878921508789,163.95692443847656,29.68764305114746
3,5,Bb7,Bb,8.0,14.879658699035645,43.85163879394531,120.18990325927734,58.44319152832031,149.72946166992188,467.4353942871094,88.43331146240234,29.175413131713867,286.44683837890625,1743.77978515625,722.617919921875,81.08100891113281
4,6,Eb7,Eb,10.0,13.281757354736328,58.81215286254883,116.8360595703125,412.3479919433594,77.99982452392578,72.60060119628906,87.68750762939453,73.74950408935547,36.0687141418457,20.473058700561523,61.793182373046875,14.751601219177246
5,7,Eb7,Eb,12.0,36.29621505737305,71.89971160888672,180.2655792236328,792.9924926757812,308.5586242675781,159.92684936523438,85.28521728515625,147.4925994873047,69.87562561035156,38.73979568481445,115.51506805419922,63.21601486206055
6,8,Bb7,Bb,14.0,16.46782684326172,74.18142700195312,127.85472869873047,91.64319610595703,92.11486053466797,440.3194580078125,83.79432678222656,31.69603729248047,72.8976058959961,41.422000885009766,75.6942138671875,19.96363639831543
7,9,G7,G,16.0,165.4202880859375,799.16162109375,290.8667297363281,82.92570495605469,94.9822769165039,473.679931640625,110.25924682617188,67.30419158935547,66.91630554199219,200.6017303466797,1018.0881958007812,333.9032897949219
8,10,Cmin7,C,18.0,354.6841125488281,900.0507202148438,366.8417053222656,910.9423217773438,174.55108642578125,167.92196655273438,159.93177795410156,298.5964660644531,975.6106567382812,180.04212951660156,115.91178131103516,108.89798736572266
9,11,F7(#9),F,20.0,353.1684875488281,658.1747436523438,265.93695068359375,784.9879760742188,358.6768798828125,317.3957214355469,128.60350036621094,149.3938751220703,286.8252868652344,86.88672637939453,95.16470336914062,114.56503295898438
10,12,Bb7,Bb,22.0,54.65468215942383,80.93453216552734,128.1829376220703,79.17424774169922,91.44046783447266,447.9435119628906,81.51803588867188,22.119165420532227,72.05196380615234,55.66542434692383,173.9039764404297,40.190914154052734
11,13,Cmin,C,24.0,170.83270263671875,30.43401336669922,40.396968841552734,124.58099365234375,84.64623260498047,369.8939514160156,72.83375549316406,35.35091018676758,28.385168075561523,101.65341186523438,25.13422393798828,36.96746063232422
12,13,F,F,25.0,23.75725746154785,6.214073657989502,14.724514961242676,55.311981201171875,149.68212890625,104.87451171875,36.762081146240234,23.135215759277344,32.093666076660156,16.719343185424805,9.255467414855957,28.24382781982422
13,14,Bb7,Bb,26.0,82.25118255615234,146.4441680908203,690.1052856445312,219.37254333496094,415.4583435058594,1387.9068603515625,260.8717346191406,139.3117218017578,928.746826171875,4083.646728515625,2754.715576171875,383.00048828125
14,15,Cmin,C,28.0,214.403564453125,63.008846282958984,104.2618179321289,404.0019226074219,120.53619384765625,155.68569946289062,72.39344024658203,258.0435485839844,494.5816955566406,267.6796875,931.1342163085938,173.80982971191406
15,15,F,F,29.0,333.9859924316406,66.03595733642578,92.91605377197266,348.0865173339844,295.8622741699219,1386.0802001953125,179.1270294189453,47.176116943359375,40.55934524536133,201.63990783691406,52.98429870605469,67.80657196044922
