,Measure,VivaDeFunk,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,1678.8804931640625,377.34912109375,213.65525817871094,669.5327758789062,3114.7119140625,556.3786010742188,300.3493347167969,1575.02001953125,751.2179565429688,1654.1204833984375,364.4579772949219,542.9696655273438
1,2,D7,D,2.0,2603.029052734375,891.7357788085938,1907.7626953125,446.8350524902344,330.2554626464844,707.6327514648438,3776.158447265625,714.8958129882812,248.2139434814453,1246.8641357421875,316.88409423828125,426.6275329589844
2,3,Amin7,A,4.0,1525.7723388671875,354.8077697753906,239.2681427001953,669.2283325195312,3136.3828125,576.7733154296875,354.5695495605469,1575.3116455078125,751.0377807617188,1685.2210693359375,370.6123046875,523.1846313476562
3,4,D7,D,6.0,2608.666259765625,896.3683471679688,1939.861328125,453.3070983886719,331.57476806640625,722.3225708007812,3871.78515625,731.246337890625,250.91162109375,1257.411865234375,318.0918884277344,427.2097473144531
4,5,D7,D,8.0,185.00865173339844,95.43781280517578,205.02369689941406,56.233951568603516,49.815067291259766,88.21253204345703,400.8375549316406,80.77191925048828,33.922916412353516,140.4356689453125,38.73094177246094,35.26372528076172
5,6,Amin7,A,10.0,1917.9473876953125,525.259033203125,853.397705078125,766.1405639648438,3133.98828125,583.8033447265625,423.5855712890625,1628.76171875,753.1021118164062,1794.6031494140625,405.7884826660156,586.0983276367188
6,7,D7,D,12.0,3150.460205078125,973.1050415039062,1915.4215087890625,465.4859313964844,369.6424255371094,705.4520874023438,3772.645263671875,822.549560546875,280.7403564453125,1296.6600341796875,330.24005126953125,504.1322326660156
7,8,Amin7,A,14.0,1548.9666748046875,450.4139099121094,837.3447875976562,753.0939331054688,3157.610595703125,598.8060913085938,404.9964599609375,1585.61962890625,755.843017578125,1855.3270263671875,411.6073303222656,526.788818359375
8,9,D7,D,16.0,2606.552978515625,892.3211059570312,1942.0234375,457.9918518066406,354.98974609375,722.738037109375,3886.379150390625,740.24755859375,578.1806640625,3577.282958984375,632.9559936523438,430.6361083984375
9,10,Amin7,A,18.0,1548.55810546875,450.2669982910156,836.484619140625,752.3756713867188,3157.671875,598.5862426757812,402.9873352050781,1585.15869140625,755.5259399414062,1853.8760986328125,410.9717102050781,524.6519165039062
10,11,D7,D,20.0,3154.715576171875,982.0421752929688,1982.9012451171875,478.0250244140625,371.3021240234375,726.966064453125,3892.293701171875,842.6331176757812,283.9820556640625,1311.0255126953125,331.43798828125,503.7048034667969
11,12,Amin7,A,22.0,1595.0677490234375,382.6297912597656,272.1094055175781,736.2300415039062,3154.878662109375,600.7071533203125,545.093017578125,1626.4290771484375,722.1696166992188,1733.8143310546875,436.8136291503906,887.4513549804688
12,13,D7,D,24.0,2609.768310546875,893.0198364257812,1941.8897705078125,457.8215637207031,355.6573791503906,723.421630859375,3889.230712890625,741.794921875,571.6490478515625,3533.431396484375,626.6964721679688,430.0110778808594
13,14,Amin7,A,26.0,1525.89501953125,354.7020568847656,239.38233947753906,669.7943115234375,3136.614990234375,577.1644897460938,354.659423828125,1574.4876708984375,753.1945190429688,1698.2723388671875,372.3486328125,523.5238037109375
14,15,D7,D,28.0,2608.644775390625,896.3771362304688,1939.8516845703125,453.2706604003906,331.56866455078125,722.33056640625,3871.8056640625,731.2610473632812,250.90623474121094,1257.4151611328125,318.0900573730469,427.2041320800781
15,16,Amin7,A,30.0,1525.7587890625,354.8157043457031,239.2653350830078,669.2116088867188,3136.387939453125,576.7678833007812,354.5442199707031,1575.3441162109375,751.0166625976562,1685.1983642578125,370.5965576171875,523.1707763671875
16,17,D7,D,32.0,2608.658935546875,896.3665161132812,1939.8623046875,453.306396484375,331.5757141113281,722.3230590820312,3871.783203125,731.2489624023438,250.91143798828125,1257.41064453125,318.0908203125,427.2082824707031
17,18,Amin7,A,34.0,1525.7642822265625,354.8097839355469,239.2689666748047,669.2286987304688,3136.3720703125,576.7636108398438,354.5502014160156,1575.3187255859375,751.0390014648438,1685.1961669921875,370.6039733886719,523.1780395507812
18,19,D7,D,36.0,2608.66064453125,896.36669921875,1939.8603515625,453.3050842285156,331.5753479003906,722.32373046875,3871.787353515625,731.2481079101562,250.91029357910156,1257.4080810546875,318.0927429199219,427.2093200683594
19,20,Amin7,A,38.0,1525.7646484375,354.8109436035156,239.2664337158203,669.2275390625,3136.373291015625,576.7638549804688,354.5518493652344,1575.3189697265625,751.037109375,1685.1986083984375,370.6041259765625,523.177734375
20,21,D7,D,40.0,2608.663818359375,896.3673706054688,1939.8587646484375,453.306396484375,331.574951171875,722.324462890625,3871.787841796875,731.246826171875,250.91099548339844,1257.4111328125,318.091796875,427.2093200683594
21,22,D7,D,42.0,252.08750915527344,128.91990661621094,249.5003204345703,73.07713317871094,53.80379867553711,120.7391357421875,518.7219848632812,107.60335540771484,46.62076950073242,209.0158233642578,51.146732330322266,49.31314468383789
22,22,Dmin7,D,42.66666666666666,94.7279052734375,27.782997131347656,69.62251281738281,11.998396873474121,5.136499881744385,21.429908752441406,91.53148651123047,15.837959289550781,8.113699913024902,52.10576248168945,11.542793273925781,19.86777687072754
23,22,Emin7,E,43.33333333333334,195.93341064453125,75.59153747558594,176.87213134765625,57.01274108886719,99.3914566040039,271.2912902832031,76.8206787109375,27.735321044921875,24.33083152770996,70.8098373413086,17.236799240112305,47.04496765136719
24,23,Fmaj7,F,44.0,2103.462646484375,629.24267578125,1492.6280517578125,1009.35107421875,3653.2705078125,2109.733642578125,533.4280395507812,1075.7215576171875,806.98828125,1854.7969970703125,498.8734130859375,1172.0526123046875
25,24,E7,E,46.0,452.4720764160156,504.5492858886719,3018.060302734375,1156.350341796875,3531.0185546875,736.4176635742188,261.843017578125,267.1252746582031,1386.3612060546875,541.0047607421875,387.7679748535156,1897.58349609375
26,25,Amin7,A,48.0,1713.2891845703125,483.2967529296875,840.8526000976562,752.7130737304688,3126.8203125,608.4672241210938,357.7171630859375,1585.6722412109375,782.4331665039062,1922.4820556640625,426.5203552246094,576.1264038085938
27,26,D7,D,50.0,2700.276611328125,953.11572265625,1831.32275390625,475.2831115722656,507.1930847167969,756.902587890625,3773.554931640625,778.9072265625,798.2666015625,4988.1962890625,865.7083129882812,442.8395080566406
28,27,Gmin7,G,52.0,642.87890625,380.5541687011719,1028.739501953125,323.58685302734375,732.2183227539062,3050.4287109375,1128.98876953125,1797.8477783203125,571.5192260742188,1520.63671875,2037.0731201171875,441.8815002441406
29,28,Gmin7/C,G,54.0,856.2588500976562,598.8221435546875,2897.488037109375,607.6551513671875,494.1951599121094,903.8654174804688,555.4596557617188,1537.5650634765625,380.5146484375,500.620361328125,1765.5550537109375,538.5318603515625
30,29,F7,F,56.0,2017.7249755859375,462.294677734375,700.6282348632812,3342.587890625,1813.80859375,1331.7325439453125,312.65081787109375,418.9955139160156,530.8761596679688,1666.4368896484375,419.2873840332031,474.0924987792969
31,30,E7,E,58.0,447.099365234375,380.3871154785156,2212.09912109375,1238.12353515625,3765.999755859375,741.3175659179688,213.18890380859375,275.8303527832031,1437.4541015625,380.056640625,363.4201354980469,1925.1353759765625
32,31,Amin7,A,60.0,1708.24365234375,422.4468688964844,235.3251495361328,701.1627807617188,3201.398681640625,605.60546875,304.1083068847656,1579.8701171875,1223.119384765625,5171.74755859375,903.8700561523438,581.3671264648438
33,32,D7,D,62.0,2618.235595703125,883.45556640625,1846.5687255859375,446.9043884277344,339.9414367675781,710.96240234375,3782.401123046875,717.302490234375,251.01353454589844,1240.1185302734375,318.4433288574219,427.9880065917969
34,33,Amin7,A,64.0,1539.8795166015625,358.320556640625,240.58290100097656,672.5691528320312,3136.785400390625,578.1753540039062,355.1919250488281,1575.34912109375,754.0018920898438,1683.6004638671875,370.5946960449219,529.0875854492188
35,34,D7,D,66.0,2610.312744140625,893.6860961914062,1926.5189208984375,452.01953125,334.0039367675781,723.5097045898438,3872.156005859375,731.9501342773438,252.6708221435547,1256.4664306640625,317.9089050292969,427.2532043457031
36,35,Amin7,A,68.0,1526.109375,355.37060546875,239.54273986816406,669.6953125,3136.357666015625,577.1583251953125,354.3812255859375,1575.2672119140625,751.0884399414062,1685.4163818359375,370.6766052246094,522.7930297851562
37,36,D7,D,70.0,5194.4951171875,1668.7161865234375,3632.380126953125,798.7326049804688,584.5433959960938,1295.4593505859375,7180.677734375,1322.310302734375,444.6354064941406,2291.9912109375,570.4264526367188,830.5092163085938
