,Measure,"WaltzInA,A",chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,E7,E,0.0,82.21571350097656,72.37519073486328,346.0368957519531,208.01605224609375,548.1585083007812,109.97940063476562,40.4415397644043,53.985591888427734,263.71881103515625,64.19393920898438,57.99940490722656,286.5815734863281
1,1,D7,D,0.75,329.13507080078125,203.5937957763672,508.457763671875,123.06832885742188,218.5186767578125,189.9225616455078,654.8322143554688,134.32504272460938,85.56351470947266,242.56752014160156,75.42444610595703,96.48853302001953
2,1,A,A,1.5,131.34019470214844,302.9721374511719,101.86295318603516,114.81255340576172,459.5284729003906,160.52822875976562,115.52643585205078,56.11383056640625,173.2839813232422,359.599853515625,82.43912506103516,42.467140197753906
3,1,E7,E,2.25,93.84280395507812,110.48318481445312,339.4751892089844,189.9962615966797,543.0513916015625,131.21795654296875,83.69660186767578,61.21267318725586,145.31687927246094,57.56539535522461,64.02255249023438,280.91595458984375
4,2,A,A,3.0,719.4887084960938,3397.848876953125,913.3755493164062,1229.8778076171875,5400.21142578125,1331.4378662109375,315.4755859375,292.4402160644531,1254.1876220703125,2951.8857421875,586.5101928710938,395.4183654785156
5,3,E7,E,6.0,770.510009765625,687.1290893554688,3748.771484375,1833.2838134765625,6368.64599609375,1072.8094482421875,402.8374328613281,446.7370910644531,2464.627197265625,558.3786010742188,609.7461547851562,3542.590576171875
6,4,D,D,9.0,272.79022216796875,1532.744140625,3965.606689453125,889.5665893554688,1140.701171875,1487.4901123046875,7067.33154296875,1221.1915283203125,806.3369750976562,2371.268310546875,464.1769104003906,240.6009979248047
7,5,A,A,12.0,232.45021057128906,1057.0408935546875,241.81773376464844,386.4339294433594,1667.2747802734375,433.4349060058594,72.06453704833984,101.7149887084961,446.1391906738281,967.106201171875,182.82188415527344,92.27188873291016
8,5,E7,E,13.5,290.3365783691406,285.1095275878906,1221.064453125,680.3023681640625,2207.720458984375,397.6295471191406,150.22142028808594,169.33872985839844,873.229736328125,207.26979064941406,208.6577606201172,1149.279296875
9,6,A,A,15.0,665.0297241210938,3327.5185546875,738.8389282226562,1081.5128173828125,5329.01220703125,1264.7706298828125,163.08251953125,253.5663604736328,1224.5562744140625,2776.677490234375,487.1439208984375,282.9056701660156
10,7,C#,C#,18.0,875.6231079101562,3278.7373046875,634.3759765625,339.30755615234375,1373.9490966796875,7303.27880859375,1245.42431640625,398.73095703125,2262.165771484375,438.6770935058594,132.6317138671875,163.39561462402344
11,8,F#min,F#,21.0,208.3663787841797,1360.4959716796875,227.7434844970703,73.79210662841797,102.53299713134766,459.9847106933594,2217.247802734375,396.1714782714844,194.4228973388672,860.333984375,158.4833221435547,57.788970947265625
12,8,A/E,A,22.5,174.7093048095703,1091.77490234375,221.295654296875,441.2667541503906,1969.9305419921875,351.3556823730469,110.57711791992188,96.8964614868164,241.05902099609375,812.0042114257812,130.5188751220703,91.34817504882812
13,9,D,D,24.0,63.85208511352539,353.7799072265625,1189.2659912109375,273.01025390625,217.6627655029297,439.3759460449219,2236.536376953125,384.4458312988281,147.8456573486328,768.9486694335938,149.2628936767578,48.5030403137207
14,9,D/E,D,25.5,74.64269256591797,345.4171142578125,1181.3338623046875,508.7613220214844,937.3134765625,585.2095336914062,2158.790771484375,391.4468994140625,194.2118682861328,799.4945678710938,191.8944854736328,93.32598114013672
15,10,A,A,27.0,236.36248779296875,1096.014892578125,258.1159973144531,402.8662414550781,1744.146484375,454.0396728515625,108.59402465820312,111.85482025146484,474.4853515625,996.3654174804688,190.3484649658203,94.22827911376953
16,10,C#,C#,28.5,317.6117248535156,1044.537109375,243.43016052246094,154.51649475097656,542.6696166992188,2353.028564453125,436.7668151855469,159.57070922851562,817.0464477539062,172.69911193847656,56.53767395019531,72.2818374633789
17,11,D,D,30.0,63.547115325927734,209.8486785888672,594.8950805664062,149.53717041015625,89.92724609375,334.4028625488281,1167.3426513671875,202.1422882080078,96.73845672607422,419.4297180175781,112.86282348632812,208.54376220703125
18,11,E,E,31.0,13.16211223602295,18.275409698486328,62.730194091796875,39.61659622192383,165.9654083251953,77.23480224609375,142.4342803955078,32.051517486572266,35.24458694458008,30.852783203125,9.345662117004395,26.215177536010742
19,11,B7,B,32.0,52.84946060180664,25.020627975463867,46.636199951171875,193.36329650878906,657.3421630859375,133.20916748046875,127.71282196044922,50.599578857421875,107.40726470947266,60.08857345581055,59.05953598022461,247.50852966308594
20,12,A,A,33.0,281.6265869140625,1091.7921142578125,319.0364685058594,1020.0537109375,2028.3919677734375,562.3257446289062,519.5122680664062,200.70909118652344,501.1462707519531,1230.184326171875,307.73687744140625,402.3455810546875
21,12,D,D,34.5,82.07050323486328,389.1923522949219,1225.034912109375,399.6091003417969,520.7730102539062,511.0409851074219,2341.748779296875,416.5849914550781,223.7314910888672,786.3699340820312,159.56324768066406,115.97982025146484
22,13,A,A,36.0,245.037353515625,1072.2156982421875,284.16644287109375,460.3316650390625,1811.90625,479.6849060058594,155.64537048339844,131.59327697753906,458.5095520019531,1010.6820678710938,211.1068572998047,163.1372528076172
23,13,A7,A,37.5,289.70245361328125,1102.1788330078125,330.4828796386719,466.5263977050781,1919.513671875,536.2528686523438,288.7461853027344,1073.54248046875,591.0311889648438,1035.4234619140625,237.3199005126953,266.3782043457031
24,14,D,D,39.0,191.83604431152344,1100.6522216796875,3671.450927734375,880.6837768554688,1199.7662353515625,1365.7908935546875,6994.18115234375,1220.302734375,537.410888671875,2220.73388671875,433.3852233886719,194.8992462158203
25,15,Eb,Eb,42.0,229.56202697753906,320.24359130859375,1498.06005859375,6019.041015625,1690.3529052734375,377.0033264160156,661.9698486328125,2940.522705078125,634.2245483398438,644.08056640625,3534.970947265625,845.80615234375
26,16,A7,A,45.0,280.5257568359375,1103.24462890625,313.77386474609375,442.15869140625,1909.0550537109375,517.2154541015625,272.20184326171875,1070.4957275390625,595.6921997070312,1079.4403076171875,244.3891143798828,229.2095489501953
27,16,Bmin7,B,46.5,255.9145965576172,438.058837890625,1280.0440673828125,531.1557006835938,495.1025695800781,522.3967895507812,2460.841552734375,456.436767578125,233.39479064941406,813.323974609375,377.517822265625,1178.9327392578125
28,17,D,D,48.0,28.349403381347656,104.1911392211914,314.75262451171875,98.32302856445312,130.270751953125,150.73338317871094,587.7655029296875,115.61257934570312,70.34414672851562,245.51539611816406,53.697479248046875,50.332027435302734
29,17,E7,E,48.75,8.804391860961914,18.702131271362305,76.76885986328125,26.094100952148438,86.01608276367188,40.674808502197266,113.96643829345703,27.324493408203125,24.84070587158203,49.987548828125,13.707842826843262,26.417020797729492
30,17,A7,A,49.5,79.5108871459961,63.87153625488281,269.5312194824219,199.21656799316406,510.6003723144531,106.4307632446289,75.01465606689453,68.70865631103516,281.7936096191406,71.0927505493164,54.28816223144531,253.18450927734375
31,17,E7,E,50.25,77.6924819946289,254.66998291015625,112.27835845947266,86.03985595703125,301.3962707519531,143.54930114746094,94.63330078125,278.9543762207031,209.70762634277344,258.8497009277344,49.1646728515625,94.64791870117188
32,18,A7,A,51.0,333.3222351074219,1212.3726806640625,655.1685180664062,548.1527709960938,2030.4566650390625,539.6759033203125,300.990478515625,1051.968505859375,789.8375854492188,1093.1734619140625,310.7729797363281,702.0553588867188
33,18,Bmin7,B,52.5,271.2592468261719,418.1085205078125,1190.4210205078125,531.79052734375,496.8015441894531,520.8342895507812,2434.302734375,451.5526123046875,236.06915283203125,815.8499145507812,396.4681396484375,1278.1505126953125
