,Measure,Watermelon Man2,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,2994.472900390625,641.7365112304688,786.95458984375,3491.444091796875,2894.2431640625,5005.154296875,1020.28564453125,745.1832885742188,797.1029663085938,2773.355224609375,775.8794555664062,721.6762084960938
1,2,F7,F,2.0,2974.239013671875,671.3084106445312,877.920654296875,3731.616455078125,3403.013427734375,6217.40380859375,1077.79150390625,729.1122436523438,826.0634155273438,2772.292236328125,761.1978149414062,711.867431640625
2,3,F7,F,4.0,3115.433837890625,673.0402221679688,835.8609008789062,3702.998046875,2959.0029296875,5147.11865234375,1042.832763671875,766.9843139648438,778.4786987304688,2651.453369140625,756.78759765625,736.4855346679688
3,4,F7,F,6.0,9171.2314453125,2075.960693359375,2916.166259765625,11758.94921875,9286.1982421875,17566.92578125,3747.911376953125,7942.29931640625,3554.849609375,7723.98046875,2145.488525390625,2063.20458984375
4,6,C13,C,10.0,553.8610229492188,788.907470703125,869.6744995117188,1151.6456298828125,1308.1993408203125,1172.58154296875,731.86279296875,546.7176513671875,969.8348999023438,722.693603515625,774.1962890625,463.9451599121094
5,6,B13,B,11.0,421.5578308105469,288.0908508300781,650.3362426757812,490.4059143066406,325.73974609375,354.4104309082031,202.31028747558594,242.4651641845703,548.7274780273438,247.49610900878906,95.23538970947266,97.26236724853516
6,7,Bb13,Bb,12.0,834.2638549804688,475.8016052246094,442.6592712402344,694.0133666992188,727.3400268554688,450.9338684082031,339.697509765625,317.5877380371094,367.2532958984375,416.6676025390625,243.98130798339844,341.332275390625
7,7,Bb13,Bb,12.666666666666664,118.97428131103516,130.9476318359375,151.44168090820312,315.14459228515625,404.5779113769531,213.9630126953125,108.48351287841797,108.34526824951172,92.96961212158203,160.26690673828125,150.50070190429688,93.58956909179688
8,7,B13,B,13.333333333333336,315.31939697265625,72.43846130371094,56.07737731933594,154.84396362304688,112.8104019165039,108.76766204833984,74.5023422241211,36.955570220947266,25.74291229248047,39.85966110229492,143.2869110107422,259.2743225097656
9,8,C13,C,14.0,581.2913818359375,838.9721069335938,800.27197265625,822.044921875,1049.65087890625,883.9063110351562,597.8656616210938,321.8097839355469,751.3076171875,897.6132202148438,814.8052368164062,413.0238037109375
