,Measure,WayBackHome,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin7/Db,Eb,0.0,293.3778991699219,1263.033203125,544.5343017578125,963.3692016601562,286.2218933105469,1039.2469482421875,4168.4892578125,747.8768920898438,154.4574737548828,372.952392578125,2079.127197265625,330.91021728515625
1,1,Db,Db,1.0,259.1065673828125,860.9902954101562,162.9362335205078,237.3175811767578,541.2808227539062,2631.672607421875,564.8604125976562,129.6801300048828,631.9388427734375,167.8537139892578,73.405029296875,57.810543060302734
2,2,Ebmin7/Db,Eb,2.0,290.5071105957031,1276.5162353515625,561.8634033203125,949.2615356445312,320.0625305175781,1122.3167724609375,4251.736328125,797.3600463867188,250.47486877441406,391.7449951171875,2105.499755859375,332.0657043457031
3,2,Db,Db,3.0,258.69342041015625,856.2399291992188,162.23194885253906,237.88047790527344,538.6065063476562,2625.063720703125,560.7556762695312,129.16038513183594,628.8215942382812,167.0049591064453,73.27294921875,57.955047607421875
4,3,Ebmin7/Db,Eb,4.0,298.14056396484375,1279.899169921875,552.875,921.8805541992188,368.1719970703125,1375.7652587890625,3842.400634765625,765.3330688476562,332.98614501953125,400.9775695800781,2091.091064453125,333.51934814453125
5,3,Db,Db,5.0,245.0654754638672,845.2018432617188,163.1520233154297,238.73260498046875,550.929443359375,2693.031494140625,583.2860107421875,132.00550842285156,637.9727783203125,250.40956115722656,331.5392150878906,72.52951049804688
6,4,Ebmin7/Db,Eb,6.0,291.190185546875,1277.08251953125,562.5971069335938,949.7099609375,320.2291564941406,1121.8917236328125,4249.123046875,797.425048828125,251.3566436767578,396.0131530761719,2126.859130859375,334.30133056640625
7,4,Db,Db,7.0,184.0062255859375,607.1326904296875,130.16891479492188,214.2584228515625,370.9764709472656,1470.4805908203125,355.3337707519531,78.66703033447266,304.9665832519531,100.13870239257812,68.09893035888672,51.049495697021484
8,5,Gbmaj7,Gb,8.0,1088.552001953125,5273.64306640625,1136.8895263671875,716.4525756835938,979.2240600585938,4287.98681640625,8168.66455078125,1557.1563720703125,961.86376953125,997.8871459960938,4169.34130859375,794.5143432617188
9,6,Ebmin7,Eb,10.0,371.4305419921875,2135.480224609375,683.9589233398438,954.1265258789062,328.4053039550781,718.9996948242188,890.305419921875,294.4440002441406,352.9432373046875,417.3521728515625,2091.233642578125,362.5654296875
10,6,Ab/Gb,Ab,11.0,698.839111328125,877.6796875,239.4357452392578,375.918701171875,110.69852447509766,329.798095703125,1276.1490478515625,253.97206115722656,222.6427459716797,163.00489807128906,459.0122985839844,190.7045135498047
11,7,Ebmin7/Db,Eb,12.0,408.3142395019531,1967.3966064453125,653.1356201171875,917.4248657226562,285.5266418457031,1120.12548828125,4448.7705078125,843.697021484375,336.9647521972656,425.5239562988281,2258.117431640625,364.9250793457031
12,7,Db,Db,13.0,325.3241271972656,1090.4241943359375,195.76806640625,226.40977478027344,530.8284301757812,2628.228271484375,581.3067016601562,131.64382934570312,636.5193481445312,176.5955352783203,79.78382110595703,73.80078887939453
13,8,Ebmin7/Db,Eb,14.0,429.8758850097656,1769.33203125,629.6626586914062,921.4974975585938,374.004150390625,1352.9312744140625,3798.453369140625,749.2301635742188,341.2032470703125,404.0023498535156,2075.582763671875,350.5944519042969
14,8,Db,Db,15.0,331.8505554199219,1112.048828125,195.18072509765625,222.3040008544922,549.1092529296875,2688.15185546875,584.6111450195312,132.6058807373047,639.342041015625,176.8545684814453,82.69335174560547,74.07535552978516
15,9,Ebmin7/Db,Eb,16.0,335.6551208496094,1361.1357421875,439.2194519042969,845.323486328125,253.7695770263672,679.5596923828125,987.0437622070312,257.45196533203125,269.68682861328125,143.30831909179688,570.710205078125,117.45233154296875
16,9,Db,Db,17.0,102.31336212158203,361.8200988769531,81.58197784423828,180.91265869140625,161.76693725585938,694.309814453125,231.9029998779297,52.95632553100586,170.3449249267578,54.52558898925781,44.20220947265625,28.778228759765625
17,10,Ebmin7/Db,Eb,18.0,143.76318359375,555.5823974609375,309.0013732910156,879.26318359375,205.19696044921875,443.8099670410156,1103.700927734375,216.7364044189453,112.12069702148438,118.41824340820312,574.287353515625,102.54894256591797
18,10,Db,Db,19.0,78.16143035888672,346.9966125488281,90.56885528564453,191.20770263671875,158.06582641601562,691.1128540039062,218.4434051513672,46.89802932739258,165.2524871826172,46.555912017822266,39.32673263549805,19.67121696472168
19,11,Ebmin7/Db,Eb,20.0,144.38021850585938,546.7861328125,311.6150817871094,850.1574096679688,196.80418395996094,451.4012756347656,1110.7755126953125,234.1055908203125,110.2850341796875,117.65898895263672,574.419677734375,105.03909301757812
20,11,Db,Db,21.0,103.25885772705078,371.5144348144531,83.41487884521484,181.63336181640625,151.066650390625,654.69384765625,222.10276794433594,52.91700744628906,171.87232971191406,54.11008071899414,43.61756896972656,28.131364822387695
21,12,Ebmin7/Db,Eb,22.0,143.6583709716797,556.7866821289062,309.1859436035156,879.548583984375,206.22117614746094,443.1373291015625,1099.155029296875,216.17298889160156,112.30562591552734,118.30889129638672,573.1594848632812,102.42765045166016
22,12,Db,Db,23.0,78.78834533691406,349.4644470214844,90.77758026123047,191.0741424560547,157.6166229248047,690.2333984375,216.5714111328125,46.52229690551758,165.24325561523438,46.48609924316406,39.13554763793945,19.69034194946289
23,13,Gbmaj7,Gb,24.0,1006.2357788085938,4721.08056640625,956.6325073242188,684.0386352539062,829.258544921875,3674.6826171875,1980.6976318359375,450.1260070800781,438.962646484375,746.8867797851562,3075.2890625,590.9390258789062
24,14,Ebmin7,Eb,26.0,103.25020599365234,565.61669921875,321.25872802734375,916.3287963867188,190.5899200439453,247.24342346191406,967.7731323242188,183.9424285888672,68.49199676513672,110.59883880615234,539.2206420898438,96.37438201904297
