,Measure,Why Was I Born,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmaj7,D,0.0,320.0979919433594,2173.310791015625,2278.240478515625,434.1336975097656,216.42529296875,751.79638671875,3777.3994140625,652.6056518554688,281.9582214355469,1265.3804931640625,253.97462463378906,111.55801391601562
1,2,Fmin7,F,2.0,2144.336669921875,559.1804809570312,1006.1253051757812,2696.576904296875,1192.4085693359375,1389.2880859375,366.8338623046875,678.2938232421875,1634.6658935546875,548.4251708984375,226.4583740234375,472.9564514160156
2,3,Emin7,E,4.0,447.7613830566406,454.7684020996094,2631.456298828125,1132.230712890625,3466.623046875,678.7442016601562,372.4625549316406,1533.8892822265625,438.5074462890625,564.1627807617188,389.9678649902344,2010.23193359375
3,4,A7,A,6.0,427.5736999511719,1799.8187255859375,482.3622131347656,680.2302856445312,2890.087646484375,820.7488403320312,380.8795471191406,1706.1820068359375,1465.1856689453125,5896.20068359375,985.0983276367188,339.4990539550781
4,5,Dmaj7,D,8.0,362.8453369140625,2404.559326171875,2168.47216796875,476.5799865722656,328.3986511230469,751.3308715820312,3771.263427734375,675.9711303710938,291.7265319824219,1221.715087890625,256.9352111816406,116.25377655029297
5,6,Amin7,A,10.0,515.3901977539062,160.4034881591797,87.2322998046875,209.952392578125,875.4166870117188,189.9297637939453,227.8279266357422,510.28125,269.3263244628906,544.1791381835938,158.45140075683594,181.30702209472656
6,6,D7,D,11.0,86.37841033935547,22.380088806152344,16.68570899963379,37.92074966430664,153.03237915039062,35.59846878051758,23.953298568725586,45.19185256958008,14.135071754455566,17.651817321777344,4.1903462409973145,21.882265090942383
7,7,Gmaj7,G,12.0,938.746826171875,489.6043701171875,1156.6663818359375,615.0400390625,344.6998291015625,824.6409301757812,4659.0087890625,2290.680419921875,400.8055419921875,475.0498046875,483.9681091308594,2015.5562744140625
8,8,C9,C,14.0,1852.7735595703125,757.9556274414062,3044.341552734375,1189.61865234375,3695.783203125,677.7658081054688,449.68505859375,1488.6805419921875,472.619384765625,426.7825012207031,1734.12841796875,927.7039184570312
9,9,Dmaj7,D,16.0,580.2963256835938,2483.032958984375,2543.153564453125,660.0277709960938,499.2873229980469,882.23779296875,4123.12841796875,901.7722778320312,828.3683471679688,4365.74462890625,837.9091796875,1088.0843505859375
10,10,Bmin7,B,18.0,484.691162109375,655.6553344726562,2301.049072265625,850.716796875,290.58453369140625,762.3627319335938,4132.33642578125,730.7794799804688,279.3089904785156,1313.7725830078125,700.0774536132812,2434.418701171875
11,11,E9,E,20.0,494.8283386230469,554.572509765625,2232.599365234375,1628.9429931640625,1632.9044189453125,945.0923461914062,4221.39892578125,1101.07958984375,1783.68603515625,550.4434814453125,628.1143798828125,2371.195556640625
12,12,A7,A,22.0,462.4909362792969,1796.3817138671875,464.632080078125,672.8131713867188,3014.383544921875,820.1272583007812,408.8016357421875,1667.8375244140625,961.483154296875,2030.7218017578125,397.0489807128906,324.1717224121094
13,13,Amin7,A,24.0,521.3672485351562,262.3292236328125,851.249755859375,331.979736328125,872.6987915039062,182.6718292236328,117.66057586669922,491.07373046875,264.5664367675781,563.7733154296875,149.4282684326172,183.8449249267578
14,13,D7,D,25.0,716.8197631835938,372.907958984375,1124.5771484375,221.99659729003906,255.1277313232422,348.5677795410156,1151.5804443359375,263.1378479003906,104.36882781982422,427.0755920410156,101.12478637695312,138.9420623779297
15,14,Gmaj7,G,26.0,152.54368591308594,133.20449829101562,354.6818542480469,196.88441467285156,95.17534637451172,280.8713073730469,1440.4283447265625,676.7572631835938,128.75877380371094,144.7456512451172,154.96290588378906,537.8693237304688
16,14,C7,C,27.0,482.1250305175781,160.13487243652344,173.4515838623047,277.2193908691406,1012.183349609375,237.22430419921875,343.2474670410156,510.2268371582031,144.4342498779297,127.30994415283203,544.23486328125,285.4082336425781
17,15,F#min7,F#,28.0,264.4146423339844,639.1541748046875,157.98414611816406,199.80625915527344,811.4910278320312,402.3677062988281,458.5081787109375,212.1686248779297,388.4215087890625,1557.15869140625,356.7017517089844,102.51837158203125
18,15,B7,B,29.0,32.87553405761719,98.1280746459961,33.01381301879883,43.964813232421875,158.5271453857422,50.223114013671875,84.80970001220703,14.203258514404297,26.2624568939209,130.9643096923828,23.558807373046875,15.570168495178223
19,16,Emin7,E,30.0,158.53573608398438,173.33082580566406,809.5709838867188,743.3106079101562,1102.0504150390625,261.7983093261719,441.890869140625,491.3630676269531,130.4549560546875,150.27330017089844,130.71966552734375,524.9349365234375
20,16,A7,A,31.0,11.616814613342285,15.737850189208984,32.95398712158203,131.9780731201172,189.7617950439453,38.29304122924805,37.25562286376953,50.645755767822266,10.957474708557129,11.71703815460205,9.343811988830566,30.512901306152344
21,17,Dmaj7,D,32.0,510.5679626464844,3056.9033203125,2406.12109375,735.80615234375,1522.0394287109375,965.7385864257812,4090.402099609375,1289.31689453125,507.1437683105469,1400.482421875,284.3371887207031,180.7010040283203
22,18,Fdim7,F,34.0,525.6589965820312,621.3541870117188,2863.567138671875,1220.3802490234375,694.7976684570312,1470.1688232421875,704.6946411132812,494.7662658691406,1678.17822265625,763.7467651367188,515.7459106445312,1957.0242919921875
23,19,Emin7,E,36.0,402.3410949707031,468.6941223144531,2599.034912109375,1040.4512939453125,3470.8876953125,695.208984375,387.3435363769531,1514.9638671875,433.7979736328125,570.9443969726562,399.81982421875,2046.5654296875
24,20,A7,A,38.0,418.83935546875,1798.6610107421875,496.5843811035156,632.6360473632812,2889.726318359375,817.36572265625,376.7727966308594,1692.55078125,1451.7552490234375,5840.02685546875,978.7971801757812,341.8410949707031
25,21,Dmaj7,D,40.0,362.171630859375,2408.643798828125,2187.868896484375,480.1572570800781,319.1007995605469,747.0712890625,3768.3095703125,676.2723999023438,292.1163024902344,1222.6036376953125,257.96258544921875,124.33016967773438
26,22,Amin7,A,42.0,518.3710327148438,160.26527404785156,85.7739028930664,209.7241973876953,876.3805541992188,189.57655334472656,228.5358428955078,509.61962890625,268.7539978027344,544.6845092773438,158.417236328125,181.23011779785156
27,22,D7,D,43.0,86.21661376953125,22.390413284301758,16.473764419555664,39.69302749633789,153.92335510253906,35.14805603027344,23.814638137817383,45.38661193847656,14.089821815490723,17.634157180786133,4.195816993713379,21.449682235717773
28,23,Gmaj7,G,44.0,938.7140502929688,490.0962829589844,1154.8018798828125,614.3993530273438,342.7163391113281,824.6986694335938,4659.35986328125,2290.686767578125,400.8410949707031,475.2319030761719,483.4367980957031,2011.8482666015625
29,24,C9,C,46.0,1853.34423828125,757.2720336914062,3041.952392578125,1187.777587890625,3696.374755859375,677.3566284179688,449.4747009277344,1488.2987060546875,472.605712890625,426.7912292480469,1733.8306884765625,927.954833984375
30,25,Dmaj7,D,48.0,580.3662719726562,2483.392333984375,2543.389404296875,662.1528930664062,498.6238098144531,881.8394165039062,4122.853515625,901.8684692382812,828.4163208007812,4365.92041015625,837.8660278320312,1088.0567626953125
31,26,Bmin7,B,50.0,488.7663269042969,651.4581909179688,2301.14453125,855.7543334960938,294.6095886230469,755.0582885742188,4126.89013671875,726.8037109375,343.1932678222656,1710.1353759765625,755.91015625,2463.365234375
32,27,E7,E,52.0,445.7094421386719,433.4150085449219,2399.416259765625,1037.2645263671875,3345.211669921875,639.535888671875,619.6419067382812,337.1470642089844,1369.8646240234375,319.0893249511719,404.1814270019531,1988.6075439453125
33,28,C9,C,54.0,1817.359375,743.653076171875,2845.809814453125,1174.10302734375,3765.515380859375,684.7470703125,321.0787658691406,1479.9794921875,447.4078674316406,399.6425476074219,1705.6153564453125,794.3681640625
34,29,Bmin7,B,56.0,132.08058166503906,184.61289978027344,563.8910522460938,249.52317810058594,117.84122467041016,240.13706970214844,1143.952880859375,219.4037628173828,95.6579818725586,430.8251037597656,194.12257385253906,515.8002319335938
35,29,F13,F,57.0,621.4441528320312,317.0824279785156,1401.9854736328125,1240.167724609375,675.8129272460938,536.4541625976562,327.6477355957031,513.0662231445312,303.0802917480469,860.0711059570312,745.3462524414062,317.5688171386719
36,30,Emin7,E,58.0,232.9119873046875,243.2150421142578,1224.4129638671875,642.5768432617188,1015.43310546875,272.8115234375,163.10157775878906,529.787109375,139.14926147460938,184.68719482421875,159.40870666503906,626.6156616210938
37,30,A7,A,59.0,74.16737365722656,232.58843994140625,228.1751708984375,126.2262191772461,331.82012939453125,78.14273834228516,53.782958984375,209.86761474609375,81.69906616210938,81.2122802734375,30.25809669494629,42.63421630859375
38,31,D7,D,60.0,1779.9290771484375,1324.4439697265625,5423.2255859375,959.331298828125,446.0778503417969,833.9523315429688,3914.7470703125,724.5940551757812,273.4855041503906,1212.61572265625,312.7455749511719,347.8044738769531
39,32,Emin7,E,62.0,115.88458251953125,153.4721221923828,785.06982421875,362.7703552246094,1007.9600219726562,205.0994873046875,121.46410369873047,448.7687072753906,108.84375762939453,65.70508575439453,95.00479888916016,515.7514038085938
40,32,A7,A,63.0,793.3327026367188,3440.491455078125,988.7031860351562,1180.6422119140625,5497.87158203125,1407.82373046875,712.6367797851562,3418.807373046875,1650.1607666015625,2804.4453125,562.8560180664062,573.6071166992188
