,Measure,Why!,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,E7(#9),E,0.0,4234.18896484375,5080.34130859375,26255.103515625,14311.1611328125,18835.927734375,3971.78125,6010.90380859375,16689.033203125,14470.5478515625,5318.36328125,5029.75732421875,22389.669921875
1,6,A7,A,10.0,1950.92431640625,8997.8291015625,1929.61767578125,3020.803955078125,14943.5224609375,3499.705322265625,1656.67431640625,9267.3095703125,4233.625,6633.87255859375,1220.8707275390625,1145.2806396484375
2,9,E7(#9),E,16.0,1320.64990234375,1387.0137939453125,6381.77001953125,4154.61083984375,4662.3759765625,1125.6666259765625,1950.4197998046875,5534.53271484375,4966.81396484375,1453.07177734375,1504.8428955078125,6683.37060546875
3,11,B7,B,20.0,113.24190521240234,115.0638198852539,236.1069793701172,999.4347534179688,194.97271728515625,247.48228454589844,1214.2493896484375,240.5657501220703,98.21277618408203,475.2268371582031,239.748779296875,506.4778137207031
4,11,Bb7,Bb,21.0,15.002296447753906,5.767078876495361,31.723501205444336,184.40142822265625,30.442121505737305,20.639066696166992,130.36985778808594,21.4788875579834,5.067595958709717,26.348947525024414,22.14936637878418,83.4614486694336
5,12,A7,A,22.0,199.5743408203125,695.5757446289062,486.0340576171875,349.9527893066406,1064.1231689453125,871.9013671875,230.8843536376953,550.7178955078125,478.0713195800781,552.916748046875,392.5687255859375,191.9975128173828
6,12,Bb7,Bb,23.0,23.043684005737305,79.5901870727539,47.17939758300781,70.41970825195312,196.1392364501953,151.7646484375,34.270023345947266,47.32951736450195,19.668649673461914,14.349358558654785,9.878742218017578,13.470928192138672
7,13,B7,B,24.0,144.0638885498047,159.4168243408203,674.47412109375,1108.7044677734375,370.0209045410156,915.4475708007812,1404.18115234375,294.2791442871094,273.5539245605469,527.3176879882812,508.0391540527344,670.2098999023438
8,13,Bb7,Bb,25.0,16.437585830688477,15.161445617675781,55.910919189453125,190.0438232421875,62.67071533203125,148.8324432373047,169.251708984375,26.584388732910156,12.433143615722656,27.748252868652344,30.677370071411133,84.61279296875
9,14,A7,A,26.0,201.0558624267578,701.35693359375,485.7626037597656,352.4234924316406,1071.181884765625,863.6635131835938,230.73158264160156,553.7213745117188,481.6787414550781,553.7711791992188,392.4216003417969,190.654052734375
10,14,Bb7,Bb,27.0,22.89945411682129,79.43276977539062,47.216915130615234,70.94840240478516,196.258056640625,151.9566650390625,34.405975341796875,47.362552642822266,19.712831497192383,14.39203929901123,9.675026893615723,13.021754264831543
11,15,B7,B,28.0,144.4730987548828,159.52809143066406,674.4729614257812,1108.48095703125,369.7734069824219,915.03466796875,1404.1337890625,294.42889404296875,274.5439758300781,527.21875,508.4402770996094,671.4414672851562
12,15,Bb7,Bb,29.0,16.602954864501953,15.16310977935791,55.83124923706055,189.28466796875,62.12041091918945,148.71983337402344,169.2627716064453,26.586013793945312,12.548064231872559,27.747541427612305,30.69371223449707,85.3481674194336
13,16,A7,A,30.0,201.1949462890625,701.3274536132812,485.9330749511719,352.6855163574219,1073.151611328125,863.907958984375,230.72007751464844,553.6920776367188,482.2755126953125,553.6806640625,392.3133239746094,190.2403106689453
14,16,E,E,31.0,53.70815658569336,90.2293701171875,53.2468147277832,86.7626724243164,352.5386047363281,183.8179473876953,69.46629333496094,115.7875747680664,135.25555419921875,204.7750244140625,94.9619140625,219.21043395996094
15,17,E7(#9),E,32.0,3506.34375,3633.338623046875,15255.7255859375,10787.1005859375,14710.4150390625,4207.1552734375,4755.6591796875,12989.4990234375,11043.05078125,3518.220947265625,3988.794677734375,18413.978515625
