,Measure,WithoutYou,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Cmin7,C,2.0,306.9515075683594,81.98599243164062,129.77857971191406,531.8796997070312,225.7356414794922,128.44540405273438,95.08028411865234,123.27069091796875,185.66566467285156,186.77764892578125,85.93804168701172,135.2017059326172
1,3,F7(#9),F,4.0,201.7306365966797,189.64979553222656,94.02552032470703,266.7792053222656,181.64613342285156,391.7401123046875,107.28591918945312,294.2004089355469,253.8373565673828,458.8486328125,249.01478576660156,70.8974838256836
2,4,Bbmin7,Bb,6.0,251.30406188964844,171.3729248046875,86.96683502197266,142.49951171875,523.6893920898438,376.8990783691406,143.02883911132812,460.4270935058594,661.6862182617188,3905.060791015625,616.2882690429688,213.55859375
3,5,Cmaj7,C,8.0,294.7292785644531,111.79296112060547,177.81361389160156,99.48416137695312,319.283447265625,397.022705078125,100.2857437133789,76.57703399658203,45.08555603027344,135.72286987304688,38.695491790771484,86.68172454833984
4,6,Dmin7,D,10.0,108.14363861083984,60.794071197509766,225.35118103027344,138.54302978515625,279.0342102050781,636.2500610351562,227.68910217285156,280.5915832519531,112.4754867553711,76.43709564208984,87.48721313476562,362.7033386230469
5,6,G7,G,11.0,34.1659049987793,47.43278884887695,230.85418701171875,99.06334686279297,398.6955261230469,198.7839813232422,81.48663330078125,195.24974060058594,50.737396240234375,12.363262176513672,25.41485023498535,151.78636169433594
6,7,Emin7,E,12.0,161.8125457763672,630.9522094726562,804.4573364257812,329.4787902832031,860.99267578125,270.22216796875,129.12693786621094,528.6576538085938,326.0926208496094,581.5217895507812,141.05169677734375,99.36249542236328
7,7,A7,A,13.0,220.08514404296875,181.8098907470703,424.9699401855469,103.08599090576172,235.45066833496094,436.5968322753906,85.4083480834961,63.06765365600586,42.7553596496582,143.2764434814453,23.95878791809082,57.245059967041016
8,8,Dmin7,D,14.0,684.7399291992188,250.96539306640625,765.11669921875,193.99607849121094,197.46697998046875,729.2222290039062,231.2381591796875,277.4947814941406,93.77437591552734,81.2673568725586,102.05440521240234,433.1578369140625
9,8,G7,G,15.0,419.4938659667969,98.8906021118164,218.17787170410156,104.04583740234375,429.6756591796875,208.7973175048828,93.50215911865234,237.46649169921875,57.00200271606445,15.733345031738281,32.1655158996582,211.650146484375
10,9,Cmaj9,C,16.0,284.8344421386719,246.32652282714844,192.5876922607422,198.6863250732422,365.2300109863281,424.6505432128906,149.14306640625,204.3572540283203,71.0500717163086,74.38361358642578,207.50047302246094,141.3219757080078
11,10,Abmaj13,Ab,18.0,641.7537841796875,406.2337341308594,364.4195251464844,430.5787048339844,232.3564453125,376.3487243652344,478.6069641113281,658.4083251953125,2833.137451171875,603.6529541015625,138.5113983154297,285.26953125
12,11,Bmin9,B,20.0,114.21204376220703,131.4684600830078,313.2406005859375,353.286376953125,96.55989837646484,104.3197021484375,127.07530975341797,189.55841064453125,56.921146392822266,85.05408477783203,274.4670104980469,176.0798797607422
13,12,Ebmaj7,Eb,22.0,177.455322265625,87.90274810791016,200.35411071777344,493.6968994140625,135.6898956298828,74.05581665039062,78.98506927490234,207.71534729003906,175.62738037109375,115.30935668945312,532.1296997070312,153.5603485107422
14,13,Abmaj7,Ab,24.0,161.29664611816406,45.09669876098633,85.25031280517578,406.1831359863281,361.1148376464844,77.16954803466797,49.300113677978516,127.0125732421875,472.1281433105469,95.42327880859375,47.72481155395508,163.017578125
15,14,Emaj7,E,26.0,110.0609130859375,203.6407012939453,99.67330169677734,301.2111511230469,956.3303833007812,255.00477600097656,170.8854522705078,253.24510192871094,1510.8148193359375,406.3922119140625,68.16741943359375,125.17969512939453
16,15,F#min7,F#,28.0,23.8593692779541,34.51945114135742,38.594730377197266,207.0323486328125,91.68836212158203,33.90592575073242,136.53448486328125,23.343294143676758,27.610593795776367,161.83935546875,39.67970275878906,80.40174102783203
17,15,B7,B,29.0,30.87157440185547,50.93710708618164,263.03369140625,147.5030059814453,410.0336608886719,84.18214416503906,164.45603942871094,932.9965209960938,170.92340087890625,15.78688907623291,27.30132293701172,155.94947814941406
18,16,Emin7,E,30.0,55.30812072753906,204.2589111328125,112.78726196289062,104.25739288330078,375.0193176269531,95.9725570678711,199.4927978515625,1229.5687255859375,261.0322570800781,187.8358612060547,39.684974670410156,32.24848556518555
19,16,A7,A,31.0,35.58354949951172,263.5939636230469,208.46446228027344,46.962921142578125,95.8225326538086,67.78819274902344,266.4704284667969,52.30677795410156,28.43437385559082,151.74130249023438,35.54793167114258,9.456816673278809
20,17,Dmaj7,D,32.0,45.296871185302734,51.00970458984375,194.28424072265625,77.3053207397461,107.54212188720703,407.9500732421875,265.8400573730469,1202.2957763671875,213.8754119873047,53.291629791259766,54.88017272949219,186.6530303955078
